Dates,ROP
2019-04-04,368.5799865722656
2019-09-11,358.6499938964844
2019-11-29,346.54998779296875
2020-05-05,354.0899963378906
2019-12-02,361.260009765625
2020-02-19,359.0799865722656
2020-05-08,359.5899963378906
2019-05-21,342.4700012207031
2019-03-18,327.32000732421875
2018-09-07,324.7799987792969
2018-08-06,331.5400085449219
2018-10-09,300.04998779296875
2019-02-14,307.7900085449219
2018-12-12,240.0
2019-07-24,288.17999267578125
2019-09-26,289.19000244140625
2019-10-28,284.3900146484375
2019-12-05,304.010009765625
2020-05-11,280.30999755859375
2019-07-03,263.010009765625
2020-02-25,283.6099853515625
2020-05-14,293.7900085449219
2020-02-28,291.9800109863281
2019-08-08,308.1400146484375
2019-06-05,314.0
2018-07-20,298.1600036621094
2018-08-21,290.4200134277344
2018-10-24,304.739990234375
2019-04-02,312.7799987792969
2019-03-01,323.010009765625
2019-01-28,311.75
2018-12-27,319.3500061035156
2019-09-09,313.29998779296875
2020-03-02,320.30999755859375
2020-05-20,314.4100036621094
2019-12-17,314.8399963378906
2020-03-05,318.5899963378906
2019-02-12,318.989990234375
2019-01-11,314.3299865722656
2018-12-10,315.760009765625
2019-08-23,315.1099853515625
2018-11-08,315.2799987792969
2019-07-22,309.5199890136719
2019-06-20,345.0
2018-09-05,342.0299987792969
2019-04-17,337.3399963378906
2019-09-24,335.8299865722656
2019-12-20,337.45001220703125
2020-05-26,344.8599853515625
2019-04-30,347.0799865722656
2019-12-23,355.2799987792969
2020-03-11,359.6099853515625
2020-05-29,355.8699951171875
2019-12-26,364.1199951171875
2020-06-01,356.44000244140625
2019-05-02,349.92999267578125
2019-02-27,353.5
2018-11-23,372.79998779296875
2019-08-06,365.260009765625
2018-07-18,364.0299987792969
2018-09-20,367.0299987792969
2018-10-22,364.6099853515625
2019-07-05,377.70001220703125
2019-06-03,375.0
2019-10-09,380.0
2019-10-11,380.5299987792969
2020-03-17,392.92999267578125
2020-06-04,389.67999267578125
2019-10-14,400.0
2020-03-20,397.45001220703125
2018-11-06,409.0
2019-06-18,404.25
2019-05-17,397.9599914550781
2019-04-15,404.6300048828125
2019-03-14,393.32000732421875
2019-01-09,401.1600036621094
2018-08-02,382.30999755859375
2018-10-05,403.7799987792969
2019-08-21,401.8599853515625
2019-10-17,400.6600036621094
2020-03-23,406.8599853515625
2020-06-10,392.94000244140625
2019-02-25,401.19000244140625
2020-01-07,393.739990234375
2020-03-26,386.79998779296875
2019-10-23,392.69000244140625
