Dates,FISV
2019-02-04,79.36000061035156
2018-07-27,77.16999816894531
2018-08-28,78.88999938964844
2019-01-03,77.9000015258789
2019-08-15,77.18000030517578
2018-10-31,77.94000244140625
2019-09-16,79.30000305175781
2020-02-18,74.91000366210938
2020-05-07,74.98999786376953
2018-08-17,76.70999908447266
2019-12-04,77.51000213623047
2020-02-21,79.20999908447266
2018-12-17,79.80000305175781
2019-08-30,80.23999786376953
2018-11-15,78.58999633789062
2019-07-29,77.66000366210938
2019-06-27,77.75
2019-04-24,79.70999908447266
2018-07-10,80.27999877929688
2018-09-12,78.55999755859375
2019-02-19,76.08000183105469
2019-01-18,76.83999633789062
2020-02-24,76.87000274658203
2020-05-13,77.41000366210938
2019-12-10,77.16999816894531
2020-02-27,79.4000015258789
2019-12-13,78.44000244140625
2020-05-19,79.12999725341797
2019-03-06,79.66999816894531
2018-11-30,76.91000366210938
2019-08-13,76.06999969482422
2019-07-12,74.73999786376953
2019-06-10,76.13999938964844
2019-05-09,76.76000213623047
2018-07-25,77.63999938964844
2018-09-27,77.73999786376953
2018-10-29,76.27999877929688
2019-10-16,74.43000030517578
2019-12-16,73.01000213623047
2020-03-04,72.83999633789062
2020-05-22,72.5
2019-10-01,70.91999816894531
2019-12-19,69.0
2018-09-10,71.91000366210938
2019-05-24,73.06999969482422
2018-08-09,72.95999908447266
2019-04-22,73.48999786376953
2019-03-21,72.20999908447266
2019-01-16,70.11000061035156
2019-08-28,73.22000122070312
2018-11-13,73.06999969482422
2018-10-12,73.55000305175781
2019-06-25,73.31999969482422
2020-03-10,74.37999725341797
2020-05-28,74.0999984741211
2019-10-07,73.87999725341797
2020-03-13,75.04000091552734
2019-10-10,72.56999969482422
2020-03-16,74.5
2020-06-03,77.81999969482422
2018-11-28,78.19000244140625
2018-09-25,80.58999633789062
2018-07-23,82.79000091552734
2018-08-24,85.06999969482422
2019-07-10,85.20999908447266
2019-05-07,83.62999725341797
2019-04-05,84.66000366210938
2019-03-04,82.93000030517578
2019-01-31,82.91999816894531
2019-09-12,84.08999633789062
2019-12-31,85.11000061035156
2020-03-19,84.61000061035156
2020-01-03,84.01000213623047
2020-06-09,85.69999694824219
2019-02-15,84.55999755859375
2019-01-14,84.37999725341797
2018-07-06,84.38999938964844
2018-08-07,84.3499984741211
2018-10-10,85.77999877929688
2018-12-13,85.62000274658203
2019-08-26,84.7300033569336
2019-07-25,84.75
2019-05-22,85.02999877929688
2019-03-19,84.23999786376953
2020-01-06,84.72000122070312
2020-03-25,85.05000305175781
2020-06-12,84.69000244140625
2019-10-22,86.38999938964844
2020-01-09,85.55000305175781
2020-06-15,85.61000061035156
2019-10-25,85.37000274658203
2020-03-31,85.01000213623047
2020-06-18,84.87999725341797
2019-04-03,86.02999877929688
2018-08-22,86.08000183105469
2018-10-25,86.08000183105469
2019-01-29,85.5
2018-12-28,86.23999786376953
2018-11-26,85.08999633789062
2019-08-09,84.5999984741211
2019-07-08,83.7300033569336
2019-06-06,86.06999969482422
2019-09-10,85.58000183105469
2020-01-15,85.26000213623047
2020-04-03,86.93000030517578
2019-10-31,87.6500015258789
2020-04-06,87.77999877929688
2020-06-24,88.27999877929688
2018-11-09,89.30999755859375
2019-07-23,89.77999877929688
2019-06-21,90.63999938964844
2019-05-20,90.08000183105469
2019-04-18,89.86000061035156
2018-09-06,88.33000183105469
2018-10-08,88.2300033569336
2019-02-13,86.75
2018-12-11,85.54000091552734
2019-09-25,86.30000305175781
2020-01-21,86.55000305175781
2020-04-09,85.01000213623047
2019-11-06,85.29000091552734
2020-01-24,85.05999755859375
2020-01-27,85.7300033569336
2020-04-15,87.08000183105469
2018-12-26,86.52999877929688
2019-08-07,86.30000305175781
2019-06-04,85.37000274658203
2018-09-21,85.05000305175781
2018-07-19,87.23999786376953
2018-08-20,85.93000030517578
2018-10-23,85.45999908447266
2019-05-03,86.73999786376953
2019-04-01,87.80000305175781
2019-02-28,85.54000091552734
2019-11-12,85.41999816894531
2020-01-30,84.69000244140625
2019-11-15,85.2300033569336
2020-04-21,83.36000061035156
2019-04-16,84.45999908447266
2019-03-15,85.87000274658203
2019-02-11,87.77999877929688
2019-01-10,87.30000305175781
2019-08-22,87.18000030517578
2018-11-07,88.41000366210938
2018-08-03,89.5999984741211
2018-09-04,87.19999694824219
2019-06-19,86.9000015258789
2019-09-23,86.97000122070312
2019-11-18,86.80999755859375
2020-02-05,87.12999725341797
2020-04-24,85.86000061035156
2019-03-29,82.68000030517578
2019-11-21,86.16000366210938
2020-04-27,88.36000061035156
2020-02-11,89.41000366210938
2020-04-30,89.73999786376953
2019-05-01,90.58000183105469
2019-02-26,89.63999938964844
2019-01-25,89.7699966430664
2018-12-24,88.66000366210938
2019-09-06,89.19999694824219
2018-07-17,88.97000122070312
2018-09-19,89.0999984741211
2019-08-05,90.0
2019-10-08,91.69000244140625
2019-12-11,91.4800033569336
2019-11-27,90.80999755859375
2020-02-14,90.27999877929688
2020-05-06,90.19000244140625
2019-01-08,90.83000183105469
2018-12-07,91.16000366210938
2019-08-20,92.51000213623047
2018-11-05,93.58999633789062
2019-07-19,94.2300033569336
2018-10-04,94.45999908447266
2019-06-17,93.58000183105469
2019-05-16,93.83999633789062
2018-08-01,93.86000061035156
2019-03-13,93.69000244140625
2019-12-03,94.51000213623047
2020-02-20,94.75
2019-12-06,93.91000366210938
2020-05-12,94.11000061035156
2019-12-09,96.87000274658203
2020-02-26,95.38999938964844
2020-05-15,95.30000305175781
2019-03-28,95.30000305175781
2018-09-17,94.16999816894531
2018-08-16,96.36000061035156
2018-10-19,102.30000305175781
2019-04-29,104.63999938964844
2019-01-23,103.91000366210938
2019-09-04,105.43000030517578
2018-11-20,104.66000366210938
2019-07-02,104.31999969482422
2019-05-31,100.44999694824219
2019-12-12,103.0199966430664
2020-05-18,104.97000122070312
2019-09-27,105.43000030517578
2020-03-03,105.30000305175781
2020-05-21,104.20999908447266
