Dates,LNT
2019-07-11,55.02000045776367
2019-09-13,55.15999984741211
2019-11-14,55.7599983215332
2020-04-20,56.2599983215332
2020-02-04,56.41999816894531
2020-04-23,56.83000183105469
2018-12-14,57.459999084472656
2019-08-27,57.66999816894531
2018-08-08,58.34000015258789
2018-10-11,58.59000015258789
2018-11-12,58.68000030517578
2019-07-26,58.77000045776367
2019-06-24,58.54999923706055
2019-05-23,59.11000061035156
2019-03-20,59.27000045776367
2019-01-15,58.56999969482422
2019-11-20,58.29999923706055
2020-02-07,58.40999984741211
2020-02-10,58.310001373291016
2020-04-29,58.220001220703125
2019-11-26,58.34000015258789
2020-02-13,58.150001525878906
2019-01-30,58.52000045776367
2018-08-23,59.33000183105469
2018-09-24,59.7400016784668
2018-11-27,59.38999938964844
2018-10-26,59.11000061035156
2019-07-09,59.0099983215332
2019-06-07,58.72999954223633
2019-05-06,57.95000076293945
2019-04-04,57.79999923706055
2019-09-11,54.849998474121094
2019-11-29,51.25
2020-05-05,52.130001068115234
2019-12-02,54.560001373291016
2020-02-19,54.9900016784668
2020-05-08,56.58000183105469
2019-05-21,54.959999084472656
2019-03-18,53.189998626708984
2018-09-07,51.959999084472656
2018-08-06,50.90999984741211
2018-10-09,45.369998931884766
2019-02-14,47.54999923706055
2018-12-12,46.43000030517578
2019-07-24,48.5099983215332
2019-09-26,46.75
2019-10-28,44.5099983215332
2019-12-05,40.209999084472656
2020-05-11,37.65999984741211
2019-07-03,39.34000015258789
2020-02-25,40.5099983215332
2020-05-14,44.18000030517578
2020-02-28,45.66999816894531
2019-08-08,47.349998474121094
2019-06-05,48.0099983215332
2018-07-20,43.970001220703125
2018-08-21,43.61000061035156
2018-10-24,44.7400016784668
2019-04-02,46.099998474121094
2019-03-01,47.689998626708984
2019-01-28,47.790000915527344
2018-12-27,51.5099983215332
2019-09-09,50.66999816894531
2020-03-02,52.16999816894531
2020-05-20,51.220001220703125
2019-12-17,50.900001525878906
2020-03-05,51.61000061035156
2019-02-12,49.849998474121094
2019-01-11,48.40999984741211
2018-12-10,49.83000183105469
2019-08-23,49.630001068115234
2018-11-08,48.88999938964844
2019-07-22,50.0
2019-06-20,50.08000183105469
2018-09-05,49.029998779296875
2019-04-17,47.939998626708984
2019-09-24,46.810001373291016
2019-12-20,46.599998474121094
2020-05-26,47.5
2019-04-30,46.08000183105469
2019-12-23,46.119998931884766
2020-03-11,46.54999923706055
2020-05-29,46.45000076293945
2019-12-26,46.060001373291016
2020-06-01,45.38999938964844
2019-05-02,44.36000061035156
