Dates,EGP
2016-01-21,31.600000381469727
2016-06-27,31.700000762939453
2016-12-02,31.559999465942383
2017-05-09,30.030000686645508
2018-03-21,29.010000228881836
2019-01-31,29.149999618530273
2013-09-10,27.059999465942383
2019-07-08,26.770000457763672
2019-12-13,27.950000762939453
2014-07-23,27.420000076293945
2020-05-19,27.690000534057617
2015-06-04,27.829999923706055
2010-06-01,28.0
2013-03-21,28.389999389648438
2009-05-13,26.65999984741211
2009-01-05,24.510000228881836
2009-09-18,23.959999084472656
2012-11-13,24.200000762939453
2012-03-02,23.579999923706055
2011-10-26,22.479999542236328
2011-06-20,22.040000915527344
2013-12-02,23.0
2015-11-09,24.010000228881836
2016-04-15,26.420000076293945
2016-09-20,26.420000076293945
2017-08-02,26.31999969482422
2018-06-14,26.56999969482422
2018-11-19,27.84000015258789
2019-04-26,28.43000030517578
2013-12-04,26.549999237060547
2019-10-01,27.940000534057617
2014-10-16,27.75
2015-03-23,26.799999237060547
2015-08-28,28.450000762939453
2016-02-02,28.610000610351562
2016-12-14,27.110000610351562
2010-08-19,29.09000015258789
2008-11-17,28.770000457763672
2009-07-31,30.18000030517578
2009-03-25,31.530000686645508
2010-04-13,31.639999389648438
2013-01-31,30.850000381469727
2012-09-25,30.700000762939453
2012-01-13,32.189998626708984
2011-09-07,32.720001220703125
2011-05-02,31.75
2017-10-26,33.0
2018-04-02,36.040000915527344
2018-09-07,37.04999923706055
2019-02-12,35.529998779296875
2014-02-27,35.689998626708984
2015-01-09,35.63999938964844
2015-06-16,34.599998474121094
2016-04-27,36.869998931884766
2017-03-09,34.369998931884766
2017-08-14,33.400001525878906
2018-01-19,35.0099983215332
2010-07-01,35.2599983215332
2009-02-04,33.77000045776367
2008-09-29,34.4900016784668
2009-06-12,34.09000015258789
2010-02-23,33.33000183105469
2012-12-13,33.119998931884766
2012-08-07,33.900001525878906
2011-11-25,33.70000076293945
2011-07-20,33.650001525878906
2013-07-11,33.38999938964844
2018-06-26,34.349998474121094
2019-05-08,34.209999084472656
2014-05-23,34.41999816894531
2020-03-19,34.220001220703125
2014-10-28,34.29999923706055
2015-09-09,33.20000076293945
2016-07-21,33.38999938964844
2017-06-02,34.560001373291016
2017-11-07,34.63999938964844
2018-09-19,34.689998626708984
2019-08-01,34.279998779296875
2011-01-24,35.779998779296875
2009-04-24,34.70000076293945
2008-08-11,34.560001373291016
2008-12-17,35.18000030517578
2010-05-13,34.720001220703125
2010-01-05,34.720001220703125
2012-10-25,34.58000183105469
2012-06-19,34.70000076293945
2011-10-07,34.279998779296875
2013-07-08,33.689998626708984
2014-03-11,32.959999084472656
2015-01-21,32.970001220703125
2020-01-06,32.560001373291016
2020-06-12,32.959999084472656
2015-12-03,33.5099983215332
2016-05-09,33.40999984741211
2016-10-14,32.869998931884766
2017-03-21,33.45000076293945
2018-01-31,32.79999923706055
2018-12-13,33.459999084472656
2019-05-20,33.22999954223633
2019-06-13,33.5099983215332
2019-10-25,33.91999816894531
2014-06-04,33.25
2020-03-31,33.599998474121094
2015-04-16,33.70000076293945
2011-04-13,32.84000015258789
2010-12-06,33.459999084472656
2008-10-29,32.91999816894531
2009-03-06,34.130001068115234
2010-03-25,34.59000015258789
2009-11-17,35.45000076293945
2012-09-06,35.47999954223633
2012-05-01,35.58000183105469
2013-05-20,35.40999984741211
2013-09-25,35.25
2015-09-21,35.86000061035156
2016-02-26,36.18000030517578
2016-08-02,36.09000015258789
2017-06-14,36.4900016784668
2018-04-26,36.79999923706055
2018-10-01,36.63999938964844
2019-03-08,36.959999084472656
2013-10-16,35.150001525878906
2019-08-13,35.290000915527344
2014-08-28,36.790000915527344
2020-06-24,37.119998931884766
2015-02-02,37.650001525878906
2015-07-10,37.31999969482422
2015-12-15,36.56999969482422
2011-07-01,35.790000915527344
2011-02-23,36.959999084472656
2009-01-16,36.86000061035156
2008-09-10,36.33000183105469
2010-10-18,35.849998474121094
2013-04-01,36.130001068115234
2010-02-04,36.630001068115234
2009-09-29,37.58000183105469
2012-07-19,38.83000183105469
2012-03-13,38.95000076293945
2016-10-26,39.25
2017-09-07,39.0099983215332
2018-02-12,39.2599983215332
2018-07-20,39.06999969482422
2014-01-09,38.2599983215332
2019-11-06,37.970001220703125
2014-11-21,36.61000061035156
2015-04-28,36.06999969482422
2016-03-09,36.5099983215332
2017-01-19,37.52000045776367
2017-06-26,38.33000183105469
2017-12-01,38.4900016784668
2011-05-13,39.06999969482422
2011-01-05,39.58000183105469
2008-11-28,40.91999816894531
2009-08-11,40.72999954223633
2008-07-23,41.86000061035156
2010-08-30,40.81999969482422
2013-02-11,39.970001220703125
2009-12-17,40.43000030517578
2012-05-31,40.529998779296875
2013-06-19,39.88999938964844
2018-05-08,38.709999084472656
2019-03-20,39.290000915527344
2013-10-28,39.65999984741211
2014-04-04,38.97999954223633
2020-01-30,38.13999938964844
2014-09-09,37.59000015258789
2015-07-22,37.56999969482422
2016-06-02,38.220001220703125
2016-11-07,37.43000030517578
2017-09-19,38.099998474121094
2018-08-01,38.06999969482422
2011-12-06,38.470001220703125
2011-03-25,38.099998474121094
2009-06-23,38.72999954223633
2008-10-10,38.349998474121094
2010-11-17,38.130001068115234
2010-07-12,38.400001525878906
2013-05-01,38.060001373291016
2012-12-24,38.150001525878906
2009-10-29,37.9900016784668
2013-09-06,38.15999984741211
2014-01-21,37.790000915527344
2014-12-03,37.54999923706055
2019-11-18,37.5
2020-04-24,37.47999954223633
2015-10-15,37.400001525878906
2016-03-21,38.369998931884766
2016-08-26,38.16999816894531
2017-01-31,38.4900016784668
2017-12-13,38.33000183105469
2018-10-25,38.279998779296875
2013-06-04,38.7599983215332
2019-04-01,38.66999816894531
2019-09-06,38.61000061035156
2014-04-16,38.720001220703125
2020-02-11,38.31999969482422
2012-02-23,38.7599983215332
2011-10-18,38.650001525878906
2009-05-05,38.52000045776367
2008-08-22,37.900001525878906
2009-09-10,37.45000076293945
2011-02-04,38.20000076293945
2010-09-29,38.029998779296875
2010-05-24,37.619998931884766
2013-03-13,36.650001525878906
2012-11-05,38.11000061035156
2015-02-26,38.65999984741211
2015-08-03,39.45000076293945
2016-01-08,40.380001068115234
2016-06-14,40.88999938964844
2017-04-26,40.84000015258789
2018-03-08,40.54999923706055
2018-08-13,40.16999816894531
2019-01-18,39.63999938964844
2013-08-28,39.61000061035156
2019-06-25,39.689998626708984
2014-07-10,39.529998779296875
2020-05-06,38.93000030517578
2014-12-15,38.369998931884766
2015-05-22,38.540000915527344
2015-10-27,38.650001525878906
2012-09-17,38.7599983215332
2012-01-05,38.5
2011-08-30,38.650001525878906
2009-03-17,39.130001068115234
2009-07-23,39.099998474121094
2010-12-17,38.93000030517578
2010-08-11,39.02000045776367
2010-04-05,38.79999923706055
2013-01-23,38.279998779296875
2013-05-31,37.459999084472656
2016-09-07,37.790000915527344
2017-07-20,37.5099983215332
2018-06-01,37.709999084472656
2018-11-06,37.369998931884766
2019-09-18,37.400001525878906
2014-04-28,38.72999954223633
2015-03-10,38.66999816894531
2016-01-20,39.13999938964844
2016-12-01,38.86000061035156
2017-05-08,38.9900016784668
2012-07-30,39.0
2011-11-17,38.5
2011-07-12,38.63999938964844
2009-06-04,38.7599983215332
2009-01-27,38.81999969482422
2010-10-29,38.86000061035156
2010-06-23,38.90999984741211
2013-04-12,39.0
2013-12-24,38.529998779296875
2014-05-01,37.459999084472656
2017-10-13,36.630001068115234
