Dates,DISCA
2019-10-28,19.5
2019-12-05,21.399999618530273
2020-05-11,19.229999542236328
2019-07-03,19.450000762939453
2020-02-25,20.25
2020-05-14,21.59000015258789
2020-02-28,19.979999542236328
2019-08-08,18.790000915527344
2019-06-05,20.1200008392334
2018-07-20,18.760000228881836
2018-08-21,19.18000030517578
2018-10-24,18.549999237060547
2019-04-02,19.18000030517578
2019-03-01,20.899999618530273
2019-01-28,20.84000015258789
2018-12-27,22.270000457763672
2019-09-09,22.0
2020-03-02,22.049999237060547
2020-05-20,21.329999923706055
2019-12-17,21.40999984741211
2020-03-05,22.110000610351562
2019-02-12,21.520000457763672
2019-01-11,21.43000030517578
2018-12-10,21.25
2019-08-23,20.350000381469727
2018-11-08,20.5
2019-07-22,21.209999084472656
2019-06-20,23.25
2018-09-05,24.059999465942383
2019-04-17,23.799999237060547
2019-09-24,22.110000610351562
2019-12-20,21.329999923706055
2020-05-26,21.959999084472656
2019-04-30,21.600000381469727
2019-12-23,21.219999313354492
2020-03-11,21.030000686645508
2020-05-29,20.809999465942383
2019-12-26,20.3799991607666
2020-06-01,19.709999084472656
2019-05-02,18.8799991607666
2019-02-27,20.200000762939453
2018-11-23,21.1299991607666
2019-08-06,21.149999618530273
2018-07-18,21.40999984741211
2018-09-20,21.06999969482422
2018-10-22,20.75
2019-07-05,21.110000610351562
2019-06-03,22.260000228881836
2019-10-09,22.829999923706055
2019-10-11,21.610000610351562
2020-03-17,21.809999465942383
2020-06-04,22.34000015258789
2019-10-14,22.139999389648438
2020-03-20,22.229999542236328
2018-11-06,24.15999984741211
2019-06-18,25.09000015258789
2019-05-17,25.299999237060547
2019-04-15,23.770000457763672
2019-03-14,21.770000457763672
2019-01-09,23.18000030517578
2018-08-02,21.420000076293945
2018-10-05,23.530000686645508
2019-08-21,22.270000457763672
2019-10-17,21.969999313354492
2020-03-23,22.34000015258789
2020-06-10,21.8799991607666
2019-02-25,22.139999389648438
2020-01-07,21.920000076293945
2020-03-26,21.510000228881836
2019-10-23,21.020000457763672
