Dates,NTAP
2020-06-15,64.0199966430664
2019-10-25,63.41999816894531
2020-03-31,62.849998474121094
2020-06-18,62.34000015258789
2019-04-03,63.310001373291016
2018-08-22,64.79000091552734
2018-10-25,65.2699966430664
2019-01-29,65.06999969482422
2018-12-28,65.80999755859375
2018-11-26,66.63999938964844
2019-08-09,66.4800033569336
2019-07-08,66.38999938964844
2019-06-06,67.30000305175781
2019-09-10,66.66000366210938
2020-01-15,65.69000244140625
2020-04-03,66.94999694824219
2019-10-31,66.79000091552734
2020-04-06,66.8499984741211
2020-06-24,67.98999786376953
2018-11-09,69.5
2019-07-23,69.69999694824219
2019-06-21,70.93000030517578
2019-05-20,70.93000030517578
2019-04-18,71.5999984741211
2018-09-06,71.77999877929688
2018-10-08,72.30999755859375
2019-02-13,72.66000366210938
2018-12-11,74.47000122070312
2019-09-25,75.18000030517578
2020-01-21,75.29000091552734
2020-04-09,76.33000183105469
2019-11-06,77.04000091552734
2020-01-24,76.91999816894531
2020-01-27,76.54000091552734
2020-04-15,75.8499984741211
2018-12-26,73.05999755859375
2019-08-07,71.91999816894531
2019-06-04,71.01000213623047
2018-09-21,71.63999938964844
2018-07-19,71.88999938964844
2018-08-20,71.7300033569336
2018-10-23,71.0199966430664
2019-05-03,71.63999938964844
2019-04-01,70.01000213623047
2019-02-28,68.69000244140625
2019-11-12,68.3499984741211
2020-01-30,67.0999984741211
2019-11-15,66.91000366210938
2020-04-21,65.9000015258789
2019-04-16,66.12000274658203
2019-03-15,66.0
2019-02-11,67.72000122070312
2019-01-10,68.5999984741211
2019-08-22,67.8499984741211
2018-11-07,68.44000244140625
2018-08-03,66.70999908447266
2018-09-04,58.11000061035156
2019-06-19,61.56999969482422
2019-09-23,60.689998626708984
2019-11-18,59.70000076293945
2020-02-05,59.84000015258789
2020-04-24,58.939998626708984
2019-03-29,58.20000076293945
2019-11-21,59.59000015258789
2020-04-27,60.43000030517578
2020-02-11,60.52000045776367
2020-04-30,60.72999954223633
2019-05-01,61.45000076293945
2019-02-26,62.0099983215332
2019-01-25,61.34000015258789
2018-12-24,61.560001373291016
2019-09-06,60.7599983215332
2018-07-17,60.0099983215332
2018-09-19,60.61000061035156
2019-08-05,61.11000061035156
2019-10-08,62.0
2019-12-11,60.880001068115234
2019-11-27,61.18000030517578
2020-02-14,60.91999816894531
2020-05-06,60.47999954223633
2019-01-08,60.939998626708984
2018-12-07,61.16999816894531
2019-08-20,62.380001068115234
2018-11-05,61.58000183105469
2019-07-19,61.45000076293945
2018-10-04,61.470001220703125
2019-06-17,59.0
2019-05-16,59.279998779296875
2018-08-01,59.93000030517578
2019-03-13,59.52000045776367
2019-12-03,60.41999816894531
2020-02-20,60.20000076293945
2019-12-06,58.04999923706055
2020-05-12,59.02000045776367
2019-12-09,58.18000030517578
2020-02-26,58.7599983215332
2020-05-15,58.65999984741211
2019-03-28,58.349998474121094
2018-09-17,58.13999938964844
2018-08-16,58.529998779296875
2018-10-19,58.31999969482422
2019-04-29,57.45000076293945
2019-01-23,58.68000030517578
2019-09-04,57.72999954223633
2018-11-20,57.369998931884766
2019-07-02,44.790000915527344
2019-05-31,44.95000076293945
2019-12-12,45.2599983215332
2020-05-18,45.25
2019-09-27,46.18000030517578
2020-03-03,46.029998779296875
2020-05-21,45.52000045776367
2019-05-14,45.939998626708984
2018-08-31,44.54999923706055
2018-07-30,45.369998931884766
2018-10-02,46.099998474121094
2019-04-12,46.959999084472656
2019-03-11,45.970001220703125
2019-02-07,46.560001373291016
2019-07-17,46.29999923706055
2019-09-19,45.220001220703125
2019-10-21,46.09000015258789
2019-12-18,46.099998474121094
2020-03-06,46.2400016784668
2019-10-03,47.5099983215332
2020-03-09,47.84000015258789
2020-05-27,46.70000076293945
2019-12-24,48.16999816894531
2020-03-12,49.599998474121094
2018-12-20,51.4900016784668
2019-08-01,52.88999938964844
