Dates,LUV
2020-02-25,41.52000045776367
2020-05-14,40.900001525878906
2020-02-28,39.84000015258789
2019-08-08,35.52000045776367
2019-06-05,35.27000045776367
2018-07-20,34.04999923706055
2018-08-21,32.11000061035156
2018-10-24,31.329999923706055
2019-04-02,31.790000915527344
2019-03-01,33.84000015258789
2019-01-28,33.560001373291016
2018-12-27,36.29999923706055
2019-09-09,36.720001220703125
2020-03-02,35.16999816894531
2020-05-20,35.150001525878906
2019-12-17,32.119998931884766
2020-03-05,32.5
2019-02-12,30.639999389648438
2019-01-11,30.049999237060547
2018-12-10,30.6299991607666
2019-08-23,29.809999465942383
2018-11-08,30.200000762939453
2019-07-22,29.790000915527344
2019-06-20,29.1200008392334
2018-09-05,29.489999771118164
2019-04-17,30.709999084472656
2019-09-24,30.5
2019-12-20,27.229999542236328
2020-05-26,28.06999969482422
2019-04-30,26.549999237060547
2019-12-23,24.989999771118164
2020-03-11,26.040000915527344
2020-05-29,26.6200008392334
2019-12-26,26.190000534057617
2020-06-01,25.020000457763672
2019-05-02,23.3799991607666
2019-02-27,24.3700008392334
2018-11-23,25.75
2019-08-06,28.5
2018-07-18,28.469999313354492
2018-09-20,29.309999465942383
2018-10-22,29.760000228881836
2019-07-05,31.709999084472656
2019-06-03,34.900001525878906
2019-10-09,33.900001525878906
2019-10-11,31.479999542236328
2020-03-17,32.29999923706055
2020-06-04,34.86000061035156
2019-10-14,35.06999969482422
2020-03-20,37.790000915527344
2018-11-06,41.97999954223633
2019-06-18,40.13999938964844
2019-05-17,38.36000061035156
2019-04-15,36.0099983215332
2019-03-14,32.939998626708984
2019-01-09,36.060001373291016
2018-08-02,33.79999923706055
2018-10-05,38.5099983215332
2019-08-21,36.2400016784668
2019-10-17,35.650001525878906
2020-03-23,36.56999969482422
2020-06-10,34.029998779296875
2019-02-25,34.779998779296875
2020-01-07,34.0
2020-03-26,31.190000534057617
2019-10-23,33.130001068115234
