Dates,PBCT
2018-12-19,15.59383487701416
2018-07-12,15.621581077575684
2018-09-14,15.90830135345459
2018-08-13,15.982292175292969
2018-10-16,15.806561470031738
2019-07-31,15.982292175292969
2019-05-28,15.89905071258545
2019-04-26,15.695572853088379
2020-04-28,15.233122825622559
2019-11-25,14.86316204071045
2020-02-12,14.927905082702637
2020-05-01,15.020394325256348
2020-05-04,15.122135162353516
2019-06-12,14.95565128326416
2019-04-09,14.835415840148926
2019-03-08,14.326719284057617
2019-02-04,14.38221263885498
2018-07-27,13.938261032104492
2018-08-28,14.280473709106445
2019-01-03,14.049248695373535
2019-08-15,14.400711059570312
2018-10-31,14.650434494018555
2019-09-16,14.645758628845215
2020-02-18,14.72992992401123
2020-05-07,14.720577239990234
2018-08-17,14.757986068725586
2019-12-04,14.74863338470459
2020-02-21,14.776691436767578
2018-12-17,14.823453903198242
2019-08-30,14.683168411254883
2018-11-15,14.655111312866211
2019-07-29,14.851510047912598
2019-06-27,14.66446304321289
2019-04-24,15.010498046875
2018-07-10,15.085317611694336
2018-09-12,15.029204368591309
2019-02-19,14.888919830322266
2019-01-18,14.842157363891602
2020-02-24,14.870214462280273
2020-05-13,15.160137176513672
2019-12-10,14.963737487792969
2020-02-27,15.300420761108398
2019-12-13,15.309775352478027
2020-05-19,15.76803970336914
2019-03-06,15.880268096923828
2018-11-30,15.253660202026367
2019-08-13,15.225603103637695
2019-07-12,15.094670295715332
2019-06-10,14.823453903198242
2019-05-09,14.692520141601562
2018-07-25,14.767338752746582
2018-09-27,14.458711624145508
2018-10-29,14.262312889099121
2019-10-16,14.196846008300781
2019-12-16,13.925628662109375
2020-03-04,13.411250114440918
2020-05-22,13.392544746398926
2019-10-01,13.168089866638184
2019-12-19,12.906224250793457
2018-09-10,13.43930721282959
2019-05-24,13.327077865600586
2018-08-09,13.36448860168457
2019-04-22,13.495421409606934
2019-03-21,13.738581657409668
2019-01-16,13.654411315917969
2019-08-28,14.07526683807373
2018-11-13,14.122027397155762
2018-10-12,14.16878890991211
2019-06-25,14.103322982788086
2020-03-10,14.150084495544434
2020-05-28,14.224902153015137
2019-10-07,14.383893966674805
2020-03-13,14.533531188964844
2019-10-10,14.711224555969238
2020-03-16,14.963737487792969
2020-06-03,15.309775352478027
2018-11-28,15.263012886047363
2018-09-25,15.300420761108398
2018-07-23,15.3378324508667
2018-08-24,15.665162086486816
2019-07-10,15.693221092224121
2019-05-07,15.758685111999512
2019-04-05,15.627754211425781
2019-03-04,15.481257438659668
2019-01-31,15.670287132263184
2019-09-12,15.774250030517578
2019-12-31,15.80260181427002
2020-03-19,15.812053680419922
2020-01-03,16.057788848876953
2020-06-09,15.897115707397461
2019-02-15,16.03888511657715
2019-01-14,16.19955825805664
2018-07-06,16.152301788330078
2018-08-07,16.01998519897461
2018-10-10,16.38858413696289
2018-12-13,16.568159103393555
2019-08-26,16.728832244873047
2019-07-25,16.672122955322266
2019-05-22,16.71938133239746
2019-03-19,16.71938133239746
2020-01-06,16.624868392944336
2020-03-25,16.785541534423828
2020-06-12,16.785541534423828
2019-10-22,16.917858123779297
2020-01-09,16.74773406982422
2020-06-15,16.738283157348633
2019-10-25,16.44529151916504
2020-03-31,16.161754608154297
2020-06-18,16.218461990356445
2019-04-03,16.426389694213867
2018-08-22,16.350778579711914
2018-10-25,16.435840606689453
2019-01-29,16.511451721191406
2018-12-28,16.407485961914062
2018-11-26,16.634319305419922
2019-08-09,16.218461990356445
2019-07-08,15.80260181427002
2019-06-06,15.585224151611328
2019-09-10,15.018143653869629
2020-01-15,14.970887184143066
2020-04-03,15.396196365356445
2019-10-31,15.462355613708496
2020-04-06,15.660832405090332
2020-06-24,15.537968635559082
2018-11-09,15.80260181427002
2019-07-23,15.783702850341797
2019-06-21,15.774250030517578
2019-05-20,15.90656852722168
2019-04-18,15.991630554199219
2018-09-06,15.963274955749512
2018-10-08,15.774250030517578
2019-02-13,15.887663841247559
2018-12-11,15.972725868225098
2019-09-25,16.25626564025879
2020-01-21,16.03888511657715
2020-04-09,16.407485961914062
2019-11-06,16.37913703918457
2020-01-24,16.190107345581055
2020-01-27,15.726991653442383
2020-04-15,16.237363815307617
2018-12-26,16.28462028503418
2019-08-07,16.18065643310547
2019-06-04,16.31297492980957
2018-09-21,16.58706283569336
2018-07-19,16.50876808166504
2018-08-20,16.3846435546875
2018-10-23,16.62334632873535
2019-05-03,16.80476188659668
2019-04-01,16.80476188659668
2019-02-28,16.422834396362305
2019-11-12,16.260515213012695
2020-01-30,16.260515213012695
2019-11-15,16.3846435546875
2020-04-21,15.697175979614258
2019-04-16,15.821301460266113
2019-03-15,15.439373970031738
2019-02-11,15.534854888916016
2019-01-10,15.458470344543457
2019-08-22,15.515759468078613
2018-11-07,15.649433135986328
2018-08-03,15.477566719055176
2018-09-04,15.172025680541992
2019-06-19,15.32479476928711
2019-09-23,15.066994667053223
2019-11-18,15.124284744262695
2020-02-05,14.85693645477295
