Dates,GWW
2019-08-28,271.075439453125
2018-11-13,269.1331787109375
2018-10-12,270.92974853515625
2019-06-25,271.9300842285156
2020-03-10,276.2807312011719
2020-05-28,276.2905578613281
2019-10-07,273.095458984375
2020-03-13,284.7588806152344
2019-10-10,280.47613525390625
2020-03-16,290.6440124511719
2020-06-03,296.57769775390625
2018-11-28,291.93560791015625
2018-09-25,288.585205078125
2018-07-23,277.96087646484375
2018-08-24,283.4089660644531
2019-07-10,280.5926513671875
2019-05-07,287.61407470703125
2019-04-05,287.53631591796875
2019-03-04,286.86627197265625
2019-01-31,284.04022216796875
2019-09-12,289.99334716796875
2019-12-31,291.3335266113281
2020-03-19,294.7616271972656
2020-01-03,294.3149108886719
2020-06-09,293.0760192871094
2019-02-15,299.3291320800781
2019-01-14,304.87005615234375
2018-07-06,305.6407470703125
2018-08-07,304.177490234375
2018-10-10,308.8697204589844
2018-12-13,306.94793701171875
2019-08-26,303.42633056640625
2019-07-25,302.0118103027344
2019-05-22,304.7237548828125
2019-03-19,303.75799560546875
2020-01-06,300.9972229003906
2020-03-25,303.50433349609375
2020-06-12,297.3097839355469
2019-10-22,295.1246032714844
2020-01-09,295.2124328613281
2020-06-15,293.9247131347656
2019-10-25,295.04656982421875
2020-03-31,290.4128723144531
2020-06-18,286.2181396484375
2019-04-03,287.7691650390625
2018-08-22,288.139892578125
2018-10-25,292.1590270996094
2019-01-29,290.24700927734375
2018-12-28,289.9055480957031
2018-11-26,294.6661376953125
2019-08-09,292.20782470703125
2019-07-08,290.7249755859375
2019-06-06,297.5146484375
2019-09-10,285.3498840332031
2020-01-15,282.5111389160156
2020-04-03,282.24774169921875
2019-10-31,282.90130615234375
2020-04-06,286.58880615234375
2020-06-24,293.5637512207031
2018-11-09,303.64093017578125
2019-07-23,303.65069580078125
2019-06-21,303.95306396484375
2019-05-20,305.9626770019531
2019-04-18,308.7526550292969
2018-09-06,307.2503662109375
2018-10-08,297.80731201171875
2019-02-13,295.7489929199219
2018-12-11,301.42645263671875
2019-09-25,297.3975524902344
2020-01-21,297.329345703125
2020-04-09,298.5096740722656
2019-11-06,300.77288818359375
2020-01-24,300.6363525390625
2020-01-27,284.08172607421875
2020-04-15,286.0132751464844
2018-12-26,287.15460205078125
2019-08-07,287.7789306640625
2019-06-04,284.76458740234375
2018-09-21,277.87738037109375
2018-07-19,275.09716796875
2018-08-20,268.13189697265625
2018-10-23,272.121826171875
2019-05-03,276.6092224121094
2019-04-01,272.4729919433594
2019-02-28,269.6927490234375
2019-11-12,269.80010986328125
2020-01-30,266.7467041015625
2019-11-15,262.5199279785156
2020-04-21,254.96864318847656
2019-04-16,256.9986572265625
2019-03-15,256.73388671875
2019-02-11,258.7638854980469
2019-01-10,261.94134521484375
2019-08-22,265.4914245605469
2018-11-07,267.0703125
2018-08-03,254.0860137939453
2018-09-04,255.88070678710938
2019-06-19,253.56626892089844
2019-09-23,254.39002990722656
2019-11-18,256.7142639160156
2020-02-05,259.47979736328125
2020-04-24,256.63580322265625
2019-03-29,257.7832336425781
2019-11-21,264.2851867675781
2020-04-27,263.9615783691406
2020-02-11,260.7154541015625
2020-04-30,265.8836975097656
2019-05-01,269.86529541015625
2019-02-26,269.1199645996094
2019-01-25,269.73773193359375
2018-12-24,274.3568420410156
2019-09-06,267.0997619628906
2018-07-17,267.1781921386719
2018-09-19,266.61920166015625
2019-08-05,268.8845520019531
2019-10-08,271.4540100097656
2019-12-11,268.7276611328125
2019-11-27,265.7954406738281
2020-02-14,262.3924560546875
2020-05-06,261.2548522949219
2019-01-08,260.9900817871094
2018-12-07,263.0495300292969
2019-08-20,262.127685546875
2018-11-05,260.02899169921875
2019-07-19,263.5888977050781
2018-10-04,264.32440185546875
2019-06-17,260.7547302246094
2019-05-16,261.5392761230469
2018-08-01,253.54666137695312
2019-03-13,257.7341613769531
2019-12-03,264.00079345703125
2020-02-20,266.04058837890625
2019-12-06,267.63916015625
2020-05-12,263.8046569824219
2019-12-09,263.4712219238281
2020-02-26,262.05902099609375
2020-05-15,264.216552734375
2019-03-28,273.395751953125
2018-09-17,298.1972961425781
2018-08-16,294.33343505859375
2018-10-19,294.009765625
2019-04-29,285.91912841796875
2019-01-23,290.9892883300781
2019-09-04,285.4091491699219
2018-11-20,272.2875671386719
2019-07-02,271.0519104003906
2019-05-31,263.6379089355469
2019-12-12,264.7657165527344
2020-05-18,269.00225830078125
2019-09-27,271.3363342285156
2020-03-03,264.5538635253906
2020-05-21,259.6445007324219
2019-05-14,264.4158935546875
2018-08-31,260.6007385253906
2018-07-30,261.0542297363281
2018-10-02,265.44110107421875
2019-04-12,271.48419189453125
2019-03-11,268.2113037109375
2019-02-07,270.9222717285156
2019-07-17,268.99005126953125
2019-09-19,262.2470703125
2019-10-21,263.6765441894531
2019-12-18,261.6062927246094
2020-03-06,264.5736083984375
2019-10-03,269.48297119140625
2020-03-09,269.76885986328125
2020-05-27,262.3259582519531
2019-12-24,264.3666076660156
2020-03-12,272.8544921875
2018-12-20,274.2740478515625
2019-08-01,281.8450927734375
2018-08-14,286.60662841796875
2018-07-13,290.8160705566406
2018-10-17,289.4359130859375
2019-05-29,291.3681335449219
2019-03-26,291.6145935058594
2019-02-22,287.50372314453125
2019-10-04,288.3318176269531
2019-11-05,288.0163269042969
2019-12-27,288.0360412597656
2020-06-02,286.9418029785156
2019-12-30,282.4957580566406
2020-03-18,286.981201171875
2020-06-05,289.4555969238281
2019-07-15,290.8061828613281
2018-12-03,292.9355773925781
2019-06-13,281.99298095703125
2019-01-04,283.1069641113281
2018-08-29,284.5955505371094
2019-02-05,287.0798034667969
2018-11-01,284.8716125488281
2019-08-16,278.187744140625
2019-04-10,279.96221923828125
2019-09-17,284.615234375
2019-10-15,300.8714294433594
2020-01-02,301.7290344238281
2020-06-08,302.9810485839844
2019-10-18,303.49365234375
2020-03-24,306.33282470703125
2020-06-11,305.6821594238281
2020-01-08,312.28717041015625
2019-04-25,314.6531066894531
2019-07-30,308.0086975097656
2019-02-20,310.7394104003906
2018-07-11,312.8392028808594
2018-09-13,311.9026794433594
2018-10-15,308.5015869140625
2019-06-28,305.9779357910156
2018-12-18,304.45977783203125
2018-11-16,313.1645202636719
2019-10-02,314.8404235839844
2020-03-27,317.8964538574219
2020-01-10,316.70361328125
2019-10-24,317.6047668457031
2020-03-30,321.75390625
2020-06-17,323.962158203125
2020-01-14,322.2688293457031
2020-04-02,319.3772888183594
2019-01-02,319.26837158203125
2019-08-14,320.31805419921875
2018-10-30,314.39630126953125
2019-06-11,312.82177734375
2019-05-10,309.306396484375
2019-04-08,309.5836486816406
2018-08-27,315.8916015625
2018-07-26,317.3670654296875
2018-09-28,317.5552062988281
2019-03-07,316.1292419433594
2019-10-30,313.861572265625
2020-01-17,311.96026611328125
2020-06-23,309.5341491699219
2020-04-08,313.7823486328125
2020-06-26,315.1885070800781
2019-03-22,318.3573303222656
2019-01-17,321.1498718261719
2019-08-29,320.4170837402344
2018-11-14,326.30908203125
2019-06-26,335.4986572265625
2018-09-11,329.0718994140625
2018-07-09,333.9340515136719
2018-08-10,328.25
2019-04-23,329.2897644042969
2019-09-30,331.5772399902344
2020-01-23,334.3004455566406
2019-11-08,334.42919921875
2020-04-14,334.0924987792969
2019-11-11,335.6075744628906
2020-01-29,334.181640625
2020-04-17,334.9540100097656
2018-07-24,335.2214050292969
2018-09-26,341.35107421875
2019-05-08,337.34051513671875
2019-03-05,334.201416015625
2019-02-01,334.54803466796875
2018-12-31,338.0832214355469
2018-11-29,339.8260803222656
2019-08-12,337.98419189453125
2019-07-11,341.0837097167969
2019-09-13,336.9642333984375
2019-11-14,335.9640808105469
2020-04-20,337.8158874511719
2020-02-04,336.83551025390625
2020-04-23,331.1910705566406
2018-12-14,327.843994140625
2019-08-27,329.2996520996094
2018-08-08,325.7941589355469
2018-10-11,318.9811706542969
2018-11-12,320.2982482910156
2019-07-26,324.2988586425781
2019-06-24,309.50445556640625
2019-05-23,299.7207336425781
2019-03-20,300.2752685546875
2019-01-15,305.1374206542969
2019-11-20,311.9899597167969
2020-02-07,306.9595031738281
2020-02-10,298.164794921875
2020-04-29,296.64263916015625
2019-11-26,299.3287658691406
2020-02-13,309.3670959472656
2019-01-30,303.7957763671875
2018-08-23,306.07403564453125
2018-09-24,306.601318359375
2018-11-27,305.5666809082031
2018-10-26,308.7005310058594
2019-07-09,301.7662353515625
2019-06-07,294.5235290527344
2019-05-06,283.3311462402344
2019-04-04,283.3908386230469
2019-09-11,278.3567810058594
2019-11-29,276.1182861328125
2020-05-05,287.40020751953125
2019-12-02,284.3956604003906
2020-02-19,293.1605529785156
2020-05-08,288.85272216796875
2019-05-21,283.1719665527344
2019-03-18,254.51950073242188
2018-09-07,278.1876220703125
2018-08-06,273.2032775878906
2018-10-09,244.9288787841797
2019-02-14,264.65728759765625
2018-12-12,228.35421752929688
2019-07-24,245.1676483154297
2019-09-26,234.681640625
2019-10-28,233.77630615234375
2019-12-05,212.68490600585938
2020-05-11,208.41688537597656
2019-07-03,237.46730041503906
2020-02-25,236.074462890625
2020-05-14,247.744384765625
2020-02-28,245.8839569091797
2019-08-08,253.83303833007812
2019-06-05,247.22705078125
2018-07-20,235.3084259033203
2018-08-21,238.46217346191406
2018-10-24,237.5369415283203
2019-04-02,249.893310546875
2019-03-01,256.6087341308594
2019-01-28,269.0148620605469
2018-12-27,278.43634033203125
2019-09-09,272.9545593261719
2020-03-02,286.1566162109375
2020-05-20,277.99859619140625
2019-12-17,278.4861145019531
2020-03-05,278.7845764160156
2019-02-12,273.10382080078125
2019-01-11,268.7064514160156
2018-12-10,274.71551513671875
2019-08-23,257.1061706542969
2018-11-08,268.2288818359375
2019-07-22,275.700439453125
2019-06-20,284.5548400878906
2018-09-05,279.2024230957031
2019-04-17,274.1683044433594
2019-09-24,266.2889099121094
2019-12-20,270.7260437011719
2020-05-26,277.77972412109375
2019-04-30,279.0631408691406
2019-12-23,279.66998291015625
2020-03-11,285.45001220703125
2020-05-29,286.5899963378906
2019-12-26,277.2099914550781
2020-06-01,273.07000732421875
2019-05-02,277.0199890136719
2019-02-27,278.7900085449219
2018-11-23,290.9200134277344
2019-08-06,286.510009765625
