Dates,CPB
2018-09-26,47.444061279296875
2019-05-08,47.385353088378906
2019-03-05,47.463626861572266
2019-02-01,47.493194580078125
2018-12-31,46.665340423583984
2018-11-29,46.93143844604492
2019-08-12,47.03984451293945
2019-07-11,47.02999496459961
2019-09-13,46.852596282958984
2019-11-14,47.0891227722168
2020-04-20,47.3946418762207
2020-02-04,47.32565689086914
2020-04-23,47.85784912109375
2018-12-14,47.867698669433594
2019-08-27,48.2520637512207
2018-08-08,48.08451843261719
2018-10-11,48.0648078918457
2018-11-12,48.173221588134766
2019-07-26,47.641029357910156
2019-06-24,48.321048736572266
2019-05-23,47.69029998779297
2019-03-20,48.163360595703125
2019-01-15,47.956398010253906
2019-11-20,48.29148483276367
2020-02-07,47.46363067626953
2020-02-10,48.173221588134766
2020-04-29,47.99582290649414
2019-11-26,48.025386810302734
2020-02-13,47.483341217041016
2019-01-30,47.660736083984375
2018-08-23,47.93668746948242
2018-09-24,47.5030517578125
2018-11-27,47.09897994995117
2018-10-26,47.04970169067383
2019-07-09,47.26652145385742
2019-06-07,47.32565689086914
2019-05-06,47.187679290771484
2019-04-04,45.965606689453125
2019-09-11,45.03919982910156
2019-11-29,44.46758270263672
2020-05-05,47.286231994628906
2019-12-02,47.187679290771484
2020-02-19,51.95769500732422
2020-05-08,52.33219909667969
2019-05-21,51.011573791503906
2019-03-18,49.4741325378418
2018-09-07,50.518802642822266
2018-08-06,49.74022674560547
2018-10-09,46.990570068359375
2019-02-14,48.56743240356445
2018-12-12,48.58714294433594
2019-07-24,53.061500549316406
2019-09-26,49.750083923339844
2019-10-28,46.813175201416016
2019-12-05,44.644981384277344
2020-05-11,42.30924987792969
2019-07-03,42.87101364135742
2020-02-25,40.81122970581055
2020-05-14,42.95970916748047
2020-02-28,43.55103302001953
2019-08-08,45.85719680786133
2019-06-05,45.492549896240234
2018-07-20,45.31515121459961
2018-08-21,46.76389694213867
2018-10-24,48.813819885253906
2019-04-02,46.92158508300781
2019-03-01,46.06416320800781
2019-01-28,45.835777282714844
2018-12-27,47.41461181640625
