Dates,ESS
2019-05-03,281.69000244140625
2019-04-01,281.6700134277344
2019-02-28,276.760009765625
2019-11-12,278.3599853515625
2020-01-30,276.54998779296875
2019-11-15,279.9599914550781
2020-04-21,281.6099853515625
2019-04-16,281.8299865722656
2019-03-15,281.67999267578125
2019-02-11,283.70001220703125
2019-01-10,283.7799987792969
2019-08-22,282.6700134277344
2018-11-07,285.1700134277344
2018-08-03,285.239990234375
2018-09-04,287.260009765625
2019-06-19,289.8999938964844
2019-09-23,289.19000244140625
2019-11-18,283.82000732421875
2020-02-05,284.7699890136719
2020-04-24,284.8699951171875
2019-03-29,286.1400146484375
2019-11-21,283.7200012207031
2020-04-27,287.739990234375
2020-02-11,294.260009765625
2020-04-30,296.1700134277344
2019-05-01,293.510009765625
2019-02-26,294.2300109863281
2019-01-25,297.82000732421875
2018-12-24,296.70001220703125
2019-09-06,297.5899963378906
2018-07-17,299.94000244140625
2018-09-19,299.04998779296875
2019-08-05,298.3399963378906
2019-10-08,302.30999755859375
2019-12-11,297.7300109863281
2019-11-27,297.25
2020-02-14,293.94000244140625
2020-05-06,287.2699890136719
2019-01-08,287.4200134277344
2018-12-07,288.4200134277344
2019-08-20,287.8299865722656
2018-11-05,294.2799987792969
2019-07-19,299.5899963378906
2018-10-04,294.8699951171875
2019-06-17,300.8900146484375
2019-05-16,302.489990234375
2018-08-01,303.70001220703125
2019-03-13,303.9200134277344
2019-12-03,303.19000244140625
2020-02-20,302.6600036621094
2019-12-06,302.7099914550781
2020-05-12,301.25
2019-12-09,299.55999755859375
2020-02-26,294.489990234375
2020-05-15,292.0
2019-03-28,291.1099853515625
2018-09-17,292.6499938964844
2018-08-16,293.69000244140625
2018-10-19,299.3999938964844
2019-04-29,303.9800109863281
2019-01-23,305.0
2019-09-04,300.30999755859375
2018-11-20,296.5
2019-07-02,304.1300048828125
2019-05-31,291.19000244140625
2019-12-12,293.5299987792969
2020-05-18,294.8500061035156
2019-09-27,299.239990234375
2020-03-03,302.3299865722656
2020-05-21,306.3999938964844
2019-05-14,306.79998779296875
2018-08-31,306.6300048828125
2018-07-30,307.3800048828125
2018-10-02,313.4100036621094
2019-04-12,313.8699951171875
2019-03-11,314.8500061035156
2019-02-07,315.010009765625
2019-07-17,317.05999755859375
2019-09-19,314.30999755859375
2019-10-21,314.3999938964844
2019-12-18,318.8399963378906
2020-03-06,317.6300048828125
2019-10-03,319.20001220703125
2020-03-09,319.4200134277344
2020-05-27,319.94000244140625
2019-12-24,322.7099914550781
2020-03-12,320.8999938964844
2018-12-20,325.1600036621094
2019-08-01,324.5899963378906
2018-08-14,315.5400085449219
2018-07-13,318.4800109863281
2018-10-17,321.5400085449219
2019-05-29,319.0
2019-03-26,321.95001220703125
2019-02-22,324.7799987792969
2019-10-04,325.70001220703125
2019-11-05,326.3999938964844
2019-12-27,322.1000061035156
2020-06-02,320.6199951171875
2019-12-30,323.7799987792969
2020-03-18,324.54998779296875
2020-06-05,328.3699951171875
2019-07-15,324.45001220703125
2018-12-03,325.739990234375
2019-06-13,322.1000061035156
2019-01-04,323.3699951171875
2018-08-29,325.010009765625
2019-02-05,328.55999755859375
2018-11-01,327.67999267578125
2019-08-16,326.30999755859375
2019-04-10,328.0
2019-09-17,327.239990234375
2019-10-15,325.9200134277344
2020-01-02,325.5299987792969
2020-06-08,325.8500061035156
2019-10-18,324.4100036621094
2020-03-24,327.8599853515625
2020-06-11,328.5400085449219
2020-01-08,329.45001220703125
2019-04-25,330.7099914550781
2019-07-30,326.1300048828125
2019-02-20,322.0199890136719
2018-07-11,322.2099914550781
2018-09-13,320.80999755859375
2018-10-15,321.7699890136719
2019-06-28,322.42999267578125
2018-12-18,326.3599853515625
2018-11-16,322.1300048828125
2019-10-02,320.5299987792969
2020-03-27,312.94000244140625
2020-01-10,315.5299987792969
2019-10-24,312.05999755859375
2020-03-30,313.8900146484375
2020-06-17,312.1199951171875
2020-01-14,308.6199951171875
2020-04-02,310.1099853515625
2019-01-02,312.3299865722656
2019-08-14,313.4200134277344
2018-10-30,319.7699890136719
2019-06-11,318.95001220703125
2019-05-10,318.7099914550781
2019-04-08,313.760009765625
2018-08-27,310.0
2018-07-26,309.3800048828125
2018-09-28,310.2200012207031
2019-03-07,310.1700134277344
2019-10-30,311.510009765625
2020-01-17,304.25
2020-06-23,304.32000732421875
2020-04-08,304.3299865722656
2020-06-26,309.010009765625
2019-03-22,309.8999938964844
2019-01-17,309.3699951171875
2019-08-29,308.1300048828125
2018-11-14,303.75
2019-06-26,299.2799987792969
2018-09-11,296.8299865722656
2018-07-09,297.6300048828125
2018-08-10,295.45001220703125
2019-04-23,294.5
2019-09-30,295.25
2020-01-23,296.1000061035156
2019-11-08,295.4800109863281
2020-04-14,296.5
2019-11-11,297.3800048828125
2020-01-29,298.6499938964844
2020-04-17,298.04998779296875
2018-07-24,297.3999938964844
2018-09-26,295.8599853515625
2019-05-08,296.5
2019-03-05,298.75
2019-02-01,294.5400085449219
2018-12-31,295.8900146484375
2018-11-29,297.1499938964844
2019-08-12,299.20001220703125
2019-07-11,302.0899963378906
2019-09-13,300.19000244140625
2019-11-14,301.2799987792969
2020-04-20,302.510009765625
2020-02-04,304.3299865722656
2020-04-23,308.95001220703125
2018-12-14,307.3800048828125
2019-08-27,307.4100036621094
