Dates,ESS
2019-12-04,251.7100067138672
2020-02-21,257.0
2018-12-17,256.19000244140625
2019-08-30,254.8699951171875
2018-11-15,257.760009765625
2019-07-29,256.3399963378906
2019-06-27,256.3299865722656
2019-04-24,252.30999755859375
2018-07-10,255.9600067138672
2018-09-12,258.2799987792969
2019-02-19,260.0299987792969
2019-01-18,262.2300109863281
2020-02-24,258.54998779296875
2020-05-13,258.1199951171875
2019-12-10,258.6400146484375
2020-02-27,260.239990234375
2019-12-13,260.3299865722656
2020-05-19,262.5899963378906
2019-03-06,264.7200012207031
2018-11-30,264.7099914550781
2019-08-13,265.94000244140625
2019-07-12,267.4100036621094
2019-06-10,263.9100036621094
2019-05-09,265.8999938964844
2018-07-25,265.30999755859375
2018-09-27,264.69000244140625
2018-10-29,262.739990234375
2019-10-16,264.6499938964844
2019-12-16,259.5799865722656
2020-03-04,258.7099914550781
2020-05-22,258.7900085449219
2019-10-01,262.75
2019-12-19,252.5
2018-09-10,245.13999938964844
2019-05-24,245.88999938964844
2018-08-09,249.13999938964844
2019-04-22,245.47999572753906
2019-03-21,243.35000610351562
2019-01-16,240.8800048828125
2019-08-28,240.94000244140625
2018-11-13,242.24000549316406
2018-10-12,245.92999267578125
2019-06-25,245.3699951171875
2020-03-10,249.1300048828125
2020-05-28,249.6999969482422
2019-10-07,250.5500030517578
2020-03-13,253.77000427246094
2019-10-10,257.8299865722656
2020-03-16,259.8299865722656
2020-06-03,260.05999755859375
2018-11-28,261.70001220703125
2018-09-25,262.0
2018-07-23,262.7300109863281
2018-08-24,264.5400085449219
2019-07-10,267.1700134277344
2019-05-07,269.05999755859375
2019-04-05,284.0899963378906
2019-03-04,272.739990234375
2019-01-31,271.70001220703125
2019-09-12,274.7900085449219
2019-12-31,277.3699951171875
2020-03-19,277.25
2020-01-03,277.8800048828125
2020-06-09,278.32000732421875
2019-02-15,280.1099853515625
2019-01-14,278.45001220703125
2018-07-06,278.6400146484375
2018-08-07,279.45001220703125
2018-10-10,279.69000244140625
2018-12-13,280.6400146484375
2019-08-26,280.0299987792969
2019-07-25,280.3999938964844
2019-05-22,282.92999267578125
2019-03-19,282.6199951171875
2020-01-06,280.4599914550781
2020-03-25,280.05999755859375
2020-06-12,284.2099914550781
2019-10-22,280.25
2020-01-09,282.4700012207031
2020-06-15,282.9599914550781
2019-10-25,282.739990234375
2020-03-31,286.04998779296875
2020-06-18,284.3699951171875
2019-04-03,286.29998779296875
2018-08-22,287.3599853515625
2018-10-25,291.1499938964844
2019-01-29,291.2300109863281
2018-12-28,290.94000244140625
2018-11-26,290.9599914550781
2019-08-09,286.739990234375
2019-07-08,287.5
2019-06-06,290.04998779296875
2019-09-10,294.6099853515625
2020-01-15,291.3999938964844
2020-04-03,292.989990234375
2019-10-31,294.1099853515625
2020-04-06,290.8500061035156
2020-06-24,291.0299987792969
2018-11-09,288.8699951171875
2019-07-23,292.4700012207031
2019-06-21,291.67999267578125
2019-05-20,290.94000244140625
2019-04-18,289.5
2018-09-06,289.3999938964844
2018-10-08,288.1300048828125
2019-02-13,289.6400146484375
2018-12-11,290.2799987792969
2019-09-25,290.17999267578125
2020-01-21,291.30999755859375
2020-04-09,288.75
2019-11-06,279.3299865722656
2020-01-24,278.5
2020-01-27,277.3599853515625
2020-04-15,278.80999755859375
2018-12-26,279.54998779296875
2019-08-07,282.9800109863281
2019-06-04,283.1000061035156
2018-09-21,282.9200134277344
2018-07-19,283.20001220703125
2018-08-20,287.8599853515625
2018-10-23,286.8999938964844
2019-05-03,285.0199890136719
2019-04-01,285.7799987792969
2019-02-28,284.4599914550781
2019-11-12,281.9700012207031
2020-01-30,281.239990234375
2019-11-15,284.92999267578125
2020-04-21,284.44000244140625
2019-04-16,285.0400085449219
2019-03-15,285.3599853515625
2019-02-11,287.0199890136719
2019-01-10,286.1400146484375
2019-08-22,287.19000244140625
2018-11-07,287.739990234375
2018-08-03,288.7699890136719
2018-09-04,289.69000244140625
2019-06-19,292.7099914550781
2019-09-23,293.3999938964844
2019-11-18,289.6400146484375
2020-02-05,287.1499938964844
2020-04-24,293.5400085449219
2019-03-29,294.55999755859375
2019-11-21,289.7099914550781
2020-04-27,295.6499938964844
2020-02-11,297.8599853515625
2020-04-30,299.6600036621094
2019-05-01,298.010009765625
2019-02-26,299.2799987792969
2019-01-25,300.9599914550781
2018-12-24,299.6300048828125
2019-09-06,299.7099914550781
2018-07-17,303.0799865722656
2018-09-19,303.6300048828125
2019-08-05,303.67999267578125
2019-10-08,305.2300109863281
2019-12-11,302.1600036621094
2019-11-27,300.6099853515625
2020-02-14,300.17999267578125
2020-05-06,294.55999755859375
2019-01-08,291.7699890136719
2018-12-07,293.1499938964844
2019-08-20,294.489990234375
2018-11-05,299.5199890136719
2019-07-19,302.04998779296875
2018-10-04,301.8800048828125
2019-06-17,305.0
2019-05-16,305.989990234375
2018-08-01,308.7300109863281
2019-03-13,308.2900085449219
2019-12-03,306.7699890136719
2020-02-20,306.6700134277344
2019-12-06,304.8399963378906
2020-05-12,305.79998779296875
2019-12-09,303.7099914550781
2020-02-26,303.5
2020-05-15,296.3900146484375
2019-03-28,295.6600036621094
2018-09-17,296.1600036621094
2018-08-16,299.760009765625
2018-10-19,304.2699890136719
2019-04-29,308.9200134277344
2019-01-23,310.5400085449219
2019-09-04,309.0899963378906
2018-11-20,306.7099914550781
2019-07-02,307.2300109863281
2019-05-31,304.739990234375
2019-12-12,300.9800109863281
2020-05-18,303.55999755859375
2019-09-27,304.75
2020-03-03,307.75
2020-05-21,312.8999938964844
2019-05-14,313.42999267578125
2018-08-31,313.3999938964844
2018-07-30,313.30999755859375
2018-10-02,316.8800048828125
2019-04-12,318.19000244140625
2019-03-11,319.1499938964844
2019-02-07,318.3900146484375
2019-07-17,321.2099914550781
2019-09-19,322.42999267578125
2019-10-21,319.7200012207031
2019-12-18,322.67999267578125
2020-03-06,320.6600036621094
2019-10-03,322.0799865722656
2020-03-09,322.3299865722656
2020-05-27,322.8900146484375
2019-12-24,326.4200134277344
2020-03-12,324.9800109863281
2018-12-20,327.42999267578125
2019-08-01,327.42999267578125
2018-08-14,324.25
2018-07-13,322.260009765625
2018-10-17,326.6199951171875
2019-05-29,324.70001220703125
2019-03-26,324.5
