Dates,NI
2018-08-20,27.770000457763672
2018-10-23,27.829999923706055
2019-05-03,28.010000228881836
2019-04-01,28.18000030517578
2019-02-28,27.93000030517578
2019-11-12,27.729999542236328
2020-01-30,27.65999984741211
2019-11-15,28.100000381469727
2020-04-21,28.350000381469727
2019-04-16,28.389999389648438
2019-03-15,28.280000686645508
2019-02-11,28.329999923706055
2019-01-10,28.43000030517578
2019-08-22,28.489999771118164
2018-11-07,28.34000015258789
2018-08-03,28.420000076293945
2018-09-04,28.479999542236328
2019-06-19,28.719999313354492
2019-09-23,28.579999923706055
2019-11-18,27.969999313354492
2020-02-05,27.6299991607666
2020-04-24,27.889999389648438
2019-03-29,28.139999389648438
2019-11-21,28.110000610351562
2020-04-27,28.639999389648438
2020-02-11,28.719999313354492
2020-04-30,28.889999389648438
2019-05-01,28.479999542236328
2019-02-26,28.5
2019-01-25,28.6200008392334
2018-12-24,28.719999313354492
2019-09-06,28.829999923706055
2018-07-17,29.350000381469727
2018-09-19,29.510000228881836
2019-08-05,29.600000381469727
2019-10-08,29.75
2019-12-11,29.489999771118164
2019-11-27,29.530000686645508
2020-02-14,29.530000686645508
2020-05-06,29.25
2019-01-08,28.84000015258789
2018-12-07,28.920000076293945
2019-08-20,28.780000686645508
2018-11-05,29.100000381469727
2019-07-19,29.6200008392334
2018-10-04,29.459999084472656
2019-06-17,29.6200008392334
2019-05-16,29.56999969482422
2018-08-01,29.649999618530273
2019-03-13,29.600000381469727
2019-12-03,29.56999969482422
2020-02-20,29.459999084472656
2019-12-06,29.40999984741211
2020-05-12,29.469999313354492
2019-12-09,29.6200008392334
2020-02-26,29.600000381469727
2020-05-15,29.350000381469727
2019-03-28,29.309999465942383
2018-09-17,29.610000610351562
2018-08-16,29.670000076293945
2018-10-19,29.649999618530273
2019-04-29,29.850000381469727
2019-01-23,29.799999237060547
2019-09-04,29.959999084472656
2018-11-20,30.34000015258789
2019-07-02,30.18000030517578
2019-05-31,29.350000381469727
2019-12-12,28.270000457763672
2020-05-18,28.010000228881836
2019-09-27,28.84000015258789
2020-03-03,28.950000762939453
2020-05-21,28.90999984741211
2019-05-14,28.81999969482422
2018-08-31,29.079999923706055
2018-07-30,29.15999984741211
2018-10-02,29.530000686645508
