Dates,SO
2019-01-30,4513500.0
2018-08-23,5032000.0
2018-09-24,5167500.0
2018-11-27,4894000.0
2018-10-26,5046500.0
2019-07-09,5386400.0
2019-06-07,5644300.0
2019-05-06,5246600.0
2019-04-04,5026400.0
2019-09-11,8525600.0
2019-11-29,15575400.0
2020-05-05,7744600.0
2019-12-02,9656500.0
2020-02-19,6517200.0
2020-05-08,7867000.0
2019-05-21,9790800.0
2019-03-18,8520000.0
2018-09-07,10316600.0
2018-08-06,7726600.0
2018-10-09,10790400.0
2019-02-14,9862400.0
2018-12-12,10451100.0
2019-07-24,10298100.0
2019-09-26,8141700.0
2019-10-28,6855400.0
2019-12-05,11839200.0
2020-05-11,10346000.0
2019-07-03,8055000.0
2020-02-25,8206500.0
2020-05-14,8647300.0
2020-02-28,10065000.0
2019-08-08,7222600.0
2019-06-05,9803300.0
2018-07-20,6932900.0
2018-08-21,5471100.0
2018-10-24,6180300.0
2019-04-02,6795800.0
2019-03-01,6086000.0
2019-01-28,5636100.0
2018-12-27,7530900.0
2019-09-09,4771400.0
2020-03-02,4522300.0
2020-05-20,5571900.0
2019-12-17,5003600.0
2020-03-05,4648100.0
2019-02-12,4436400.0
2019-01-11,5497900.0
2018-12-10,3662900.0
2019-08-23,4653200.0
2018-11-08,4860100.0
2019-07-22,4661900.0
2019-06-20,3713900.0
2018-09-05,4590300.0
2019-04-17,8494300.0
2019-09-24,4758700.0
2019-12-20,4480200.0
2020-05-26,4002700.0
2019-04-30,3796700.0
2019-12-23,4697700.0
2020-03-11,4349200.0
2020-05-29,6946800.0
2019-12-26,8897900.0
2020-06-01,7166300.0
2019-05-02,5028800.0
2019-02-27,7756200.0
2018-11-23,4266000.0
2019-08-06,3199300.0
2018-07-18,6340900.0
2018-09-20,3198500.0
2018-10-22,4437800.0
2019-07-05,6801200.0
2019-06-03,4483100.0
2019-10-09,4551000.0
2019-10-11,6581700.0
2020-03-17,3119300.0
2020-06-04,4098400.0
2019-10-14,3717700.0
2020-03-20,3346300.0
2018-11-06,4681600.0
2019-06-18,5035800.0
2019-05-17,7344200.0
2019-04-15,5150100.0
2019-03-14,5447600.0
2019-01-09,4533100.0
2018-08-02,4628200.0
2018-10-05,5000900.0
2019-08-21,4593200.0
2019-10-17,3770300.0
2020-03-23,10434600.0
2020-06-10,4692700.0
2019-02-25,6071100.0
2020-01-07,6370300.0
2020-03-26,6995100.0
2019-10-23,6730000.0
