Dates,SO
2019-01-14,49.369998931884766
2018-07-06,49.220001220703125
2018-08-07,49.20000076293945
2018-10-10,48.560001373291016
2018-12-13,48.91999816894531
2019-08-26,49.7400016784668
2019-07-25,50.220001220703125
2019-05-22,50.369998931884766
2019-03-19,49.560001373291016
2020-01-06,49.220001220703125
2020-03-25,49.380001068115234
2020-06-12,49.689998626708984
2019-10-22,49.97999954223633
2020-01-09,50.099998474121094
2020-06-15,50.06999969482422
2019-10-25,50.130001068115234
2020-03-31,50.4900016784668
2020-06-18,50.900001525878906
2019-04-03,51.400001525878906
2018-08-22,51.68000030517578
2018-10-25,51.72999954223633
2019-01-29,51.529998779296875
2018-12-28,51.86000061035156
2018-11-26,51.779998779296875
2019-08-09,50.9900016784668
2019-07-08,51.18000030517578
2019-06-06,51.56999969482422
2019-09-10,51.880001068115234
2020-01-15,52.04999923706055
2020-04-03,52.529998779296875
2019-10-31,52.22999954223633
2020-04-06,51.349998474121094
2020-06-24,51.68000030517578
2018-11-09,51.40999984741211
2019-07-23,51.63999938964844
2019-06-21,51.5
2019-05-20,51.20000076293945
2019-04-18,51.650001525878906
2018-09-06,51.5099983215332
2018-10-08,51.95000076293945
2019-02-13,51.77000045776367
2018-12-11,52.119998931884766
2019-09-25,52.5
2020-01-21,52.720001220703125
2020-04-09,52.38999938964844
2019-11-06,52.15999984741211
2020-01-24,51.959999084472656
2020-01-27,51.93000030517578
2020-04-15,51.84000015258789
2018-12-26,52.22999954223633
2019-08-07,52.439998626708984
2019-06-04,52.540000915527344
2018-09-21,52.2599983215332
2018-07-19,53.220001220703125
2018-08-20,52.52000045776367
2018-10-23,52.75
2019-05-03,53.2400016784668
2019-04-01,53.0099983215332
2019-02-28,52.86000061035156
2019-11-12,52.20000076293945
2020-01-30,52.36000061035156
2019-11-15,53.369998931884766
2020-04-21,54.099998474121094
2019-04-16,53.630001068115234
2019-03-15,53.63999938964844
2019-02-11,54.060001373291016
2019-01-10,53.81999969482422
2019-08-22,54.08000183105469
2018-11-07,53.970001220703125
2018-08-03,54.11000061035156
2018-09-04,54.34000015258789
2019-06-19,54.349998474121094
2019-09-23,53.560001373291016
2019-11-18,52.88999938964844
2020-02-05,53.0
2020-04-24,53.5
2019-03-29,54.15999984741211
2019-11-21,54.20000076293945
2020-04-27,54.810001373291016
2020-02-11,55.380001068115234
2020-04-30,54.709999084472656
2019-05-01,54.47999954223633
2019-02-26,54.54999923706055
2019-01-25,55.150001525878906
2018-12-24,55.150001525878906
2019-09-06,55.650001525878906
2018-07-17,55.5
2018-09-19,55.2599983215332
2019-08-05,55.7400016784668
2019-10-08,56.02000045776367
2019-12-11,56.27000045776367
2019-11-27,56.279998779296875
2020-02-14,55.97999954223633
2020-05-06,54.97999954223633
2019-01-08,55.08000183105469
2018-12-07,55.279998779296875
2019-08-20,54.84000015258789
2018-11-05,55.86000061035156
2019-07-19,56.310001373291016
2018-10-04,56.36000061035156
2019-06-17,56.310001373291016
2019-05-16,56.560001373291016
2018-08-01,56.90999984741211
2019-03-13,56.4900016784668
2019-12-03,55.66999816894531
2020-02-20,56.11000061035156
2019-12-06,55.65999984741211
2020-05-12,55.790000915527344
2019-12-09,56.130001068115234
2020-02-26,55.27000045776367
2020-05-15,55.47999954223633
2019-03-28,55.41999816894531
2018-09-17,55.63999938964844
2018-08-16,55.36000061035156
2018-10-19,55.7400016784668
2019-04-29,56.11000061035156
2019-01-23,55.290000915527344
2019-09-04,56.20000076293945
2018-11-20,56.97999954223633
2019-07-02,57.36000061035156
2019-05-31,55.93000030517578
2019-12-12,56.939998626708984
2020-05-18,57.45000076293945
2019-09-27,58.189998626708984
2020-03-03,58.33000183105469
2020-05-21,58.68000030517578
2019-05-14,57.20000076293945
2018-08-31,57.060001373291016
2018-07-30,57.630001068115234
2018-10-02,57.47999954223633
2019-04-12,57.939998626708984
2019-03-11,57.689998626708984
2019-02-07,57.95000076293945
2019-07-17,58.45000076293945
2019-09-19,57.68000030517578
2019-10-21,58.34000015258789
2019-12-18,57.7599983215332
2020-03-06,57.810001373291016
