Dates,VRTX
2018-12-26,171.75999450683594
2019-08-07,170.1999969482422
2019-06-04,170.00999450683594
2018-09-21,171.22000122070312
2018-07-19,168.49000549316406
2018-08-20,168.50999450683594
2018-10-23,167.8000030517578
2019-05-03,169.4600067138672
2019-04-01,169.9499969482422
2019-02-28,168.58999633789062
2019-11-12,168.39999389648438
2020-01-30,166.47999572753906
2019-11-15,164.30999755859375
2020-04-21,164.07000732421875
2019-04-16,164.9600067138672
2019-03-15,164.9600067138672
2019-02-11,167.6300048828125
2019-01-10,167.97000122070312
2019-08-22,165.67999267578125
2018-11-07,167.3800048828125
2018-08-03,168.47000122070312
2018-09-04,169.5
2019-06-19,171.3699951171875
2019-09-23,171.05999755859375
2019-11-18,166.3000030517578
2020-02-05,167.25999450683594
2020-04-24,166.10000610351562
2019-03-29,165.8000030517578
2019-11-21,167.0800018310547
2020-04-27,170.38999938964844
2020-02-11,167.4199981689453
2020-04-30,169.25999450683594
2019-05-01,171.50999450683594
2019-02-26,171.75
2019-01-25,169.25999450683594
2018-12-24,167.83999633789062
2019-09-06,167.94000244140625
2018-07-17,171.1699981689453
2018-09-19,174.8000030517578
2019-08-05,177.0
2019-10-08,181.2100067138672
2019-12-11,180.75999450683594
2019-11-27,180.5500030517578
2020-02-14,179.49000549316406
2020-05-06,177.1300048828125
2019-01-08,176.67999267578125
2018-12-07,178.75
2019-08-20,180.80999755859375
2018-11-05,178.8800048828125
2019-07-19,178.5399932861328
2018-10-04,177.41000366210938
2019-06-17,174.17999267578125
2019-05-16,174.77999877929688
2018-08-01,175.52999877929688
2019-03-13,172.74000549316406
2019-12-03,173.9499969482422
2020-02-20,174.6999969482422
2019-12-06,175.5800018310547
2020-05-12,176.3300018310547
2019-12-09,176.3800048828125
2020-02-26,174.0500030517578
2020-05-15,172.41000366210938
2019-03-28,173.39999389648438
2018-09-17,172.30999755859375
2018-08-16,169.02000427246094
2018-10-19,165.85000610351562
2019-04-29,165.27000427246094
2019-01-23,165.52000427246094
2019-09-04,165.66000366210938
2018-11-20,170.1300048828125
2019-07-02,177.05999755859375
2019-05-31,173.9199981689453
2019-12-12,173.63999938964844
2020-05-18,172.47999572753906
2019-09-27,175.58999633789062
2020-03-03,179.38999938964844
2020-05-21,179.1199951171875
2019-05-14,178.0399932861328
2018-08-31,178.85000610351562
2018-07-30,178.3699951171875
2018-10-02,180.83999633789062
2019-04-12,185.8800048828125
2019-03-11,182.89999389648438
2019-02-07,184.60000610351562
2019-07-17,181.47999572753906
2019-09-19,179.24000549316406
2019-10-21,179.55999755859375
2019-12-18,177.27000427246094
2020-03-06,170.5399932861328
2019-10-03,178.13999938964844
2020-03-09,178.75999450683594
2020-05-27,177.5800018310547
2019-12-24,173.55999755859375
2020-03-12,177.02000427246094
2018-12-20,179.3300018310547
2019-08-01,174.4499969482422
2018-08-14,166.64999389648438
2018-07-13,170.89999389648438
2018-10-17,172.0
2019-05-29,172.4499969482422
