Dates,OXY
2018-09-25,65.70999908447266
2018-07-23,65.16000366210938
2018-08-24,66.69999694824219
2019-07-10,66.13999938964844
2019-05-07,66.81999969482422
2019-04-05,67.45999908447266
2019-03-04,67.38999938964844
2019-01-31,68.2300033569336
2019-09-12,67.91000366210938
2019-12-31,67.63999938964844
2020-03-19,67.16000366210938
2020-01-03,66.20999908447266
2020-06-09,64.9800033569336
2019-02-15,65.05999755859375
2019-01-14,66.2699966430664
2018-07-06,68.05000305175781
2018-08-07,67.36000061035156
2018-10-10,68.26000213623047
2018-12-13,67.75
2019-08-26,68.30999755859375
2019-07-25,68.19000244140625
2019-05-22,67.20999908447266
2019-03-19,66.37000274658203
2020-01-06,66.87999725341797
2020-03-25,67.2699966430664
2020-06-12,66.66000366210938
2019-10-22,67.56999969482422
2020-01-09,67.9800033569336
2020-06-15,67.83000183105469
2019-10-25,67.41000366210938
2020-03-31,66.30000305175781
2020-06-18,64.08999633789062
2019-04-03,63.970001220703125
2018-08-22,64.5
2018-10-25,65.16999816894531
2019-01-29,65.48999786376953
2018-12-28,65.5999984741211
2018-11-26,67.08999633789062
2019-08-09,67.79000091552734
2019-07-08,67.73999786376953
2019-06-06,67.30000305175781
2019-09-10,66.8499984741211
2020-01-15,65.33000183105469
2020-04-03,67.48999786376953
2019-10-31,67.20999908447266
2020-04-06,66.66000366210938
2020-06-24,67.4800033569336
2018-11-09,67.27999877929688
2019-07-23,67.62999725341797
2019-06-21,67.2300033569336
2019-05-20,66.62000274658203
2019-04-18,68.36000061035156
2018-09-06,68.83000183105469
2018-10-08,68.18000030517578
2019-02-13,67.69999694824219
2018-12-11,67.56999969482422
2019-09-25,66.44999694824219
2020-01-21,65.25
2020-04-09,64.70999908447266
2019-11-06,64.5999984741211
2020-01-24,62.79999923706055
2020-01-27,63.310001373291016
2020-04-15,62.95000076293945
2018-12-26,62.119998931884766
2019-08-07,63.41999816894531
2019-06-04,61.79999923706055
2018-09-21,60.599998474121094
2018-07-19,59.29999923706055
2018-08-20,59.27000045776367
2018-10-23,57.86000061035156
2019-05-03,58.599998474121094
2019-04-01,59.18000030517578
2019-02-28,59.77000045776367
2019-11-12,60.72999954223633
2020-01-30,57.130001068115234
2019-11-15,56.58000183105469
2020-04-21,54.75
2019-04-16,55.0099983215332
2019-03-15,54.2599983215332
2019-02-11,54.619998931884766
2019-01-10,53.40999984741211
2019-08-22,53.52000045776367
2018-11-07,53.65999984741211
2018-08-03,53.599998474121094
2018-09-04,52.939998626708984
2019-06-19,53.97999954223633
2019-09-23,53.779998779296875
2019-11-18,52.13999938964844
2020-02-05,53.16999816894531
2020-04-24,51.380001068115234
2019-03-29,50.599998474121094
2019-11-21,50.11000061035156
2020-04-27,49.63999938964844
2020-02-11,49.209999084472656
2020-04-30,48.56999969482422
2019-05-01,48.59000015258789
2019-02-26,49.290000915527344
2019-01-25,48.900001525878906
2018-12-24,49.79999923706055
2019-09-06,49.83000183105469
2018-07-17,50.380001068115234
2018-09-19,50.470001220703125
2019-08-05,51.029998779296875
2019-10-08,51.599998474121094
2019-12-11,51.630001068115234
2019-11-27,50.650001525878906
2020-02-14,49.939998626708984
2020-05-06,51.25
2019-01-08,50.650001525878906
2018-12-07,50.279998779296875
2019-08-20,51.36000061035156
2018-11-05,49.77000045776367
2019-07-19,49.25
2018-10-04,49.560001373291016
2019-06-17,49.5099983215332
2019-05-16,49.68000030517578
2018-08-01,50.38999938964844
2019-03-13,50.540000915527344
2019-12-03,52.11000061035156
2020-02-20,51.970001220703125
2019-12-06,51.439998626708984
2020-05-12,51.54999923706055
2019-12-09,51.13999938964844
2020-02-26,52.41999816894531
2020-05-15,52.70000076293945
2019-03-28,52.650001525878906
2018-09-17,52.66999816894531
2018-08-16,52.33000183105469
2018-10-19,51.869998931884766
2019-04-29,51.63999938964844
2019-01-23,52.470001220703125
2019-09-04,52.400001525878906
2018-11-20,54.04999923706055
2019-07-02,53.15999984741211
2019-05-31,50.459999084472656
2019-12-12,49.630001068115234
2020-05-18,46.939998626708984
2019-09-27,47.470001220703125
2020-03-03,47.939998626708984
2020-05-21,46.97999954223633
2019-05-14,44.9900016784668
2018-08-31,44.029998779296875
2018-07-30,44.47999954223633
2018-10-02,44.83000183105469
2019-04-12,45.959999084472656
2019-03-11,45.900001525878906
2019-02-07,45.459999084472656
2019-07-17,45.7599983215332
2019-09-19,44.130001068115234
2019-10-21,43.0099983215332
2019-12-18,42.79999923706055
2020-03-06,43.34000015258789
2019-10-03,44.11000061035156
2020-03-09,43.880001068115234
2020-05-27,42.97999954223633
2019-12-24,43.849998474121094
2020-03-12,45.34000015258789
2018-12-20,45.810001373291016
2019-08-01,45.130001068115234
2018-08-14,46.72999954223633
2018-07-13,46.900001525878906
2018-10-17,46.119998931884766
2019-05-29,46.400001525878906
2019-03-26,48.849998474121094
2019-02-22,47.95000076293945
2019-10-04,45.18000030517578
2019-11-05,46.209999084472656
2019-12-27,46.29999923706055
2020-06-02,45.90999984741211
2019-12-30,45.939998626708984
2020-03-18,45.58000183105469
2020-06-05,45.380001068115234
2019-07-15,45.7599983215332
2018-12-03,45.13999938964844
2019-06-13,45.41999816894531
2019-01-04,43.68000030517578
2018-08-29,43.400001525878906
2019-02-05,43.45000076293945
2018-11-01,43.040000915527344
2019-08-16,42.29999923706055
2019-04-10,41.52000045776367
2019-09-17,41.540000915527344
2019-10-15,41.790000915527344
2020-01-02,41.06999969482422
2020-06-08,41.310001373291016
2019-10-18,41.310001373291016
2020-03-24,40.7599983215332
2020-06-11,41.099998474121094
