Dates,BKNG
2019-10-18,300000.0
2020-03-24,199900.0
2020-06-11,352200.0
2020-01-08,194500.0
2019-04-25,186400.0
2019-07-30,176100.0
2019-02-20,171900.0
2018-07-11,242300.0
2018-09-13,195700.0
2018-10-15,177700.0
2019-06-28,150300.0
2018-12-18,192400.0
2018-11-16,333200.0
2019-10-02,328300.0
2020-03-27,255600.0
2020-01-10,378000.0
2019-10-24,1827300.0
2020-03-30,1033700.0
2020-06-17,471200.0
2020-01-14,496600.0
2020-04-02,426000.0
2019-01-02,276900.0
2019-08-14,366400.0
2018-10-30,362000.0
2019-06-11,274000.0
2019-05-10,354700.0
2019-04-08,342700.0
2018-08-27,239900.0
2018-07-26,298700.0
2018-09-28,329600.0
2019-03-07,262800.0
2019-10-30,153600.0
2020-01-17,400300.0
2020-06-23,192700.0
2020-04-08,423600.0
2020-06-26,362800.0
2019-03-22,299300.0
2019-01-17,343100.0
2019-08-29,238800.0
2018-11-14,267400.0
2019-06-26,302400.0
2018-09-11,395700.0
2018-07-09,264100.0
2018-08-10,311300.0
2019-04-23,379800.0
2019-09-30,277500.0
2020-01-23,583200.0
2019-11-08,219600.0
2020-04-14,97300.0
2019-11-11,182600.0
2020-01-29,280000.0
2020-04-17,224700.0
2018-07-24,226900.0
2018-09-26,329000.0
2019-05-08,294000.0
2019-03-05,384000.0
2019-02-01,345300.0
2018-12-31,325800.0
2018-11-29,273800.0
2019-08-12,198500.0
2019-07-11,254900.0
2019-09-13,331700.0
2019-11-14,309000.0
2020-04-20,546800.0
2020-02-04,470800.0
2020-04-23,711700.0
2018-12-14,357300.0
2019-08-27,368500.0
2018-08-08,580400.0
2018-10-11,708900.0
2018-11-12,512500.0
2019-07-26,445200.0
2019-06-24,588900.0
2019-05-23,717800.0
2019-03-20,634600.0
2019-01-15,662600.0
2019-11-20,552300.0
2020-02-07,412000.0
2020-02-10,449500.0
2020-04-29,470200.0
2019-11-26,408900.0
2020-02-13,473200.0
2019-01-30,388800.0
2018-08-23,535900.0
2018-09-24,363500.0
2018-11-27,241300.0
2018-10-26,359200.0
2019-07-09,358500.0
2019-06-07,886000.0
2019-05-06,958300.0
2019-04-04,903300.0
2019-09-11,1338000.0
2019-11-29,977000.0
2020-05-05,869200.0
2019-12-02,704300.0
2020-02-19,593500.0
2020-05-08,788800.0
2019-05-21,1077500.0
2019-03-18,770300.0
2018-09-07,742000.0
2018-08-06,829800.0
2018-10-09,1282100.0
2019-02-14,1153100.0
2018-12-12,986900.0
2019-07-24,1080100.0
2019-09-26,933400.0
2019-10-28,980600.0
2019-12-05,1146500.0
2020-05-11,859900.0
2019-07-03,854000.0
2020-02-25,998700.0
2020-05-14,616500.0
2020-02-28,701500.0
2019-08-08,600800.0
2019-06-05,770300.0
2018-07-20,562800.0
2018-08-21,573800.0
2018-10-24,442300.0
2019-04-02,751500.0
2019-03-01,783400.0
2019-01-28,780900.0
2018-12-27,1032800.0
2019-09-09,404400.0
2020-03-02,579000.0
2020-05-20,452800.0
2019-12-17,488400.0
2020-03-05,691300.0
2019-02-12,459200.0
2019-01-11,652700.0
2018-12-10,356600.0
2019-08-23,372700.0
2018-11-08,334500.0
2019-07-22,456900.0
2019-06-20,613500.0
2018-09-05,703000.0
2019-04-17,450900.0
2019-09-24,458500.0
2019-12-20,471400.0
2020-05-26,425900.0
2019-04-30,526600.0
2019-12-23,654800.0
2020-03-11,877400.0
2020-05-29,564700.0
2019-12-26,506900.0
2020-06-01,780900.0
2019-05-02,708700.0
2019-02-27,632600.0
2018-11-23,1322000.0
2019-08-06,828400.0
2018-07-18,700000.0
2018-09-20,631900.0
2018-10-22,574600.0
2019-07-05,1201000.0
2019-06-03,1017900.0
2019-10-09,664100.0
2019-10-11,696800.0
2020-03-17,490100.0
2020-06-04,513600.0
2019-10-14,597500.0
2020-03-20,502400.0
2018-11-06,1034400.0
2019-06-18,672000.0
2019-05-17,450400.0
2019-04-15,536400.0
2019-03-14,920100.0
2019-01-09,489400.0
2018-08-02,409800.0
2018-10-05,454600.0
2019-08-21,355000.0
2019-10-17,546600.0
2020-03-23,754200.0
2020-06-10,333900.0
2019-02-25,363300.0
2020-01-07,597300.0
2020-03-26,498600.0
2019-10-23,601700.0
