Dates,LDOS
2019-06-13,680200.0
2019-01-04,971600.0
2018-08-29,690800.0
2019-02-05,2912900.0
2018-11-01,1039800.0
2019-08-16,1110700.0
2019-04-10,1007900.0
2019-09-17,1384600.0
2019-10-15,1066200.0
2020-01-02,710500.0
2020-06-08,1301400.0
2019-10-18,1298100.0
2020-03-24,1206100.0
2020-06-11,1254600.0
2020-01-08,1238600.0
2019-04-25,1008700.0
2019-07-30,803300.0
2019-02-20,716300.0
2018-07-11,769900.0
2018-09-13,1148600.0
2018-10-15,3096400.0
2019-06-28,1195800.0
2018-12-18,1186900.0
2018-11-16,936100.0
2019-10-02,1225800.0
2020-03-27,1368700.0
2020-01-10,1302600.0
2019-10-24,940500.0
2020-03-30,962100.0
2020-06-17,1131500.0
2020-01-14,954400.0
2020-04-02,779800.0
2019-01-02,492700.0
2019-08-14,814200.0
2018-10-30,846600.0
2019-06-11,994600.0
2019-05-10,667300.0
2019-04-08,716200.0
2018-08-27,1120500.0
2018-07-26,1005900.0
2018-09-28,897300.0
2019-03-07,529800.0
2019-10-30,278800.0
2020-01-17,763200.0
2020-06-23,1127400.0
2020-04-08,824900.0
2020-06-26,523100.0
2019-03-22,727500.0
2019-01-17,934100.0
2019-08-29,471200.0
2018-11-14,1395800.0
2019-06-26,1218000.0
2018-09-11,573800.0
2018-07-09,1403300.0
2018-08-10,586600.0
2019-04-23,1944700.0
2019-09-30,1337500.0
2020-01-23,2215000.0
2019-11-08,731500.0
2020-04-14,249500.0
2019-11-11,509700.0
2020-01-29,595900.0
2020-04-17,608600.0
2018-07-24,625600.0
2018-09-26,793600.0
2019-05-08,1031000.0
2019-03-05,799500.0
2019-02-01,483900.0
2018-12-31,1058400.0
2018-11-29,762700.0
2019-08-12,533800.0
2019-07-11,869600.0
2019-09-13,604500.0
2019-11-14,898800.0
2020-04-20,592700.0
2020-02-04,683100.0
2020-04-23,631300.0
2018-12-14,932600.0
2019-08-27,791000.0
2018-08-08,625300.0
2018-10-11,604100.0
2018-11-12,511700.0
2019-07-26,546900.0
2019-06-24,531400.0
2019-05-23,900800.0
2019-03-20,928400.0
2019-01-15,914800.0
2019-11-20,822100.0
2020-02-07,1168200.0
2020-02-10,985200.0
2020-04-29,805200.0
2019-11-26,715000.0
2020-02-13,1075200.0
2019-01-30,879100.0
2018-08-23,1150900.0
2018-09-24,2204800.0
2018-11-27,1593200.0
2018-10-26,1077600.0
2019-07-09,1136000.0
2019-06-07,1229400.0
2019-05-06,1291100.0
2019-04-04,1233100.0
2019-09-11,1760300.0
2019-11-29,1684800.0
2020-05-05,1437600.0
2019-12-02,1741500.0
2020-02-19,1027500.0
2020-05-08,885500.0
2019-05-21,1250800.0
2019-03-18,1810300.0
2018-09-07,1469800.0
2018-08-06,1424400.0
2018-10-09,1762900.0
2019-02-14,1866100.0
2018-12-12,2061700.0
2019-07-24,2556000.0
2019-09-26,1916200.0
2019-10-28,1344500.0
2019-12-05,1684800.0
2020-05-11,1493400.0
2019-07-03,1107800.0
2020-02-25,1511500.0
2020-05-14,1194200.0
2020-02-28,1369500.0
2019-08-08,1346100.0
2019-06-05,1801200.0
2018-07-20,1054300.0
2018-08-21,2436400.0
2018-10-24,1877900.0
2019-04-02,1148300.0
2019-03-01,1166700.0
2019-01-28,979300.0
2018-12-27,1083800.0
2019-09-09,1131400.0
2020-03-02,1597100.0
2020-05-20,1068500.0
2019-12-17,1423900.0
2020-03-05,1538200.0
2019-02-12,1000700.0
2019-01-11,765000.0
2018-12-10,915800.0
2019-08-23,1460900.0
2018-11-08,1585800.0
2019-07-22,831100.0
2019-06-20,874900.0
2018-09-05,1066800.0
2019-04-17,1062700.0
2019-09-24,772100.0
2019-12-20,1085800.0
2020-05-26,1525400.0
2019-04-30,1000600.0
2019-12-23,907500.0
2020-03-11,895900.0
2020-05-29,1215200.0
2019-12-26,1319500.0
2020-06-01,1173800.0
2019-05-02,939200.0
2019-02-27,589700.0
2018-11-23,699800.0
2019-08-06,871000.0
2018-07-18,964000.0
2018-09-20,541200.0
2018-10-22,600700.0
2019-07-05,1621900.0
2019-06-03,1039500.0
2019-10-09,919500.0
2019-10-11,1023600.0
2020-03-17,630500.0
2020-06-04,1016800.0
2019-10-14,750000.0
2020-03-20,1045300.0
2018-11-06,828600.0
2019-06-18,930600.0
2019-05-17,626700.0
2019-04-15,810100.0
2019-03-14,1083200.0
2019-01-09,1092600.0
2018-08-02,980300.0
2018-10-05,1022300.0
2019-08-21,1073500.0
2019-10-17,1007200.0
2020-03-23,1802200.0
2020-06-10,1056400.0
2019-02-25,1289200.0
2020-01-07,1372900.0
2020-03-26,997800.0
2019-10-23,2310400.0
