Dates,ALLE
2018-12-07,109.35289001464844
2019-08-20,110.3123779296875
2018-11-05,109.06603240966797
2019-07-19,109.31332397460938
2018-10-04,109.78811645507812
2019-06-17,108.78907012939453
2019-05-16,108.97698974609375
2018-08-01,108.1362075805664
2019-03-13,108.08674621582031
2019-12-03,109.24407958984375
2020-02-20,109.56061553955078
2019-12-06,109.58039855957031
2020-05-12,107.6416244506836
2019-12-09,108.25491333007812
2020-02-26,106.42493438720703
2020-05-15,106.85028076171875
2019-03-28,107.6515121459961
2018-09-17,107.0481185913086
2018-08-16,103.67504119873047
2018-10-19,104.12017059326172
2019-04-29,102.57706451416016
2019-01-23,103.1408920288086
2019-09-04,102.4188003540039
2018-11-20,101.37027740478516
2019-07-02,100.7273178100586
2019-05-31,98.60060119628906
2019-12-12,98.74897766113281
2020-05-18,97.26521301269531
2019-09-27,98.07633972167969
2020-03-03,97.66088104248047
2020-05-21,95.94961547851562
2019-05-14,96.40463256835938
2018-08-31,93.06123352050781
2018-07-30,93.69429779052734
2018-10-02,94.39662170410156
2019-04-12,95.5044937133789
2019-03-11,93.97126770019531
2019-02-07,94.4262924194336
2019-07-17,94.65380096435547
2019-09-19,92.40837860107422
2019-10-21,93.00187683105469
2019-12-18,92.75459289550781
2020-03-06,93.26895904541016
2019-10-03,94.76261901855469
2020-03-09,95.22752380371094
2020-05-27,94.29769897460938
2019-12-24,95.71221923828125
2020-03-12,97.55207824707031
2018-12-20,97.87848663330078
2019-08-01,96.87944030761719
2018-08-14,97.19597625732422
2018-07-13,98.84789276123047
2018-10-17,99.24356079101562
2019-05-29,101.40576171875
2019-03-26,101.29666137695312
2019-02-22,100.73130798339844
2019-10-04,101.47518920898438
2019-11-05,101.29666137695312
2019-12-27,100.7412338256836
2020-06-02,100.33457946777344
2019-12-30,100.76107025146484
2020-03-18,101.01895141601562
2020-06-05,101.82234954833984
2019-07-15,101.66365051269531
2018-12-03,102.80426025390625
2019-06-13,100.27506256103516
2019-01-04,99.42208099365234
2018-08-29,100.27506256103516
2019-02-05,102.4769515991211
2018-11-01,101.74299621582031
2019-08-16,101.49502563476562
2019-04-10,100.2155532836914
2019-09-17,99.87832641601562
2019-10-15,100.63213348388672
2020-01-02,99.63037109375
2020-06-08,100.95943450927734
2019-10-18,102.56622314453125
2020-03-24,103.28034210205078
2020-06-11,103.10181427001953
2020-01-08,104.17300415039062
2019-04-25,104.39120483398438
2019-07-30,103.51838684082031
2019-02-20,112.73258209228516
2018-07-11,112.40528106689453
2018-09-13,114.37904357910156
2018-10-15,114.4881362915039
2019-06-28,115.55933380126953
2018-12-18,115.09315490722656
