Dates,MCO
2019-04-24,147.4600067138672
2018-07-10,147.25
2018-09-12,148.19000244140625
2019-02-19,145.85000610351562
2019-01-18,150.75999450683594
2020-02-24,150.19000244140625
2020-05-13,153.9199981689453
2019-12-10,152.7100067138672
2020-02-27,158.7100067138672
2019-12-13,156.63999938964844
2020-05-19,159.07000732421875
2019-03-06,158.1999969482422
2018-11-30,152.4499969482422
2019-08-13,149.83999633789062
2019-07-12,145.77999877929688
2019-06-10,145.75
2019-05-09,145.41000366210938
2018-07-25,148.42999267578125
2018-09-27,148.9499969482422
2018-10-29,145.52000427246094
2019-10-16,141.38999938964844
2019-12-16,142.1999969482422
2020-03-04,139.5
2020-05-22,136.6699981689453
2019-10-01,132.5800018310547
2019-12-19,129.35000610351562
2018-09-10,136.64999389648438
2019-05-24,139.9499969482422
2018-08-09,139.35000610351562
2019-04-22,140.0399932861328
2019-03-21,140.85000610351562
2019-01-16,136.17999267578125
2019-08-28,143.27999877929688
2018-11-13,143.80999755859375
2018-10-12,145.89999389648438
2019-06-25,146.38999938964844
2020-03-10,149.0399932861328
2020-05-28,148.97000122070312
2019-10-07,149.22000122070312
2020-03-13,153.22999572753906
2019-10-10,155.39999389648438
2020-03-16,157.86000061035156
2020-06-03,159.39999389648438
2018-11-28,155.47999572753906
2018-09-25,154.80999755859375
2018-07-23,154.1199951171875
2018-08-24,156.52999877929688
2019-07-10,155.8800048828125
2019-05-07,155.13999938964844
2019-04-05,156.47000122070312
2019-03-04,158.50999450683594
2019-01-31,160.1999969482422
2019-09-12,160.6699981689453
2019-12-31,162.77000427246094
2020-03-19,161.6999969482422
2020-01-03,160.75999450683594
2020-06-09,161.02999877929688
2019-02-15,161.8000030517578
2019-01-14,163.14999389648438
2018-07-06,164.61000061035156
2018-08-07,163.72999572753906
2018-10-10,169.25999450683594
2018-12-13,167.9600067138672
2019-08-26,169.4600067138672
2019-07-25,170.60000610351562
2019-05-22,172.6999969482422
2019-03-19,172.5
2020-01-06,172.49000549316406
2020-03-25,173.60000610351562
2020-06-12,173.1199951171875
2019-10-22,175.6699981689453
2020-01-09,172.24000549316406
2020-06-15,171.05999755859375
2019-10-25,170.14999389648438
2020-03-31,169.36000061035156
2020-06-18,169.94000244140625
2019-04-03,171.5399932861328
2018-08-22,172.42999267578125
2018-10-25,173.55999755859375
2019-01-29,174.97999572753906
2018-12-28,176.69000244140625
2018-11-26,177.97000122070312
2019-08-09,178.6300048828125
2019-07-08,177.25
2019-06-06,181.99000549316406
2019-09-10,177.88999938964844
2020-01-15,177.41000366210938
2020-04-03,177.91000366210938
2019-10-31,177.83999633789062
2020-04-06,179.38999938964844
2020-06-24,181.08999633789062
2018-11-09,184.47999572753906
2019-07-23,185.0500030517578
2019-06-21,186.22000122070312
2019-05-20,186.8300018310547
2019-04-18,187.24000549316406
2018-09-06,187.1699981689453
2018-10-08,186.66000366210938
2019-02-13,185.27999877929688
2018-12-11,185.25
2019-09-25,187.11000061035156
2020-01-21,189.2100067138672
2020-04-09,190.5399932861328
2019-11-06,187.97000122070312
2020-01-24,189.05999755859375
2020-01-27,188.08999633789062
2020-04-15,188.63999938964844
2018-12-26,194.3699951171875
2019-08-07,193.22999572753906
2019-06-04,195.55999755859375
2018-09-21,194.6999969482422
2018-07-19,196.6199951171875
2018-08-20,193.89999389648438
2018-10-23,192.77000427246094
2019-05-03,196.44000244140625
2019-04-01,197.24000549316406
2019-02-28,192.63999938964844
2019-11-12,192.02000427246094
2020-01-30,188.8800048828125
2019-11-15,188.99000549316406
2020-04-21,183.50999450683594
2019-04-16,186.74000549316406
2019-03-15,186.64999389648438
2019-02-11,189.27000427246094
2019-01-10,185.92999267578125
2019-08-22,184.77000427246094
2018-11-07,187.7100067138672
2018-08-03,189.8699951171875
2018-09-04,184.60000610351562
2019-06-19,185.10000610351562
2019-09-23,187.38999938964844
2019-11-18,186.22999572753906
2020-02-05,187.3000030517578
2020-04-24,182.8800048828125
2019-03-29,181.00999450683594
2019-11-21,184.86000061035156
2020-04-27,186.83999633789062
2020-02-11,188.91000366210938
2020-04-30,189.91000366210938
2019-05-01,191.9499969482422
2019-02-26,189.8800048828125
2019-01-25,190.82000732421875
2018-12-24,192.36000061035156
2019-09-06,192.3000030517578
2018-07-17,191.82000732421875
2018-09-19,194.0399932861328
2019-08-05,196.05999755859375
2019-10-08,197.35000610351562
2019-12-11,194.55999755859375
2019-11-27,195.11000061035156
2020-02-14,193.7899932861328
2020-05-06,193.88999938964844
2019-01-08,195.3300018310547
2018-12-07,195.30999755859375
2019-08-20,198.3300018310547
2018-11-05,200.25999450683594
2019-07-19,202.61000061035156
2018-10-04,201.42999267578125
2019-06-17,197.5800018310547
2019-05-16,198.0500030517578
2018-08-01,199.77000427246094
2019-03-13,201.66000366210938
2019-12-03,205.30999755859375
2020-02-20,205.0
2019-12-06,204.97999572753906
2020-05-12,202.77000427246094
2019-12-09,204.27000427246094
2020-02-26,200.88999938964844
2020-05-15,202.27000427246094
2019-03-28,202.64999389648438
2018-09-17,203.02999877929688
2018-08-16,200.86000061035156
2018-10-19,203.39999389648438
2019-04-29,201.47000122070312
2019-01-23,202.24000549316406
2019-09-04,214.33999633789062
2018-11-20,216.0500030517578
2019-07-02,214.3000030517578
2019-05-31,202.69000244140625
2019-12-12,206.3000030517578
2020-05-18,208.25
2019-09-27,214.64999389648438
2020-03-03,214.1300048828125
2020-05-21,212.92999267578125
2019-05-14,213.5
2018-08-31,206.50999450683594
2018-07-30,209.9499969482422
2018-10-02,214.2899932861328
2019-04-12,217.52999877929688
2019-03-11,216.63999938964844
2019-02-07,219.0399932861328
2019-07-17,216.77000427246094
2019-09-19,210.39999389648438
2019-10-21,212.25999450683594
2019-12-18,213.27000427246094
