Dates,WDC
2019-04-09,56.06999969482422
2019-03-08,55.2599983215332
2019-02-04,53.599998474121094
2018-07-27,52.25
2018-08-28,52.630001068115234
2019-01-03,42.0
2019-08-15,41.11000061035156
2018-10-31,40.58000183105469
2019-09-16,42.130001068115234
2020-02-18,43.25
2020-05-07,45.58000183105469
2018-08-17,46.970001220703125
2019-12-04,47.869998931884766
2020-02-21,47.5
2018-12-17,47.31999969482422
2019-08-30,44.86000061035156
2018-11-15,43.189998626708984
2019-07-29,43.459999084472656
2019-06-27,44.630001068115234
2019-04-24,44.369998931884766
2018-07-10,45.59000015258789
2018-09-12,45.029998779296875
2019-02-19,42.599998474121094
2019-01-18,46.16999816894531
2020-02-24,46.5099983215332
2020-05-13,47.150001525878906
2019-12-10,47.29999923706055
2020-02-27,44.54999923706055
2019-12-13,45.22999954223633
2020-05-19,43.40999984741211
2019-03-06,44.90999984741211
2018-11-30,42.52000045776367
2019-08-13,42.130001068115234
2019-07-12,41.77000045776367
2019-06-10,40.7400016784668
2019-05-09,41.040000915527344
2018-07-25,40.900001525878906
2018-09-27,39.7400016784668
2018-10-29,38.7599983215332
2019-10-16,37.95000076293945
2019-12-16,38.20000076293945
2020-03-04,36.130001068115234
2020-05-22,36.150001525878906
2019-10-01,35.86000061035156
2019-12-19,34.75
2018-09-10,33.83000183105469
2019-05-24,35.38999938964844
2018-08-09,36.20000076293945
2019-04-22,35.81999969482422
2019-03-21,36.02000045776367
2019-01-16,35.529998779296875
2019-08-28,36.27000045776367
2018-11-13,37.15999984741211
2018-10-12,37.150001525878906
2019-06-25,38.349998474121094
2020-03-10,38.880001068115234
2020-05-28,38.83000183105469
2019-10-07,36.15999984741211
2020-03-13,36.959999084472656
2019-10-10,37.65999984741211
2020-03-16,35.02000045776367
2020-06-03,36.2599983215332
2018-11-28,37.43000030517578
2018-09-25,37.189998626708984
2018-07-23,38.54999923706055
2018-08-24,41.529998779296875
2019-07-10,41.599998474121094
2019-05-07,42.459999084472656
2019-04-05,42.47999954223633
2019-03-04,43.5
2019-01-31,44.72999954223633
2019-09-12,46.099998474121094
2019-12-31,47.13999938964844
2020-03-19,47.40999984741211
2020-01-03,45.45000076293945
2020-06-09,44.04999923706055
