Dates,KIM
2019-01-31,17.15999984741211
2019-09-12,17.270000457763672
2019-12-31,17.43000030517578
2020-03-19,17.3799991607666
2020-01-03,17.6200008392334
2020-06-09,17.829999923706055
2019-02-15,17.809999465942383
2019-01-14,17.729999542236328
2018-07-06,17.809999465942383
2018-08-07,17.68000030517578
2018-10-10,17.760000228881836
2018-12-13,17.780000686645508
2019-08-26,17.559999465942383
2019-07-25,17.6299991607666
2019-05-22,17.729999542236328
2019-03-19,17.690000534057617
2020-01-06,17.649999618530273
2020-03-25,17.479999542236328
2020-06-12,17.59000015258789
2019-10-22,17.329999923706055
2020-01-09,17.239999771118164
2020-06-15,17.549999237060547
2019-10-25,17.239999771118164
2020-03-31,17.389999389648438
2020-06-18,17.31999969482422
2019-04-03,17.549999237060547
2018-08-22,17.68000030517578
2018-10-25,17.809999465942383
2019-01-29,17.889999389648438
2018-12-28,17.65999984741211
2018-11-26,17.530000686645508
2019-08-09,17.610000610351562
2019-07-08,17.700000762939453
2019-06-06,18.170000076293945
2019-09-10,18.1299991607666
2020-01-15,18.149999618530273
2020-04-03,18.56999969482422
2019-10-31,18.420000076293945
2020-04-06,18.639999389648438
2020-06-24,18.5
2018-11-09,18.18000030517578
2019-07-23,18.31999969482422
2019-06-21,18.18000030517578
2019-05-20,18.170000076293945
2019-04-18,18.450000762939453
2018-09-06,18.299999237060547
2018-10-08,18.15999984741211
2019-02-13,18.459999084472656
2018-12-11,18.270000457763672
2019-09-25,18.239999771118164
2020-01-21,17.889999389648438
2020-04-09,17.360000610351562
2019-11-06,17.219999313354492
2020-01-24,17.530000686645508
2020-01-27,17.079999923706055
2020-04-15,17.489999771118164
2018-12-26,17.75
2019-08-07,17.739999771118164
2019-06-04,17.809999465942383
2018-09-21,17.31999969482422
2018-07-19,17.389999389648438
2018-08-20,17.399999618530273
2018-10-23,17.989999771118164
2019-05-03,18.200000762939453
2019-04-01,18.280000686645508
2019-02-28,17.959999084472656
2019-11-12,17.989999771118164
2020-01-30,18.010000228881836
2019-11-15,18.34000015258789
2020-04-21,18.09000015258789
2019-04-16,18.209999084472656
2019-03-15,18.110000610351562
2019-02-11,18.139999389648438
2019-01-10,18.09000015258789
2019-08-22,17.959999084472656
2018-11-07,18.239999771118164
2018-08-03,18.139999389648438
2018-09-04,18.010000228881836
