Dates,ED
2019-03-07,86.45999908447266
2019-10-30,87.08999633789062
2020-01-17,86.5
2020-06-23,85.9000015258789
2020-04-08,85.94000244140625
2020-06-26,86.5999984741211
2019-03-22,86.54000091552734
2019-01-17,86.80000305175781
2019-08-29,86.6500015258789
2018-11-14,87.0
2019-06-26,87.41999816894531
2018-09-11,87.20999908447266
2018-07-09,88.05000305175781
2018-08-10,88.31999969482422
2019-04-23,88.94000244140625
2019-09-30,89.06999969482422
2020-01-23,90.13999938964844
2019-11-08,90.83999633789062
2020-04-14,89.75
2019-11-11,89.73999786376953
2020-01-29,89.66000366210938
2020-04-17,89.69999694824219
2018-07-24,90.19000244140625
2018-09-26,90.55000305175781
2019-05-08,88.55999755859375
2019-03-05,88.66999816894531
2019-02-01,88.0
2018-12-31,87.08000183105469
2018-11-29,86.81999969482422
2019-08-12,87.0999984741211
2019-07-11,87.47000122070312
2019-09-13,87.83000183105469
2019-11-14,88.05999755859375
2020-04-20,89.08000183105469
2020-02-04,89.16999816894531
2020-04-23,90.37000274658203
2018-12-14,91.19999694824219
2019-08-27,91.19999694824219
2018-08-08,92.55999755859375
2018-10-11,93.70999908447266
2018-11-12,93.47000122070312
2019-07-26,94.06999969482422
2019-06-24,94.5
2019-05-23,94.63999938964844
2019-03-20,94.16000366210938
2019-01-15,93.7300033569336
2019-11-20,92.4000015258789
2020-02-07,93.56999969482422
2020-02-10,93.77999877929688
2020-04-29,92.80999755859375
2019-11-26,93.29000091552734
2020-02-13,92.79000091552734
2019-01-30,92.80000305175781
2018-08-23,93.91999816894531
2018-09-24,93.72000122070312
2018-11-27,94.2699966430664
2018-10-26,93.87000274658203
2019-07-09,91.20999908447266
2019-06-07,89.45999908447266
2019-05-06,89.19999694824219
2019-04-04,88.43000030517578
2019-09-11,87.3499984741211
2019-11-29,81.26000213623047
2020-05-05,79.58999633789062
2019-12-02,84.38999938964844
2020-02-19,84.80999755859375
2020-05-08,86.6500015258789
2019-05-21,85.29000091552734
2019-03-18,85.55000305175781
2018-09-07,89.41000366210938
2018-08-06,87.56999969482422
2018-10-09,80.62999725341797
2019-02-14,86.33999633789062
2018-12-12,82.6500015258789
2019-07-24,81.41999816894531
2019-09-26,88.91000366210938
2019-10-28,92.55999755859375
2019-12-05,81.23999786376953
2020-05-11,72.5
2019-07-03,67.5
2020-02-25,69.3499984741211
2020-05-14,70.62000274658203
2020-02-28,74.26000213623047
2019-08-08,79.72000122070312
2019-06-05,79.75
2018-07-20,75.70999908447266
2018-08-21,76.0
2018-10-24,78.22000122070312
2019-04-02,80.70999908447266
2019-03-01,82.94000244140625
2019-01-28,80.55999755859375
2018-12-27,83.88999938964844
2019-09-09,86.18000030517578
