Dates,DISCK
2020-01-06,26.610000610351562
2020-03-25,27.1299991607666
2020-06-12,27.020000457763672
2019-10-22,27.31999969482422
2020-01-09,27.65999984741211
2020-06-15,27.059999465942383
2019-10-25,27.709999084472656
2020-03-31,27.190000534057617
2020-06-18,26.690000534057617
2019-04-03,27.31999969482422
2018-08-22,27.059999465942383
2018-10-25,27.049999237060547
2019-01-29,25.68000030517578
2018-12-28,26.200000762939453
2018-11-26,25.93000030517578
2019-08-09,25.8700008392334
2019-07-08,25.860000610351562
2019-06-06,25.18000030517578
2019-09-10,25.3799991607666
2020-01-15,25.600000381469727
2020-04-03,25.739999771118164
2019-10-31,26.1200008392334
2020-04-06,25.950000762939453
2020-06-24,25.520000457763672
2018-11-09,25.920000076293945
2019-07-23,26.190000534057617
2019-06-21,26.049999237060547
2019-05-20,26.239999771118164
2019-04-18,27.270000457763672
2018-09-06,27.530000686645508
2018-10-08,27.0
2019-02-13,26.979999542236328
2018-12-11,28.329999923706055
2019-09-25,27.969999313354492
2020-01-21,28.0
2020-04-09,28.1299991607666
2019-11-06,28.200000762939453
2020-01-24,28.3700008392334
2020-01-27,27.8700008392334
2020-04-15,27.1299991607666
2018-12-26,27.149999618530273
2019-08-07,28.450000762939453
2019-06-04,28.65999984741211
2018-09-21,29.5
2018-07-19,29.420000076293945
2018-08-20,28.6200008392334
2018-10-23,29.209999084472656
2019-05-03,27.75
2019-04-01,27.489999771118164
2019-02-28,27.329999923706055
2019-11-12,27.440000534057617
2020-01-30,27.100000381469727
2019-11-15,26.90999984741211
2020-04-21,26.3700008392334
2019-04-16,25.889999389648438
2019-03-15,26.280000686645508
2019-02-11,26.149999618530273
2019-01-10,26.010000228881836
2019-08-22,26.209999084472656
2018-11-07,25.969999313354492
2018-08-03,26.280000686645508
2018-09-04,25.579999923706055
2019-06-19,25.540000915527344
2019-09-23,25.59000015258789
2019-11-18,25.790000915527344
2020-02-05,25.809999465942383
2020-04-24,25.56999969482422
2019-03-29,25.59000015258789
2019-11-21,25.770000457763672
2020-04-27,26.780000686645508
2020-02-11,26.309999465942383
2020-04-30,26.450000762939453
2019-05-01,26.56999969482422
2019-02-26,26.420000076293945
2019-01-25,27.06999969482422
2018-12-24,27.34000015258789
2019-09-06,27.139999389648438
2018-07-17,26.81999969482422
2018-09-19,27.239999771118164
2019-08-05,27.3799991607666
2019-10-08,28.329999923706055
2019-12-11,28.600000381469727
2019-11-27,28.219999313354492
2020-02-14,28.530000686645508
2020-05-06,27.6200008392334
2019-01-08,27.299999237060547
2018-12-07,27.760000228881836
2019-08-20,28.81999969482422
2018-11-05,28.34000015258789
2019-07-19,28.530000686645508
2018-10-04,28.209999084472656
2019-06-17,28.6299991607666
2019-05-16,28.690000534057617
2018-08-01,29.15999984741211
2019-03-13,29.0
2019-12-03,29.06999969482422
2020-02-20,29.790000915527344
2019-12-06,29.81999969482422
2020-05-12,29.959999084472656
2019-12-09,29.219999313354492
2020-02-26,28.940000534057617
2020-05-15,29.040000915527344
2019-03-28,28.690000534057617
2018-09-17,28.719999313354492
2018-08-16,29.239999771118164
2018-10-19,29.299999237060547
2019-04-29,29.299999237060547
2019-01-23,28.799999237060547
2019-09-04,28.899999618530273
2018-11-20,28.34000015258789
2019-07-02,27.790000915527344
2019-05-31,26.940000534057617
2019-12-12,28.040000915527344
2020-05-18,26.93000030517578
2019-09-27,27.479999542236328
2020-03-03,27.420000076293945
2020-05-21,27.06999969482422
2019-05-14,27.110000610351562
2018-08-31,27.0
2018-07-30,25.489999771118164
2018-10-02,25.530000686645508
2019-04-12,26.530000686645508
2019-03-11,26.549999237060547
2019-02-07,26.399999618530273
2019-07-17,26.510000228881836
2019-09-19,26.06999969482422
