Dates,BAC
2018-08-10,50840500.0
2019-04-23,48757900.0
2019-09-30,45409500.0
2020-01-23,109395500.0
2019-11-08,33995400.0
2020-04-14,13805400.0
2019-11-11,26992100.0
2020-01-29,28111300.0
2020-04-17,30705100.0
2018-07-24,29630100.0
2018-09-26,37614200.0
2019-05-08,50357900.0
2019-03-05,42185000.0
2019-02-01,34149000.0
2018-12-31,45311600.0
2018-11-29,39861600.0
2019-08-12,39730400.0
2019-07-11,37956100.0
2019-09-13,66719300.0
2019-11-14,74745500.0
2020-04-20,50368500.0
2020-02-04,54156100.0
2020-04-23,50811000.0
2018-12-14,38879700.0
2019-08-27,45717100.0
2018-08-08,47797200.0
2018-10-11,57096200.0
2018-11-12,38834600.0
2019-07-26,37414700.0
2019-06-24,50542800.0
2019-05-23,54845300.0
2019-03-20,48508200.0
2019-01-15,45061600.0
2019-11-20,54604800.0
2020-02-07,39511500.0
2020-02-10,31263000.0
2020-04-29,24373800.0
2019-11-26,32476300.0
2020-02-13,36656700.0
2019-01-30,31775100.0
2018-08-23,26447700.0
2018-09-24,40318000.0
2018-11-27,29632100.0
2018-10-26,42604100.0
2019-07-09,46675500.0
2019-06-07,79159600.0
2019-05-06,91586800.0
2019-04-04,80012800.0
2019-09-11,121061400.0
2019-11-29,171263600.0
2020-05-05,147776300.0
2019-12-02,138698500.0
2020-02-19,111239800.0
2020-05-08,110878700.0
2019-05-21,119121200.0
2019-03-18,145196000.0
2018-09-07,134863600.0
2018-08-06,127347000.0
2018-10-09,139552600.0
2019-02-14,128357400.0
2018-12-12,121688800.0
2019-07-24,120065700.0
2019-09-26,148272500.0
2019-10-28,122461300.0
2019-12-05,150910400.0
2020-05-11,181898500.0
2019-07-03,147882400.0
2020-02-25,146991300.0
2020-05-14,116111400.0
2020-02-28,91522800.0
2019-08-08,80449100.0
2019-06-05,95213700.0
2018-07-20,83961300.0
2018-08-21,70007400.0
2018-10-24,68293500.0
2019-04-02,97766200.0
2019-03-01,94560300.0
2019-01-28,81212300.0
2018-12-27,125414800.0
2019-09-09,83164700.0
2020-03-02,88991100.0
2020-05-20,99082200.0
2019-12-17,89213300.0
2020-03-05,92800300.0
2019-02-12,74446300.0
2019-01-11,78871300.0
2018-12-10,49759100.0
2019-08-23,50614800.0
2018-11-08,47675700.0
2019-07-22,66916700.0
2019-06-20,65504900.0
2018-09-05,73493900.0
2019-04-17,55132400.0
2019-09-24,51772600.0
2019-12-20,45886100.0
2020-05-26,45691900.0
2019-04-30,53874600.0
2019-12-23,51884300.0
2020-03-11,45250000.0
2020-05-29,68951800.0
2019-12-26,69588700.0
2020-06-01,112113400.0
2019-05-02,88359100.0
2019-02-27,64484000.0
2018-11-23,86699200.0
2019-08-06,62179000.0
2018-07-18,59789500.0
2018-09-20,57726000.0
2018-10-22,48107000.0
2019-07-05,119485500.0
2019-06-03,117672700.0
2019-10-09,84340800.0
2019-10-11,113923800.0
2020-03-17,58375500.0
2020-06-04,71118100.0
2019-10-14,86744600.0
2020-03-20,94545300.0
2018-11-06,118767900.0
2019-06-18,79598500.0
2019-05-17,77773400.0
2019-04-15,90415300.0
2019-03-14,149875500.0
2019-01-09,73678900.0
2018-08-02,76538900.0
2018-10-05,96796500.0
2019-08-21,58209900.0
2019-10-17,53419000.0
2020-03-23,127563600.0
2020-06-10,55484300.0
2019-02-25,46108300.0
2020-01-07,75437100.0
2020-03-26,65031900.0
2019-10-23,118139200.0
