,AAPL,Dates
187,222.1694793701172,2019-04-08
188,222.7845001220703,2019-03-15
189,217.19976806640625,2019-04-24
190,219.0447998046875,2019-05-02
191,225.18504333496094,2019-06-13
192,225.23463439941406,2019-08-12
193,222.5960235595703,2019-10-30
194,225.20489501953125,2019-11-18
195,228.2402801513672,2019-11-20
196,234.3110809326172,2019-07-24
197,233.97381591796875,2019-10-11
198,233.42825317382812,2019-07-05
199,232.48587036132812,2019-12-10
200,233.38856506347656,2019-09-03
201,234.50949096679688,2019-11-21
202,238.57650756835938,2019-05-28
203,238.03094482421875,2019-08-15
204,241.2250518798828,2019-10-14
205,241.621826171875,2019-07-08
206,244.59771728515625,2019-09-25
207,247.04786682128906,2019-06-19
208,241.3341522216797,2019-09-06
209,241.3043975830078,2019-05-31
210,246.76019287109375,2019-11-05
211,253.76344299316406,2019-03-22
212,255.429931640625,2019-03-14
213,255.06292724609375,2019-03-06
214,255.17201232910156,2019-02-26
215,258.11700439453125,2019-01-17
216,258.8234558105469,2019-01-25
217,260.8730163574219,2019-04-23
218,260.63421630859375,2019-04-15
219,263.13153076171875,2019-05-01
220,261.310791015625,2019-05-09
221,264.4150085449219,2019-07-11
222,265.74822998046875,2019-07-30
223,264.94232177734375,2019-10-17
224,261.8580322265625,2019-09-09
225,260.6839904785156,2019-11-27
226,260.45513916015625,2019-06-03
227,265.02191162109375,2019-08-21
228,262.9524230957031,2019-02-25
229,266.4844665527344,2019-11-08
230,265.8974609375,2019-05-15
231,262.8230895996094,2019-08-02
232,258.136962890625,2019-07-17
233,260.41534423828125,2019-10-01
234,264.23590087890625,2019-06-25
235,269.3399353027344,2019-09-12
236,265.5691223144531,2019-06-06
237,267.1212463378906,2019-11-11
238,269.399658203125,2019-08-05
239,270.0861511230469,2019-10-23
