Dates,AAPL
2019-05-02,220.82000732421875
2019-06-13,227.00999450683594
2019-08-12,227.05999755859375
2019-10-30,224.39999389648438
2019-11-18,227.02999877929688
2019-11-20,230.08999633789062
2019-07-24,236.2100067138672
2019-10-11,235.8699951171875
2019-07-05,235.32000732421875
2019-12-10,234.3699951171875
2019-09-03,235.27999877929688
2019-11-21,236.41000366210938
2019-05-28,240.50999450683594
2019-08-15,239.9600067138672
2019-10-14,243.17999267578125
2019-07-08,243.5800018310547
2019-09-25,246.5800018310547
2019-06-19,249.0500030517578
2019-09-06,243.2899932861328
2019-05-31,243.25999450683594
2019-11-05,248.75999450683594
2019-03-22,255.82000732421875
2019-03-14,257.5
2019-03-06,257.1300048828125
2019-02-26,257.239990234375
2019-01-17,259.42999267578125
2019-01-25,260.1400146484375
