Dates,RMD
2018-11-30,111.41999816894531
2019-08-13,110.16000366210938
2019-07-12,109.43000030517578
2019-06-10,110.11000061035156
2019-05-09,113.37000274658203
2018-07-25,114.6500015258789
2018-09-27,114.66999816894531
2018-10-29,112.16999816894531
2019-10-16,109.79000091552734
2019-12-16,110.4800033569336
2020-03-04,109.22000122070312
2020-05-22,106.7300033569336
2019-10-01,106.0199966430664
2019-12-19,103.19999694824219
2018-09-10,103.77999877929688
2019-05-24,107.05000305175781
2018-08-09,110.11000061035156
2019-04-22,112.33000183105469
2019-03-21,111.27999877929688
2019-01-16,106.31999969482422
2019-08-28,107.83999633789062
2018-11-13,109.62999725341797
2018-10-12,111.3499984741211
2019-06-25,113.0
2020-03-10,112.9800033569336
2020-05-28,113.83000183105469
2019-10-07,113.27999877929688
2020-03-13,113.94999694824219
2019-10-10,115.95999908447266
2020-03-16,116.05999755859375
2020-06-03,116.95999908447266
2018-11-28,116.55000305175781
2018-09-25,115.37000274658203
2018-07-23,116.12999725341797
2018-08-24,94.23999786376953
2019-07-10,90.68000030517578
2019-05-07,90.63999938964844
2019-04-05,91.66000366210938
2019-03-04,93.81999969482422
2019-01-31,92.7300033569336
2019-09-12,92.91000366210938
2019-12-31,94.76000213623047
2020-03-19,94.80999755859375
2020-01-03,94.58999633789062
2020-06-09,95.66999816894531
2019-02-15,96.62999725341797
2019-01-14,97.12000274658203
2018-07-06,97.81999969482422
2018-08-07,98.62999725341797
2018-10-10,99.55999755859375
2018-12-13,99.63999938964844
2019-08-26,98.45999908447266
2019-07-25,99.51000213623047
2019-05-22,100.08000183105469
2019-03-19,101.36000061035156
2020-01-06,100.33999633789062
2020-03-25,100.52999877929688
2020-06-12,102.08999633789062
2019-10-22,102.22000122070312
2020-01-09,101.01000213623047
2020-06-15,100.61000061035156
2019-10-25,100.56999969482422
2020-03-31,99.80999755859375
2020-06-18,100.08000183105469
2019-04-03,100.83000183105469
2018-08-22,101.7699966430664
2018-10-25,102.4000015258789
2019-01-29,100.95999908447266
2018-12-28,100.19999694824219
2018-11-26,96.94000244140625
2019-08-09,97.06999969482422
2019-07-08,98.44999694824219
2019-06-06,98.47000122070312
2019-09-10,100.11000061035156
2020-01-15,99.47000122070312
2020-04-03,101.87000274658203
2019-10-31,100.45999908447266
2020-04-06,101.70999908447266
