Dates,SWKS
2018-07-12,93.0199966430664
2018-09-14,93.06999969482422
2018-08-13,92.01000213623047
2018-10-16,90.87000274658203
2019-07-31,87.94000244140625
2019-05-28,88.69999694824219
2019-04-26,87.3499984741211
2020-04-28,87.11000061035156
2019-11-25,87.7300033569336
2020-02-12,88.06999969482422
2020-05-01,88.97000122070312
2020-05-04,89.2699966430664
2019-06-12,88.0
2019-04-09,87.47000122070312
2019-03-08,86.5
2019-02-04,84.88999938964844
2018-07-27,83.41999816894531
2018-08-28,82.43000030517578
2019-01-03,82.16999816894531
2019-08-15,83.5999984741211
2018-10-31,84.86000061035156
2019-09-16,87.43000030517578
2020-02-18,90.41000366210938
2020-05-07,87.9800033569336
2018-08-17,84.33999633789062
2019-12-04,84.12000274658203
2020-02-21,83.56999969482422
2018-12-17,84.30999755859375
2019-08-30,79.88999938964844
2018-11-15,75.80000305175781
2019-07-29,74.6500015258789
2019-06-27,73.37999725341797
2019-04-24,73.37999725341797
2018-07-10,73.58000183105469
2018-09-12,72.70999908447266
2019-02-19,70.08000183105469
2019-01-18,70.95999908447266
2020-02-24,71.22000122070312
2020-05-13,71.91000366210938
2019-12-10,71.5999984741211
2020-02-27,72.22000122070312
2019-12-13,72.75
2020-05-19,72.9000015258789
2019-03-06,74.94999694824219
2018-11-30,73.41999816894531
2019-08-13,70.69000244140625
2019-07-12,70.79000091552734
2019-06-10,67.75
2019-05-09,70.0199966430664
2018-07-25,70.47000122070312
2018-09-27,70.43000030517578
2018-10-29,70.0
2019-10-16,70.4000015258789
2019-12-16,70.52999877929688
2020-03-04,69.33000183105469
2020-05-22,67.41000366210938
2019-10-01,67.5
2019-12-19,65.51000213623047
2018-09-10,66.80000305175781
2019-05-24,67.77999877929688
2018-08-09,68.41000366210938
2019-04-22,68.05999755859375
2019-03-21,68.94999694824219
2019-01-16,65.26000213623047
2019-08-28,64.6500015258789
2018-11-13,65.6500015258789
2018-10-12,65.5
2019-06-25,68.5
2020-03-10,69.4000015258789
2020-05-28,70.91999816894531
2019-10-07,69.66000366210938
2020-03-13,69.11000061035156
2019-10-10,69.80999755859375
2020-03-16,69.70999908447266
2020-06-03,70.66000366210938
2018-11-28,69.81999969482422
2018-09-25,69.47000122070312
2018-07-23,70.80000305175781
2018-08-24,73.08999633789062
2019-07-10,72.94999694824219
2019-05-07,72.79000091552734
2019-04-05,74.08000183105469
2019-03-04,73.9000015258789
2019-01-31,74.44999694824219
2019-09-12,74.9000015258789
2019-12-31,76.1500015258789
2020-03-19,87.4800033569336
2020-01-03,85.1500015258789
2020-06-09,81.76000213623047
2019-02-15,82.25
2019-01-14,84.13999938964844
2018-07-06,84.12999725341797
2018-08-07,83.98999786376953
2018-10-10,84.47000122070312
2018-12-13,83.3499984741211
2019-08-26,83.56999969482422
2019-07-25,82.93000030517578
2019-05-22,82.77999877929688
2019-03-19,84.05999755859375
2020-01-06,82.93000030517578
2020-03-25,81.68000030517578
2020-06-12,82.08000183105469
2019-10-22,82.76000213623047
2020-01-09,82.9800033569336
2020-06-15,82.69999694824219
2019-10-25,82.44000244140625
2020-03-31,80.94999694824219
2020-06-18,80.37000274658203
2019-04-03,82.1500015258789
2018-08-22,82.7699966430664
2018-10-25,82.9000015258789
2019-01-29,82.8499984741211
2018-12-28,85.37999725341797
2018-11-26,84.08999633789062
2019-08-09,84.61000061035156
2019-07-08,83.5
2019-06-06,86.88999938964844
2019-09-10,85.83999633789062
2020-01-15,82.75
2020-04-03,82.77999877929688
2019-10-31,82.5999984741211
2020-04-06,81.62999725341797
2020-06-24,82.7699966430664
2018-11-09,84.4000015258789
2019-07-23,84.54000091552734
2019-06-21,86.72000122070312
2019-05-20,86.54000091552734
2019-04-18,86.97000122070312
2018-09-06,87.80999755859375
2018-10-08,87.38999938964844
2019-02-13,88.2300033569336
2018-12-11,89.70999908447266
2019-09-25,90.69000244140625
2020-01-21,91.0
2020-04-09,93.58999633789062
2019-11-06,94.38999938964844
2020-01-24,91.86000061035156
2020-01-27,89.68000030517578
2020-04-15,89.54000091552734
2018-12-26,90.63999938964844
2019-08-07,89.7300033569336
2019-06-04,87.66999816894531
2018-09-21,87.73999786376953
2018-07-19,88.27999877929688
2018-08-20,91.19999694824219
2018-10-23,91.33999633789062
2019-05-03,89.94999694824219
2019-04-01,86.79000091552734
2019-02-28,85.5
2019-11-12,85.16000366210938
2020-01-30,83.9800033569336
2019-11-15,83.62999725341797
2020-04-21,80.38999938964844
2019-04-16,78.56999969482422
2019-03-15,79.38999938964844
2019-02-11,76.94000244140625
2019-01-10,73.16000366210938
2019-08-22,69.87000274658203
2018-11-07,71.44000244140625
2018-08-03,69.55999755859375
2018-09-04,68.55999755859375
2019-06-19,70.94999694824219
2019-09-23,70.36000061035156
2019-11-18,68.72000122070312
2020-02-05,70.12999725341797
2020-04-24,68.63999938964844
2019-03-29,68.06999969482422
2019-11-21,69.47000122070312
2020-04-27,70.69000244140625
2020-02-11,69.7699966430664
2020-04-30,70.37999725341797
2019-05-01,73.47000122070312
2019-02-26,74.7300033569336
2019-01-25,73.45999908447266
2018-12-24,73.73999786376953
2019-09-06,72.2699966430664
2018-07-17,72.58999633789062
2018-09-19,76.41999816894531
2019-08-05,76.37999725341797
2019-10-08,77.51000213623047
2019-12-11,75.79000091552734
2019-11-27,76.38999938964844
2020-02-14,76.16000366210938
2020-05-06,77.16000366210938
2019-01-08,77.83999633789062
2018-12-07,77.87000274658203
2019-08-20,84.5
2018-11-05,81.7699966430664
2019-07-19,81.66999816894531
2018-10-04,80.69999694824219
2019-06-17,80.05999755859375
2019-05-16,79.83999633789062
2018-08-01,81.37999725341797
2019-03-13,80.3499984741211
2019-12-03,81.04000091552734
2020-02-20,82.33999633789062
2019-12-06,82.08000183105469
2020-05-12,81.98999786376953
2019-12-09,81.77999877929688
2020-02-26,81.8499984741211
2020-05-15,83.41000366210938
2019-03-28,84.83000183105469
2018-09-17,86.97000122070312
2018-08-16,86.16999816894531
2018-10-19,86.36000061035156
2019-04-29,87.1500015258789
2019-01-23,87.83000183105469
2019-09-04,88.7699966430664
2018-11-20,87.69999694824219
2019-07-02,82.0
2019-05-31,77.62999725341797
2019-12-12,77.86000061035156
2020-05-18,79.98999786376953
2019-09-27,80.4000015258789
2020-03-03,79.5999984741211
2020-05-21,77.4800033569336
2019-05-14,79.7300033569336
2018-08-31,77.69000244140625
2018-07-30,76.47000122070312
2018-10-02,77.0199966430664
2019-04-12,78.6500015258789
2019-03-11,77.33999633789062
2019-02-07,78.19000244140625
2019-07-17,78.0
2019-09-19,76.55000305175781
2019-10-21,74.48999786376953
2019-12-18,74.68000030517578
