Dates,LNC
2020-03-02,2391700.0
2020-05-20,2757000.0
2019-12-17,2174300.0
2020-03-05,3166700.0
2019-02-12,2287900.0
2019-01-11,4151800.0
2018-12-10,2619300.0
2019-08-23,1915200.0
2018-11-08,2477600.0
2019-07-22,1468900.0
2019-06-20,1898800.0
2018-09-05,3298400.0
2019-04-17,2064300.0
2019-09-24,1857000.0
2019-12-20,1511400.0
2020-05-26,2092100.0
2019-04-30,2288300.0
2019-12-23,3550400.0
2020-03-11,2829500.0
2020-05-29,2154400.0
2019-12-26,2332200.0
2020-06-01,2272900.0
2019-05-02,2543600.0
2019-02-27,1948100.0
2018-11-23,2445700.0
2019-08-06,1756500.0
2018-07-18,1583400.0
2018-09-20,1946900.0
2018-10-22,1811700.0
2019-07-05,2190000.0
2019-06-03,1817300.0
2019-10-09,1648600.0
2019-10-11,3071200.0
2020-03-17,1652900.0
2020-06-04,2095200.0
2019-10-14,1836000.0
2020-03-20,2206600.0
2018-11-06,3719000.0
2019-06-18,2289300.0
2019-05-17,2310400.0
2019-04-15,2581700.0
2019-03-14,2788100.0
2019-01-09,1740000.0
2018-08-02,2292500.0
2018-10-05,2209500.0
2019-08-21,1758700.0
2019-10-17,1491200.0
2020-03-23,3919300.0
2020-06-10,2461900.0
2019-02-25,2162100.0
2020-01-07,2504300.0
2020-03-26,1856400.0
2019-10-23,3643800.0
