Dates,ANSS
2019-05-17,499700.0
2019-04-15,670600.0
2019-03-14,495700.0
2019-01-09,594300.0
2018-08-02,448300.0
2018-10-05,540900.0
2019-08-21,435100.0
2019-10-17,421200.0
2020-03-23,1238700.0
2020-06-10,524200.0
2019-02-25,469800.0
2020-01-07,468400.0
2020-03-26,291400.0
2019-10-23,1122900.0
