Dates,ANSS
2018-11-16,219.49000549316406
2019-10-02,217.0
2020-03-27,217.36000061035156
2020-01-10,216.5500030517578
2019-10-24,206.72999572753906
2020-03-30,221.8300018310547
2020-06-17,222.64999389648438
2020-01-14,227.30999755859375
2020-04-02,227.0
2019-01-02,227.77999877929688
2019-08-14,229.16000366210938
2018-10-30,234.00999450683594
2019-06-11,239.47999572753906
2019-05-10,241.5399932861328
2019-04-08,244.92999267578125
2018-08-27,244.3000030517578
2018-07-26,246.9199981689453
2018-09-28,248.44000244140625
2019-03-07,251.47999572753906
2019-10-30,254.0800018310547
2020-01-17,250.25999450683594
2020-06-23,243.00999450683594
2020-04-08,251.0800018310547
2020-06-26,251.1699981689453
2019-03-22,253.72000122070312
2019-01-17,254.91000366210938
2019-08-29,251.5
2018-11-14,248.99000549316406
2019-06-26,246.38999938964844
2018-09-11,250.7100067138672
2018-07-09,255.5399932861328
2018-08-10,255.2100067138672
2019-04-23,254.42999267578125
2019-09-30,254.3800048828125
2020-01-23,253.52000427246094
2019-11-08,255.19000244140625
2020-04-14,253.5399932861328
2019-11-11,256.2799987792969
2020-01-29,257.2699890136719
2020-04-17,255.02999877929688
2018-07-24,255.63999938964844
2018-09-26,256.25
2019-05-08,253.75
2019-03-05,252.6199951171875
2019-02-01,253.5
2018-12-31,255.91000366210938
2018-11-29,258.5199890136719
2019-08-12,260.1400146484375
2019-07-11,261.94000244140625
2019-09-13,261.57000732421875
2019-11-14,263.0199890136719
2020-04-20,264.69000244140625
2020-02-04,266.45001220703125
2020-04-23,268.67999267578125
2018-12-14,274.3299865722656
2019-08-27,273.5799865722656
2018-08-08,275.3399963378906
2018-10-11,268.1600036621094
2018-11-12,271.0
2019-07-26,276.0299987792969
2019-06-24,275.2799987792969
2019-05-23,272.8399963378906
2019-03-20,276.7699890136719
2019-01-15,282.6600036621094
2019-11-20,280.6300048828125
2020-02-07,283.6300048828125
2020-02-10,282.9800109863281
2020-04-29,281.29998779296875
2019-11-26,284.79998779296875
2020-02-13,288.42999267578125
2019-01-30,291.05999755859375
2018-08-23,290.4200134277344
2018-09-24,287.6300048828125
2018-11-27,290.30999755859375
2018-10-26,288.05999755859375
2019-07-09,284.54998779296875
2019-06-07,274.44000244140625
2019-05-06,265.7699890136719
2019-04-04,266.3599853515625
2019-09-11,234.9600067138672
2019-11-29,234.02000427246094
2020-05-05,241.50999450683594
2019-12-02,246.66000366210938
2020-02-19,249.52999877929688
2020-05-08,246.6199951171875
2019-05-21,230.5
2019-03-18,216.6999969482422
2018-09-07,219.60000610351562
2018-08-06,214.61000061035156
2018-10-09,200.07000732421875
2019-02-14,214.69000244140625
2018-12-12,205.61000061035156
2019-07-24,203.7100067138672
2019-09-26,210.39999389648438
2019-10-28,211.1199951171875
2019-12-05,209.32000732421875
2020-05-11,204.27999877929688
2019-07-03,210.47999572753906
2020-02-25,208.3699951171875
2020-05-14,212.50999450683594
2020-02-28,221.57000732421875
2019-08-08,222.0
2019-06-05,229.11000061035156
2018-07-20,209.72000122070312
2018-08-21,207.7899932861328
2018-10-24,211.89999389648438
2019-04-02,227.75999450683594
2019-03-01,234.49000549316406
2019-01-28,238.0500030517578
2018-12-27,234.58999633789062
2019-09-09,234.2100067138672
2020-03-02,247.3800048828125
2020-05-20,249.3800048828125
2019-12-17,253.3699951171875
2020-03-05,256.32000732421875
2019-02-12,258.6099853515625
2019-01-11,252.72000122070312
2018-12-10,256.3999938964844
2019-08-23,257.8699951171875
2018-11-08,256.8900146484375
2019-07-22,260.4800109863281
2019-06-20,254.4199981689453
2018-09-05,258.1300048828125
2019-04-17,261.3900146484375
2019-09-24,252.77000427246094
2019-12-20,254.5500030517578
2020-05-26,258.0
2019-04-30,260.17999267578125
2019-12-23,255.63999938964844
2020-03-11,259.05999755859375
2020-05-29,259.20001220703125
2019-12-26,259.6000061035156
2020-06-01,249.3000030517578
2019-05-02,244.52999877929688
2019-02-27,247.52999877929688
2018-11-23,256.5400085449219
2019-08-06,262.4100036621094
2018-07-18,265.0299987792969
2018-09-20,266.17999267578125
2018-10-22,264.8699951171875
2019-07-05,268.7099914550781
2019-06-03,259.0400085449219
2019-10-09,268.7099914550781
2019-10-11,273.92999267578125
2020-03-17,280.44000244140625
2020-06-04,281.0199890136719
2019-10-14,282.7699890136719
2020-03-20,279.0
2018-11-06,280.8900146484375
2019-06-18,283.44000244140625
2019-05-17,284.5899963378906
2019-04-15,285.94000244140625
2019-03-14,271.3599853515625
2019-01-09,266.7799987792969
2018-08-02,265.67999267578125
2018-10-05,278.32000732421875
2019-08-21,283.5
2019-10-17,284.010009765625
2020-03-23,281.3599853515625
2020-06-10,281.8399963378906
2019-02-25,288.9700012207031
2020-01-07,281.8500061035156
2020-03-26,281.7099914550781
2019-10-23,280.260009765625
