Dates,CAT
2019-12-16,123.5999984741211
2020-03-04,120.80000305175781
2020-05-22,120.76000213623047
2019-10-01,119.56999969482422
2019-12-19,116.66999816894531
2018-09-10,116.08999633789062
2019-05-24,120.93000030517578
2018-08-09,125.05000305175781
2019-04-22,124.5
2019-03-21,123.0
2019-01-16,120.44000244140625
2019-08-28,123.69999694824219
2018-11-13,126.69999694824219
2018-10-12,128.22999572753906
2019-06-25,129.91000366210938
2020-03-10,127.25
2020-05-28,130.0500030517578
2019-10-07,129.1300048828125
2020-03-13,129.55999755859375
2019-10-10,130.24000549316406
2020-03-16,129.16000366210938
2020-06-03,133.66000366210938
2018-11-28,131.1699981689453
2018-09-25,130.14999389648438
2018-07-23,131.1999969482422
2018-08-24,133.88999938964844
2019-07-10,123.1500015258789
2019-05-07,125.61000061035156
2019-04-05,126.30999755859375
2019-03-04,129.0399932861328
2019-01-31,130.11000061035156
2019-09-12,130.10000610351562
2019-12-31,130.60000610351562
2020-03-19,130.36000061035156
2020-01-03,127.36000061035156
2020-06-09,126.55000305175781
2019-02-15,128.69000244140625
2019-01-14,130.0
2018-07-06,132.4499969482422
2018-08-07,131.27000427246094
2018-10-10,133.67999267578125
2018-12-13,135.0
2019-08-26,136.33999633789062
2019-07-25,138.41000366210938
2019-05-22,137.92999267578125
2019-03-19,140.17999267578125
2020-01-06,135.27000427246094
2020-03-25,137.13999938964844
2020-06-12,137.13999938964844
2019-10-22,136.94000244140625
2020-01-09,137.10000610351562
2020-06-15,137.0
2019-10-25,134.72999572753906
2020-03-31,131.6199951171875
2020-06-18,130.22999572753906
2019-04-03,131.60000610351562
2018-08-22,131.9199981689453
2018-10-25,132.69000244140625
2019-01-29,132.02000427246094
2018-12-28,131.97999572753906
2018-11-26,132.52999877929688
2019-08-09,133.50999450683594
2019-07-08,132.05999755859375
2019-06-06,132.00999450683594
2019-09-10,129.49000549316406
2020-01-15,129.22999572753906
2020-04-03,131.1300048828125
2019-10-31,130.25
2020-04-06,131.16000366210938
2020-06-24,133.6199951171875
2018-11-09,136.32000732421875
2019-07-23,139.22999572753906
2019-06-21,138.41000366210938
2019-05-20,139.0
2019-04-18,139.9199981689453
2018-09-06,138.61000061035156
2018-10-08,136.07000732421875
2019-02-13,136.27999877929688
2018-12-11,136.97999572753906
2019-09-25,139.80999755859375
2020-01-21,139.6699981689453
2020-04-09,139.58999633789062
2019-11-06,142.4600067138672
2020-01-24,142.4199981689453
2020-01-27,141.42999267578125
2020-04-15,141.44000244140625
2018-12-26,136.55999755859375
2019-08-07,134.08999633789062
2019-06-04,135.88999938964844
2018-09-21,138.82000732421875
2018-07-19,137.5800018310547
2018-08-20,137.63999938964844
2018-10-23,134.3800048828125
2019-05-03,135.8000030517578
2019-04-01,134.30999755859375
2019-02-28,132.05999755859375
2019-11-12,131.7899932861328
2020-01-30,128.17999267578125
2019-11-15,127.91999816894531
2020-04-21,124.08000183105469
2019-04-16,125.69999694824219
2019-03-15,124.9800033569336
2019-02-11,126.41999816894531
2019-01-10,122.31999969482422
2019-08-22,121.30999755859375
2018-11-07,122.72000122070312
2018-08-03,123.5199966430664
2018-09-04,121.41000366210938
2019-06-19,122.20999908447266
2019-09-23,121.51000213623047
2019-11-18,120.26000213623047
2020-02-05,121.27999877929688
2020-04-24,118.73999786376953
2019-03-29,119.76000213623047
2019-11-21,120.75
2020-04-27,121.95999908447266
2020-02-11,122.2300033569336
2020-04-30,124.08000183105469
2019-05-01,125.23999786376953
2019-02-26,126.95999908447266
2019-01-25,126.08000183105469
2018-12-24,126.76000213623047
2019-09-06,125.5
2018-07-17,126.68000030517578
2018-09-19,128.2100067138672
2019-08-05,129.8699951171875
2019-10-08,131.50999450683594
2019-12-11,132.5500030517578
2019-11-27,133.5500030517578
2020-02-14,132.6300048828125
2020-05-06,134.17999267578125
2019-01-08,133.97000122070312
2018-12-07,136.0
2019-08-20,134.97000122070312
2018-11-05,135.07000732421875
2019-07-19,134.3300018310547
2018-10-04,133.22000122070312
2019-06-17,134.42999267578125
2019-05-16,133.35000610351562
2018-08-01,132.5500030517578
2019-03-13,132.58999633789062
2019-12-03,134.60000610351562
2020-02-20,138.25999450683594
2019-12-06,138.16000366210938
2020-05-12,135.72999572753906
2019-12-09,134.0399932861328
2020-02-26,134.22000122070312
2020-05-15,134.60000610351562
2019-03-28,135.52999877929688
2018-09-17,128.4499969482422
2018-08-16,131.00999450683594
2018-10-19,132.6300048828125
2019-04-29,132.85000610351562
2019-01-23,131.49000549316406
2019-09-04,131.00999450683594
2018-11-20,126.41999816894531
2019-07-02,123.5
2019-05-31,120.33000183105469
2019-12-12,120.63999938964844
2020-05-18,118.6500015258789
2019-09-27,120.37000274658203
2020-03-03,118.80999755859375
2020-05-21,116.06999969482422
2019-05-14,116.79000091552734
2018-08-31,115.04000091552734
2018-07-30,113.97000122070312
2018-10-02,115.91999816894531
2019-04-12,116.70999908447266
2019-03-11,116.47000122070312
2019-02-07,117.54000091552734
2019-07-17,117.22000122070312
2019-09-19,113.31999969482422
2019-10-21,113.83999633789062
2019-12-18,113.1500015258789
2020-03-06,111.75
2019-10-03,116.48999786376953
2020-03-09,118.44999694824219
2020-05-27,115.4000015258789
2019-12-24,118.26000213623047
2020-03-12,120.5
2018-12-20,122.45999908447266
2019-08-01,123.19999694824219
2018-08-14,127.22000122070312
2018-07-13,129.47000122070312
2018-10-17,130.07000732421875
2019-05-29,131.1300048828125
2019-03-26,131.99000549316406
2019-02-22,131.19000244140625
2019-10-04,129.72000122070312
2019-11-05,129.8699951171875
2019-12-27,127.87000274658203
2020-06-02,126.33999633789062
2019-12-30,125.56999969482422
2020-03-18,125.0199966430664
2020-06-05,125.6500015258789
2019-07-15,125.66000366210938
2018-12-03,125.87999725341797
2019-06-13,122.30000305175781
2019-01-04,119.33999633789062
2018-08-29,117.25
2019-02-05,119.3499984741211
2018-11-01,119.75
2019-08-16,117.69000244140625
2019-04-10,118.0
2019-09-17,119.76000213623047
2019-10-15,125.4000015258789
2020-01-02,126.01000213623047
2020-06-08,127.6500015258789
2019-10-18,130.11000061035156
2020-03-24,130.17999267578125
2020-06-11,129.99000549316406
2020-01-08,131.5
2019-04-25,130.94000244140625
2019-07-30,130.6999969482422
2019-02-20,132.3800048828125
2018-07-11,134.85000610351562
2018-09-13,138.8699951171875
2018-10-15,138.77000427246094
2019-06-28,139.61000061035156
2018-12-18,136.38999938964844
2018-11-16,139.22999572753906
2019-10-02,145.02000427246094
2020-03-27,145.6699981689453
2020-01-10,144.66000366210938
2019-10-24,146.75
2020-03-30,145.8000030517578
2020-06-17,146.61000061035156
2020-01-14,146.02000427246094
2020-04-02,143.69000244140625
2019-01-02,143.2100067138672
2019-08-14,144.50999450683594
