Dates,FE
2019-03-21,40.87266540527344
2019-01-16,39.72917938232422
2019-08-28,40.63641357421875
2018-11-13,40.85376739501953
2018-10-12,41.04277801513672
2019-06-25,40.957725524902344
2020-03-10,39.984344482421875
2020-05-28,40.523006439208984
2019-10-07,40.04104232788086
2020-03-13,40.38125228881836
2019-10-10,39.79533386230469
2020-03-16,40.13554763793945
2020-06-03,40.19224548339844
2018-11-28,39.946537017822266
2018-09-25,39.842586517333984
2018-07-23,38.6990966796875
2018-08-24,38.406131744384766
2019-07-10,37.357147216796875
2019-05-07,38.52898406982422
2019-04-05,39.294464111328125
2019-03-04,40.467010498046875
2019-01-31,40.876922607421875
2019-09-12,40.45747375488281
2019-12-31,40.14289093017578
2020-03-19,40.35261535644531
2020-01-03,39.75204086303711
2020-06-09,40.25728225708008
2019-02-15,39.73298263549805
2019-01-14,39.914100646972656
2018-07-06,39.75204086303711
2018-08-07,40.00942611694336
2018-10-10,40.41934585571289
2018-12-13,40.61000061035156
2019-08-26,40.22868347167969
2019-07-25,40.17148971557617
2019-05-22,40.953182220458984
2019-03-19,41.06758117675781
2020-01-06,41.0103759765625
2020-03-25,40.92458724975586
2020-06-12,41.32496643066406
2019-10-22,41.334495544433594
2020-01-09,41.058040618896484
2020-06-15,40.886451721191406
2019-10-25,39.90456771850586
2020-03-31,39.45652389526367
2020-06-18,38.979881286621094
2019-04-03,39.56138229370117
2018-08-22,39.7806396484375
2018-10-25,40.04755783081055
2019-01-29,39.265865325927734
2018-12-28,39.82830047607422
2018-11-26,39.856903076171875
2019-08-09,40.324012756347656
2019-07-08,40.2000846862793
2019-06-06,40.37167739868164
2019-09-10,39.89503479003906
2020-01-15,39.93316650390625
2020-04-03,40.43840408325195
2019-10-31,40.05709457397461
2020-04-06,40.31448745727539
2020-06-24,40.4860725402832
2018-11-09,40.83878707885742
2019-07-23,40.905513763427734
2019-06-21,40.83878707885742
2019-05-20,40.743465423583984
2019-04-18,40.981781005859375
2018-09-06,41.124778747558594
2018-10-08,40.83878707885742
2019-02-13,40.73392868041992
2018-12-11,40.29541778564453
2019-09-25,39.761573791503906
2020-01-21,40.12382507324219
2020-04-09,39.00847625732422
2019-11-06,38.01706314086914
2020-01-24,37.54042053222656
2020-01-27,37.15910720825195
2020-04-15,37.578548431396484
2018-12-26,37.5308837890625
2019-08-07,37.75967025756836
2019-06-04,38.10286331176758
2018-09-21,37.74060821533203
2018-07-19,38.71295928955078
2018-08-20,38.86548614501953
2018-10-23,39.09427261352539
2019-05-03,39.45652389526367
2019-04-01,39.704376220703125
2019-02-28,38.92268371582031
2019-11-12,39.03708267211914
2020-01-30,39.08516311645508
2019-11-15,39.162105560302734
2020-04-21,39.017845153808594
2019-04-16,39.104400634765625
2019-03-15,39.57565689086914
2019-02-11,40.046905517578125
2019-01-10,39.88341522216797
2019-08-22,39.998817443847656
2018-11-07,40.07575225830078
2018-08-03,40.38351821899414
2018-09-04,40.316192626953125
2019-06-19,40.34504699707031
2019-09-23,40.296958923339844
2019-11-18,40.123844146728516
2020-02-05,40.296958923339844
2020-04-24,39.93149948120117
2019-03-29,40.316192626953125
2019-11-21,40.61433410644531
2020-04-27,40.854766845703125
2020-02-11,41.075965881347656
2020-04-30,41.27793502807617
2019-05-01,41.42219161987305
2019-02-26,41.037498474121094
2019-01-25,41.43181610107422
2018-12-24,40.874000549316406
2019-09-06,41.124053955078125
2018-07-17,41.239463806152344
2018-09-19,41.42219161987305
2019-08-05,41.83574295043945
2019-10-08,41.931915283203125
2019-12-11,41.99924087524414
2019-11-27,42.085792541503906
2020-02-14,42.085792541503906
2020-05-06,41.34525680541992
2019-01-08,41.76842498779297
2018-12-07,41.662628173828125
2019-08-20,42.09541320800781
2018-11-05,42.5281982421875
2019-07-19,42.701316833496094
