Dates,JPY=X
2008-01-11,114.45999908447266
2007-12-10,114.72000122070312
2007-11-08,114.30000305175781
2007-10-07,114.70999908447266
2007-03-29,112.61000061035156
2007-04-30,112.70999908447266
2007-09-05,110.66000366210938
2008-06-22,109.62000274658203
2008-06-25,111.13999938964844
2007-03-12,111.2699966430664
2007-10-22,110.4800033569336
2007-09-20,110.9800033569336
2007-08-19,109.7699966430664
2007-07-18,109.72000122070312
2008-03-30,108.3499984741211
2008-02-27,108.48999786376953
2007-05-15,108.12000274658203
2007-12-25,108.80000305175781
2007-11-23,109.95999908447266
2008-07-01,109.76000213623047
2008-01-09,111.76000213623047
2007-03-27,110.44000244140625
2007-05-30,109.86000061035156
2007-11-06,110.91000366210938
2007-09-03,111.36000061035156
2007-08-02,111.66000366210938
2008-04-14,111.79000091552734
