Dates,ACN
2018-08-17,158.9600067138672
2019-12-04,159.97000122070312
2020-02-21,163.99000549316406
2018-12-17,164.5399932861328
2019-08-30,165.64999389648438
2018-11-15,164.9499969482422
2019-07-29,163.83999633789062
2019-06-27,163.39999389648438
2019-04-24,162.9499969482422
2018-07-10,165.8300018310547
2018-09-12,165.94000244140625
2019-02-19,160.97000122070312
2019-01-18,160.0
2020-02-24,157.8699951171875
2020-05-13,159.47999572753906
2019-12-10,159.3800048828125
2020-02-27,162.36000061035156
2019-12-13,162.4600067138672
2020-05-19,164.5399932861328
2019-03-06,167.07000732421875
2018-11-30,168.3699951171875
2019-08-13,161.74000549316406
2019-07-12,160.77999877929688
2019-06-10,158.64999389648438
2019-05-09,160.8300018310547
2018-07-25,161.2100067138672
2018-09-27,161.08999633789062
2018-10-29,158.63999938964844
2019-10-16,154.97999572753906
2019-12-16,154.02999877929688
2020-03-04,156.2100067138672
2020-05-22,147.1999969482422
2019-10-01,144.85000610351562
2019-12-19,136.9199981689453
2018-09-10,139.02000427246094
2019-05-24,140.41000366210938
2018-08-09,141.8000030517578
2019-04-22,141.2899932861328
2019-03-21,141.19000244140625
2019-01-16,139.57000732421875
2019-08-28,141.33999633789062
2018-11-13,142.3699951171875
2018-10-12,146.80999755859375
2019-06-25,147.1999969482422
2020-03-10,147.1300048828125
2020-05-28,147.42999267578125
2019-10-07,145.66000366210938
2020-03-13,147.5
2019-10-10,149.4600067138672
2020-03-16,149.6199951171875
2020-06-03,151.39999389648438
2018-11-28,150.39999389648438
2018-09-25,150.92999267578125
2018-07-23,150.30999755859375
2018-08-24,152.22000122070312
2019-07-10,152.24000549316406
2019-05-07,152.41000366210938
2019-04-05,154.5
2019-03-04,154.89999389648438
2019-01-31,155.22000122070312
2019-09-12,156.63999938964844
2019-12-31,157.41000366210938
2020-03-19,158.02999877929688
2020-01-03,156.0
2020-06-09,155.9499969482422
2019-02-15,157.3000030517578
2019-01-14,157.02999877929688
2018-07-06,158.5399932861328
2018-08-07,158.83999633789062
2018-10-10,159.3300018310547
2018-12-13,160.10000610351562
2019-08-26,160.1199951171875
2019-07-25,160.0500030517578
2019-05-22,161.8300018310547
2019-03-19,162.41000366210938
2020-01-06,162.5
2020-03-25,161.25999450683594
2020-06-12,162.0
2019-10-22,164.89999389648438
2020-01-09,164.9199981689453
2020-06-15,163.91000366210938
2019-10-25,164.05999755859375
2020-03-31,162.4499969482422
2020-06-18,161.80999755859375
2019-04-03,164.07000732421875
2018-08-22,165.82000732421875
2018-10-25,165.27999877929688
2019-01-29,164.92999267578125
2018-12-28,167.0399932861328
2018-11-26,167.44000244140625
2019-08-09,167.6300048828125
2019-07-08,167.25999450683594
2019-06-06,168.9199981689453
2019-09-10,168.4199981689453
2020-01-15,165.47000122070312
2020-04-03,167.60000610351562
2019-10-31,167.8000030517578
2020-04-06,177.49000549316406
2020-06-24,176.97000122070312
2018-11-09,176.52000427246094
2019-07-23,176.5500030517578
2019-06-21,177.38999938964844
2019-05-20,177.44000244140625
2019-04-18,178.4199981689453
2018-09-06,179.0800018310547
2018-10-08,178.47000122070312
2019-02-13,177.75
2018-12-11,178.47000122070312
2019-09-25,179.36000061035156
2020-01-21,179.63999938964844
2020-04-09,179.89999389648438
2019-11-06,180.0
2020-01-24,179.0
2020-01-27,178.25
2020-04-15,180.5500030517578
2018-12-26,181.41000366210938
2019-08-07,180.5800018310547
2019-06-04,180.85000610351562
2018-09-21,181.72000122070312
2018-07-19,182.8300018310547
2018-08-20,183.35000610351562
2018-10-23,182.3300018310547
2019-05-03,177.9600067138672
2019-04-01,176.8699951171875
2019-02-28,175.14999389648438
2019-11-12,175.25
2020-01-30,174.5800018310547
2019-11-15,174.97999572753906
2020-04-21,172.0
2019-04-16,174.77000427246094
2019-03-15,176.13999938964844
2019-02-11,179.75
2019-01-10,179.19000244140625
2019-08-22,179.47000122070312
2018-11-07,180.0
2018-08-03,181.3800048828125
