Dates,ACN
2019-12-04,155.5533447265625
2020-02-21,159.8954315185547
2018-12-17,160.51014709472656
2019-08-30,161.1443634033203
2018-11-15,158.50010681152344
2019-07-29,157.5341339111328
2019-06-27,156.40223693847656
2019-04-24,158.5488739013672
2018-07-10,160.99801635742188
2018-09-12,158.82211303710938
2019-02-19,155.04595947265625
2019-01-18,153.1725311279297
2020-02-24,153.1237335205078
2020-05-13,154.55809020996094
2019-12-10,155.25086975097656
2020-02-27,158.27569580078125
2019-12-13,157.163330078125
2020-05-19,160.52964782714844
2019-03-06,162.7738800048828
2018-11-30,160.2271728515625
2019-08-13,155.38746643066406
2019-07-12,153.6311492919922
2019-06-10,153.89459228515625
2019-05-09,154.4605255126953
2018-07-25,154.77276611328125
2018-09-27,156.36322021484375
2018-10-29,151.75770568847656
2019-10-16,147.9913330078125
2019-12-16,148.44992065429688
2020-03-04,147.29855346679688
2020-05-22,140.0194854736328
2019-10-01,133.87228393554688
2019-12-19,130.42788696289062
2018-09-10,135.6383819580078
2019-05-24,137.00442504882812
2018-08-09,136.42874145507812
2019-04-22,137.58987426757812
2019-03-21,137.1800537109375
2019-01-16,132.49647521972656
2019-08-28,137.64842224121094
2018-11-13,138.1265411376953
2018-10-12,141.61972045898438
2019-06-25,142.33200073242188
2020-03-10,143.4541015625
2020-05-28,142.68325805664062
2019-10-07,141.414794921875
2020-03-13,143.3272705078125
2019-10-10,144.29324340820312
2020-03-16,145.503173828125
2020-06-03,146.80091857910156
2018-11-28,145.35679626464844
2018-09-25,144.82012939453125
2018-07-23,146.5081787109375
2018-08-24,148.1669921875
2019-07-10,148.54750061035156
2019-05-07,148.3328399658203
2019-04-05,150.35263061523438
2019-03-04,149.82571411132812
2019-01-31,150.98687744140625
2019-09-12,152.7529754638672
2019-12-31,153.50428771972656
2020-03-19,153.34815979003906
2020-01-03,151.4161834716797
2020-06-09,151.8162384033203
2019-02-15,151.5528106689453
2019-01-14,152.83103942871094
2018-07-06,154.19705200195312
2018-08-07,154.0214385986328
2018-10-10,155.36795043945312
2018-12-13,155.6118927001953
2019-08-26,155.83631896972656
2019-07-25,155.66067504882812
2019-05-22,157.58291625976562
2019-03-19,157.74876403808594
2020-01-06,157.42677307128906
2020-03-25,156.73402404785156
2020-06-12,157.46580505371094
2019-10-22,160.2174072265625
2020-01-09,158.8708953857422
2020-06-15,159.70025634765625
2019-10-25,158.45130920410156
2020-03-31,157.92442321777344
2020-06-18,157.76829528808594
2019-04-03,159.96372985839844
2018-08-22,160.01251220703125
2018-10-25,160.12957763671875
2019-01-29,160.8223876953125
2018-12-28,162.35427856445312
2018-11-26,162.39332580566406
2019-08-09,162.1688995361328
2019-07-08,162.23721313476562
2019-06-06,164.15945434570312
2019-09-10,161.23220825195312
2020-01-15,161.07608032226562
2020-04-03,162.8909454345703
2019-10-31,162.43235778808594
2020-04-06,170.87254333496094
2020-06-24,171.750732421875
2018-11-09,172.04344177246094
2019-07-23,171.11648559570312
2019-06-21,172.89234924316406
2019-05-20,172.8630828857422
2019-04-18,173.8290557861328
2018-09-06,174.57064819335938
2018-10-08,173.41925048828125
2019-02-13,174.137451171875
2018-12-11,175.4754638671875
2019-09-25,175.75091552734375
2020-01-21,176.4002685546875
2020-04-09,176.16412353515625
2019-11-06,176.055908203125
2020-01-24,175.72142028808594
2020-01-27,175.19015502929688
2020-04-15,177.5611572265625
2018-12-26,177.8858184814453
2019-08-07,177.03973388671875
2019-06-04,177.90548706054688
2018-09-21,178.27938842773438
2018-07-19,179.71575927734375
2018-08-20,178.37774658203125
2018-10-23,176.48880004882812
2019-05-03,174.11778259277344
2019-04-01,173.40940856933594
2019-02-28,171.12693786621094
2019-11-12,171.00888061523438
2020-01-30,171.63853454589844
2019-11-15,171.4811248779297
2020-04-21,168.25416564941406
2019-04-16,170.80227661132812
2019-03-15,172.56332397460938
2019-02-11,175.28854370117188
2019-01-10,175.4459228515625
2019-08-22,175.6525421142578
2018-11-07,176.6658935546875
2018-08-03,177.47262573242188
2018-09-04,175.38690185546875
2019-06-19,175.91818237304688
2019-09-23,175.50497436523438
2019-11-18,174.73757934570312
2020-02-05,175.92800903320312
2020-04-24,175.19015502929688
2019-03-29,172.3272247314453
2019-11-21,175.0917510986328
2020-04-27,176.65602111816406
2020-02-11,177.48245239257812
2020-04-30,179.96170043945312
2019-05-01,181.45713806152344
2019-02-26,180.4044189453125
2019-01-25,181.6046905517578
2018-12-24,181.95887756347656
2019-09-06,181.97854614257812
2018-07-17,180.9258575439453
2018-09-19,181.51614379882812
2019-08-05,180.97503662109375
2019-10-08,183.50347900390625
2019-12-11,182.5590057373047
2019-11-27,183.10011291503906
2020-02-14,181.90968322753906
2020-05-06,180.34539794921875
2019-01-08,180.04042053222656
2018-12-07,181.78179931640625
2019-08-20,183.8478240966797
2018-11-05,185.5498504638672
2019-07-19,187.88150024414062
2018-10-04,188.2947235107422
2019-06-17,187.23219299316406
2019-05-16,187.99957275390625
2018-08-01,188.60955810546875
2019-03-13,191.52166748046875
2019-12-03,193.03677368164062
2020-02-20,192.1611785888672
2019-12-06,191.10845947265625
2020-05-12,190.67556762695312
2019-12-09,191.6692657470703
2020-02-26,190.79364013671875
2020-05-15,191.29539489746094
2019-03-28,191.31509399414062
2018-09-17,191.3249053955078
2018-08-16,191.8168182373047
2018-10-19,193.7451171875
2019-04-29,194.1583251953125
2019-01-23,192.48583984375
2019-09-04,189.46548461914062
2018-11-20,191.01992797851562
2019-07-02,189.88851928710938
2019-05-31,182.54916381835938
2019-12-12,185.75643920898438
2020-05-18,185.8154754638672
2019-09-27,191.03961181640625
2020-03-03,188.3832550048828
2020-05-21,186.9272003173828
2019-05-14,189.76063537597656
