Dates,HOLX
2019-07-08,47.650001525878906
2019-06-06,47.779998779296875
2019-09-10,47.75
2020-01-15,47.0099983215332
2020-04-03,47.560001373291016
2019-10-31,47.33000183105469
2020-04-06,47.560001373291016
2020-06-24,48.439998626708984
2018-11-09,48.81999969482422
2019-07-23,48.380001068115234
2019-06-21,48.31999969482422
2019-05-20,47.560001373291016
2019-04-18,47.959999084472656
2018-09-06,47.4900016784668
2018-10-08,47.119998931884766
2019-02-13,47.7599983215332
2018-12-11,47.70000076293945
2019-09-25,47.97999954223633
2020-01-21,47.630001068115234
2020-04-09,47.439998626708984
2019-11-06,46.06999969482422
2020-01-24,43.810001373291016
2020-01-27,43.70000076293945
2020-04-15,44.36000061035156
2018-12-26,44.7599983215332
2019-08-07,45.33000183105469
2019-06-04,45.56999969482422
