Dates,FANG
2019-01-31,104.41999816894531
2019-09-12,104.75
2019-12-31,104.16000366210938
2020-03-19,102.55000305175781
2020-01-03,101.25
2020-06-09,98.45999908447266
2019-02-15,98.12000274658203
2019-01-14,100.77999877929688
2018-07-06,102.0
2018-08-07,104.68000030517578
2018-10-10,106.94000244140625
2018-12-13,105.9000015258789
2019-08-26,107.93000030517578
2019-07-25,106.44000244140625
2019-05-22,104.63999938964844
2019-03-19,105.37999725341797
2020-01-06,106.83000183105469
2020-03-25,108.23999786376953
2020-06-12,105.51000213623047
2019-10-22,105.94000244140625
2020-01-09,105.7699966430664
2020-06-15,105.12000274658203
2019-10-25,102.48999786376953
2020-03-31,100.66000366210938
2020-06-18,96.05999755859375
2019-04-03,97.7699966430664
2018-08-22,101.0199966430664
2018-10-25,103.5199966430664
2019-01-29,106.12000274658203
2018-12-28,104.02999877929688
2018-11-26,104.62999725341797
2019-08-09,105.19999694824219
2019-07-08,106.33000183105469
2019-06-06,106.36000061035156
2019-09-10,105.05999755859375
2020-01-15,101.30999755859375
2020-04-03,104.31999969482422
2019-10-31,103.52999877929688
2020-04-06,102.80000305175781
2020-06-24,104.7699966430664
2018-11-09,104.19999694824219
2019-07-23,104.55999755859375
2019-06-21,103.44999694824219
2019-05-20,100.52999877929688
2019-04-18,102.8499984741211
2018-09-06,105.16000366210938
2018-10-08,104.08000183105469
2019-02-13,104.5
2018-12-11,103.37000274658203
2019-09-25,108.08999633789062
2020-01-21,108.12999725341797
2020-04-09,107.41000366210938
2019-11-06,109.47000122070312
2020-01-24,109.5
2020-01-27,111.47000122070312
2020-04-15,112.80000305175781
2018-12-26,112.97000122070312
2019-08-07,111.95999908447266
2019-06-04,108.80000305175781
2018-09-21,107.80000305175781
2018-07-19,108.30999755859375
2018-08-20,105.75
2018-10-23,102.13999938964844
2019-05-03,101.48999786376953
2019-04-01,101.36000061035156
2019-02-28,100.19999694824219
2019-11-12,108.04000091552734
2020-01-30,109.61000061035156
2019-11-15,108.88999938964844
2020-04-21,108.93000030517578
2019-04-16,109.56999969482422
2019-03-15,110.43000030517578
2019-02-11,111.02999877929688
2019-01-10,111.43000030517578
2019-08-22,111.22000122070312
2018-11-07,114.13999938964844
2018-08-03,113.27999877929688
2018-09-04,106.66999816894531
2019-06-19,105.69000244140625
2019-09-23,104.87000274658203
2019-11-18,102.37000274658203
2020-02-05,102.73999786376953
2020-04-24,100.23999786376953
