Dates,SI=F
2019-03-25,14.510000228881836
2019-02-21,14.569000244140625
2018-12-19,14.258999824523926
2018-07-12,14.329000473022461
2018-09-14,14.255000114440918
2018-08-13,14.53499984741211
2018-10-16,14.564000129699707
2019-07-31,14.656000137329102
2019-05-28,14.630000114440918
2019-04-26,14.592000007629395
2020-04-28,14.532999992370605
2019-11-25,14.579000473022461
2020-02-12,14.522000312805176
2020-05-01,14.727999687194824
2020-05-04,14.611000061035156
2019-06-12,14.5649995803833
2019-04-09,14.635000228881836
2019-03-08,14.376999855041504
2019-02-04,14.402999877929688
2018-07-27,14.229000091552734
2018-08-28,14.729000091552734
2019-01-03,14.706999778747559
2019-08-15,14.604000091552734
2018-10-31,14.458000183105469
2019-09-16,14.527999877929688
2020-02-18,14.38599967956543
2020-05-07,14.102999687194824
2018-08-17,13.973999977111816
2019-12-04,13.95199966430664
2020-02-21,14.055000305175781
2020-05-10,14.237000465393066
2018-12-17,14.357999801635742
2019-08-30,14.380999565124512
2018-11-15,14.246999740600586
2019-07-29,14.479999542236328
2019-06-27,14.182999610900879
2019-04-24,14.062000274658203
2018-07-10,14.303000450134277
2018-09-12,14.27299976348877
2019-02-19,14.093999862670898
2019-01-18,14.380999565124512
2020-02-24,14.520999908447266
2020-05-13,14.390000343322754
2019-12-10,14.571999549865723
2020-02-27,14.477999687194824
2019-12-13,14.49899959564209
2020-03-01,14.725000381469727
2020-05-19,14.729000091552734
2019-03-06,14.512999534606934
2018-11-30,14.638999938964844
2019-08-13,14.585000038146973
2019-07-12,14.70199966430664
2019-06-10,14.753000259399414
2019-05-09,14.583000183105469
2018-07-25,15.003999710083008
2018-09-27,15.190999984741211
2018-10-29,15.326000213623047
2019-10-16,15.432999610900879
2019-12-16,15.541999816894531
2020-03-04,15.706000328063965
2020-05-22,15.694999694824219
2019-10-01,15.668999671936035
2019-12-19,15.62600040435791
2018-09-10,15.652999877929688
2019-05-24,15.560999870300293
2018-08-09,15.57699966430664
2019-04-22,15.609000205993652
2019-03-21,15.545999526977539
2019-01-16,15.564000129699707
2019-08-28,15.467000007629395
2018-11-13,15.329999923706055
2018-10-12,15.258999824523926
2019-06-25,15.317000389099121
2020-03-10,15.23799991607666
2020-05-28,15.638999938964844
2019-10-07,15.708999633789062
2020-03-13,15.78600025177002
2020-05-31,15.880000114440918
2019-10-10,16.02199935913086
2020-03-16,15.880000114440918
2020-06-03,15.836999893188477
2018-11-28,15.789999961853027
2018-09-25,15.656000137329102
2018-07-23,15.675000190734863
2018-08-24,15.77299976348877
2019-07-10,15.656999588012695
2019-05-07,15.65999984741211
2019-04-05,15.62399959564209
2019-03-04,15.5
2019-01-31,15.722999572753906
2019-09-12,15.946999549865723
2019-12-31,16.156999588012695
2020-03-19,15.791000366210938
2020-01-03,15.907999992370605
2020-03-22,15.824999809265137
2020-06-09,15.82699966430664
2019-02-15,15.67199993133545
2019-01-14,15.538000106811523
2018-08-07,15.168999671936035
2018-10-10,15.017000198364258
2018-12-13,15.020000457763672
2019-08-26,15.003000259399414
2019-07-25,14.960000038146973
2019-05-22,15.272000312805176
2019-03-19,15.196999549865723
2019-09-27,15.338000297546387
2020-01-06,15.380999565124512
2020-03-25,15.10099983215332
2020-06-12,15.253000259399414
2019-10-22,15.25100040435791
2020-01-09,15.300999641418457
2020-06-15,15.244999885559082
2019-10-25,15.371999740600586
2020-03-31,15.345000267028809
2020-06-18,15.506999969482422
2019-04-03,15.371000289916992
2018-08-22,15.23900032043457
2018-10-25,14.920999526977539
2019-01-29,15.0600004196167
2018-12-28,15.050999641418457
2019-09-10,15.017999649047852
2018-11-26,15.059000015258789
2019-08-09,15.041000366210938
2019-07-08,15.043000221252441
2019-06-06,15.17300033569336
2020-01-15,15.168000221252441
2020-04-03,15.201000213623047
2020-03-29,14.824000358581543
2020-06-21,14.920000076293945
2019-10-31,14.947999954223633
2020-04-06,14.890999794006348
2020-06-24,14.920999526977539
2018-11-09,14.937000274658203
2019-07-23,14.956999778747559
2019-06-21,14.77299976348877
2019-05-20,14.89799976348877
2019-04-18,14.861000061035156
2018-09-06,15.001999855041504
2018-10-08,14.843999862670898
2019-02-13,14.899999618530273
