Dates,BA
2019-10-03,363.8500061035156
2020-03-09,364.3699951171875
2020-05-27,354.1099853515625
2019-12-24,357.67999267578125
2020-03-12,360.1400146484375
2018-12-20,361.6099853515625
2019-08-01,357.9800109863281
2018-08-14,359.0
2018-07-13,368.739990234375
2018-10-17,383.7099914550781
2019-05-29,377.3900146484375
2019-03-26,378.1400146484375
2019-02-22,378.4100036621094
2019-10-04,383.25
2019-11-05,386.1400146484375
2019-12-27,384.1099853515625
2020-06-02,376.6099853515625
2019-12-30,379.5400085449219
2020-03-18,384.9100036621094
2020-06-05,387.1000061035156
2019-07-15,388.19000244140625
2018-12-03,383.0
2019-06-13,381.70001220703125
2019-01-04,371.8500061035156
2018-08-29,366.2099914550781
2019-02-05,372.25
2018-11-01,374.05999755859375
2019-08-16,371.04998779296875
2019-04-10,376.0
2019-09-17,373.70001220703125
2019-10-15,373.0
2020-01-02,374.25
2020-06-08,372.5799865722656
2019-10-18,370.2200012207031
2020-03-24,372.4200134277344
2020-06-11,369.0
2020-01-08,332.8900146484375
2019-04-25,336.07000732421875
2019-07-30,345.0
2019-02-20,341.70001220703125
2018-07-11,342.9200134277344
2018-09-13,341.5
2018-10-15,340.19000244140625
2019-06-28,346.6300048828125
2018-12-18,344.70001220703125
2018-11-16,340.5899963378906
2019-10-02,346.4599914550781
2020-03-27,355.2300109863281
2020-01-10,358.8599853515625
2019-10-24,356.1199951171875
2020-03-30,356.3999938964844
2020-06-17,349.0400085449219
2020-01-14,366.489990234375
2020-04-02,361.8699951171875
2019-01-02,363.1000061035156
2019-08-14,370.0
2018-10-30,371.6700134277344
2019-06-11,373.510009765625
2019-05-10,366.0
2019-04-08,369.75
2018-08-27,368.2699890136719
2018-07-26,372.5199890136719
2018-09-28,373.6600036621094
2019-03-07,369.9599914550781
2019-10-30,367.5
2020-01-17,367.0799865722656
2020-06-23,352.0899963378906
2020-04-08,354.70001220703125
2020-06-26,350.2200012207031
2019-03-22,347.739990234375
2019-01-17,352.6700134277344
2019-08-29,350.1499938964844
2018-11-14,342.1000061035156
2019-06-26,348.25
2018-09-11,346.29998779296875
2018-07-09,328.5299987792969
2018-08-10,322.05999755859375
2019-04-23,328.7200012207031
2019-09-30,332.8999938964844
2020-01-23,334.6199951171875
2019-11-08,336.75
2020-04-14,339.510009765625
2019-11-11,332.70001220703125
2020-01-29,330.20001220703125
2020-04-17,330.5
2018-07-24,325.4100036621094
2018-09-26,328.54998779296875
