Dates,CERN
2020-02-11,72.25
2020-04-30,72.73999786376953
2019-05-01,72.69999694824219
2019-02-26,71.66999816894531
2019-01-25,72.26000213623047
2018-12-24,72.4800033569336
2019-09-06,72.2300033569336
2018-07-17,71.4800033569336
2018-09-19,70.66999816894531
2019-08-05,71.0
2019-10-08,71.75
2019-12-11,72.08999633789062
2019-11-27,72.6500015258789
2020-02-14,71.25
2020-05-06,71.04000091552734
2019-01-08,71.79000091552734
2018-12-07,73.30000305175781
2019-08-20,74.2699966430664
2018-11-05,74.94999694824219
2019-07-19,74.52999877929688
2018-10-04,74.5
2019-06-17,74.55999755859375
2019-05-16,74.98999786376953
2018-08-01,75.68000030517578
2019-03-13,76.1500015258789
2019-12-03,76.12000274658203
2020-02-20,75.83000183105469
2019-12-06,74.4800033569336
2020-05-12,74.43000030517578
2019-12-09,74.0
2020-02-26,72.83000183105469
2020-05-15,72.0
2019-03-28,72.08000183105469
2018-09-17,72.20999908447266
2018-08-16,72.91999816894531
2018-10-19,73.11000061035156
2019-04-29,73.66999816894531
2019-01-23,73.58999633789062
2019-09-04,71.6500015258789
2018-11-20,71.93000030517578
2019-07-02,70.97000122070312
2019-05-31,69.66999816894531
2019-12-12,70.5
2020-05-18,70.08999633789062
2019-09-27,71.48999786376953
2020-03-03,71.41000366210938
2020-05-21,70.23999786376953
2019-05-14,70.87999725341797
2018-08-31,69.41999816894531
2018-07-30,69.25
2018-10-02,70.6500015258789
2019-04-12,71.83000183105469
2019-03-11,71.37999725341797
2019-02-07,71.77999877929688
2019-07-17,71.68000030517578
2019-09-19,67.93000030517578
2019-10-21,68.5199966430664
2019-12-18,68.19000244140625
2020-03-06,68.58000183105469
2019-10-03,69.0
2020-03-09,68.91000366210938
2020-05-27,67.38999938964844
2019-12-24,67.27999877929688
2020-03-12,67.8499984741211
2018-12-20,67.36000061035156
2019-08-01,66.5
2018-08-14,67.3499984741211
2018-07-13,68.33000183105469
2018-10-17,68.01000213623047
2019-05-29,67.8499984741211
2019-03-26,67.76000213623047
2019-02-22,68.13999938964844
2019-10-04,67.56999969482422
2019-11-05,67.68000030517578
2019-12-27,68.44000244140625
2020-06-02,68.58000183105469
2019-12-30,68.33000183105469
2020-03-18,68.2300033569336
2020-06-05,68.36000061035156
2019-07-15,68.37000274658203
2018-12-03,68.16999816894531
2019-06-13,67.45999908447266
2019-01-04,66.54000091552734
2018-08-29,66.13999938964844
2019-02-05,66.81999969482422
2018-11-01,66.30999755859375
2019-08-16,65.0999984741211
2019-04-10,65.70999908447266
2019-09-17,66.83999633789062
2019-10-15,67.58000183105469
2020-01-02,67.73999786376953
2020-06-08,68.08999633789062
2019-10-18,68.16000366210938
2020-03-24,68.11000061035156
2020-06-11,67.76000213623047
2020-01-08,68.16000366210938
2019-04-25,67.47000122070312
2019-07-30,67.56999969482422
2019-02-20,67.4800033569336
