Dates,DHR
2020-03-06,137.42999267578125
2019-10-03,140.63999938964844
2020-03-09,142.82000732421875
2020-05-27,140.5500030517578
2019-12-24,140.47999572753906
2020-03-12,141.8800048828125
2018-12-20,143.58999633789062
2019-08-01,144.10000610351562
2018-08-14,138.2899932861328
2018-07-13,136.5500030517578
2018-10-17,140.36000061035156
2019-05-29,141.38999938964844
2019-03-26,140.3300018310547
2019-02-22,140.64999389648438
2019-10-04,142.38999938964844
2019-11-05,144.0
2019-12-27,146.66000366210938
2020-06-02,145.3000030517578
2019-12-30,145.3699951171875
2020-03-18,144.16000366210938
2020-06-05,144.86000061035156
2019-07-15,143.24000549316406
2018-12-03,142.22999572753906
2019-06-13,144.25
2019-01-04,140.52999877929688
2018-08-29,136.75
2019-02-05,139.36000061035156
2018-11-01,140.72000122070312
2019-08-16,138.38999938964844
2019-04-10,136.9600067138672
2019-09-17,136.55999755859375
2019-10-15,140.14999389648438
2020-01-02,139.8300018310547
2020-06-08,139.6999969482422
2019-10-18,137.1999969482422
2020-03-24,137.97000122070312
2020-06-11,137.42999267578125
2020-01-08,138.69000244140625
2019-04-25,138.35000610351562
2019-07-30,137.67999267578125
2019-02-20,137.67999267578125
2018-07-11,135.72999572753906
2018-09-13,136.27999877929688
2018-10-15,135.83999633789062
2019-06-28,137.41000366210938
2018-12-18,138.1999969482422
2018-11-16,138.72000122070312
2019-10-02,137.55999755859375
2020-03-27,135.1699981689453
2020-01-10,133.8699951171875
2019-10-24,134.83999633789062
2020-03-30,134.7100067138672
2020-06-17,134.64999389648438
2020-01-14,134.6699981689453
2020-04-02,135.2899932861328
2019-01-02,136.83999633789062
2019-08-14,139.25999450683594
2018-10-30,142.60000610351562
2019-06-11,140.16000366210938
2019-05-10,143.07000732421875
2019-04-08,142.61000061035156
2018-08-27,143.58999633789062
2018-07-26,143.99000549316406
2018-09-28,145.0
2019-03-07,146.30999755859375
2019-10-30,146.66000366210938
2020-01-17,146.49000549316406
2020-06-23,144.52999877929688
2020-04-08,146.89999389648438
2020-06-26,146.94000244140625
2019-03-22,147.7100067138672
2019-01-17,148.47000122070312
2019-08-29,147.8800048828125
2018-11-14,149.39999389648438
2019-06-26,149.35000610351562
2018-09-11,151.17999267578125
2018-07-09,148.1199951171875
2018-08-10,151.72999572753906
2019-04-23,151.0
2019-09-30,150.92999267578125
2020-01-23,151.05999755859375
2019-11-08,153.7100067138672
2020-04-14,152.83999633789062
2019-11-11,152.8699951171875
2020-01-29,153.1999969482422
2020-04-17,152.94000244140625
2018-07-24,152.72000122070312
2018-09-26,153.9600067138672
2019-05-08,153.42999267578125
2019-03-05,153.4499969482422
2019-02-01,155.02000427246094
2018-12-31,157.3000030517578
2018-11-29,156.97999572753906
2019-08-12,158.24000549316406
2019-07-11,158.4499969482422
2019-09-13,159.86000061035156
2019-11-14,161.5500030517578
2020-04-20,161.64999389648438
2020-02-04,162.25
2020-04-23,162.91000366210938
2018-12-14,163.86000061035156
2019-08-27,163.6199951171875
2018-08-08,163.30999755859375
2018-10-11,160.64999389648438
2018-11-12,161.5
2019-07-26,164.57000732421875
2019-06-24,165.0
2019-05-23,167.24000549316406
2019-03-20,162.0
2019-01-15,163.25
2019-11-20,163.77999877929688
2020-02-07,163.67999267578125
2020-02-10,163.38999938964844
2020-04-29,162.36000061035156
2019-11-26,163.5800018310547
2020-02-13,163.55999755859375
2019-01-30,163.25
2018-08-23,163.42999267578125
2018-09-24,166.2899932861328
2018-11-27,164.44000244140625
2018-10-26,163.47999572753906
2019-07-09,159.30999755859375
2019-06-07,155.3000030517578
2019-05-06,157.72999572753906
2019-04-04,151.41000366210938
2019-09-11,149.85000610351562
2019-11-29,142.16000366210938
2020-05-05,145.30999755859375
2019-12-02,151.83999633789062
2020-02-19,150.5800018310547
2020-05-08,152.97999572753906
2019-05-21,145.22999572753906
2019-03-18,140.5
2018-09-07,146.47999572753906
2018-08-06,141.50999450683594
2018-10-09,129.85000610351562
2019-02-14,136.47000122070312
2018-12-12,129.94000244140625
2019-07-24,129.6300048828125
2019-09-26,124.19999694824219
2019-10-28,127.68000030517578
2019-12-05,125.87999725341797
2020-05-11,135.9499969482422
2019-07-03,125.75
2020-02-25,126.66000366210938
2020-05-14,131.85000610351562
2020-02-28,134.1300048828125
2019-08-08,137.5399932861328
2019-06-05,140.75999450683594
2018-07-20,133.36000061035156
2018-08-21,127.81999969482422
2018-10-24,135.49000549316406
2019-04-02,140.0
2019-03-01,145.27999877929688
2019-01-28,141.8300018310547
2018-12-27,144.5399932861328
2019-09-09,144.0
2020-03-02,149.63999938964844
2020-05-20,150.25999450683594
2019-12-17,154.17999267578125
2020-03-05,157.24000549316406
2019-02-12,155.97999572753906
2019-01-11,153.5399932861328
2018-12-10,156.0800018310547
2019-08-23,161.35000610351562
2018-11-08,161.58999633789062
2019-07-22,166.5
2019-06-20,169.82000732421875
2018-09-05,163.25999450683594
2019-04-17,163.89999389648438
2019-09-24,162.35000610351562
2019-12-20,161.1199951171875
2020-05-26,162.8800048828125
2019-04-30,164.57000732421875
2019-12-23,158.7100067138672
2020-03-11,164.05999755859375
2020-05-29,159.8000030517578
2019-12-26,162.32000732421875
2020-06-01,160.00999450683594
2019-05-02,158.11000061035156
2019-02-27,159.55999755859375
2018-11-23,165.2899932861328
2019-08-06,161.92999267578125
