Dates,DHR
2019-07-22,3222000.0
2019-06-20,3066600.0
2018-09-05,2684800.0
2019-04-17,3545700.0
2019-09-24,2125000.0
2019-12-20,1653600.0
2020-05-26,1501000.0
2019-04-30,2181500.0
2019-12-23,7374000.0
2020-03-11,9313500.0
2020-05-29,6314700.0
2019-12-26,3225800.0
2020-06-01,4117300.0
2019-05-02,2590200.0
2019-02-27,5586100.0
2018-11-23,3436100.0
2019-08-06,2513900.0
2018-07-18,2110200.0
2018-09-20,2278800.0
2018-10-22,1483300.0
2019-07-05,3097600.0
2019-06-03,3110700.0
2019-10-09,3088400.0
2019-10-11,5328900.0
2020-03-17,1512200.0
2020-06-04,2959300.0
2019-10-14,4064600.0
2020-03-20,2599700.0
2018-11-06,3034200.0
2019-06-18,2819000.0
2019-05-17,2379100.0
2019-04-15,2561200.0
2019-03-14,3296800.0
2019-01-09,3292300.0
2018-08-02,2794100.0
2018-10-05,2976300.0
2019-08-21,2107400.0
2019-10-17,1895400.0
2020-03-23,5523800.0
2020-06-10,1670000.0
2019-02-25,1287700.0
2020-01-07,2025800.0
2020-03-26,1982300.0
2019-10-23,3447700.0
