Dates,MMM
2018-07-13,3579100.0
2018-10-17,2870400.0
2019-05-29,2534200.0
2019-03-26,2459300.0
2019-02-22,2716400.0
2019-10-04,2096700.0
2019-11-05,1623000.0
2019-12-27,3698900.0
2020-06-02,1938600.0
2019-12-30,2986800.0
2020-03-18,2758200.0
2020-06-05,2763300.0
2019-07-15,2870300.0
2018-12-03,2508500.0
2019-06-13,3271500.0
2019-01-04,2972300.0
2018-08-29,3025700.0
2019-02-05,2646400.0
2018-11-01,2471200.0
2019-08-16,2781800.0
2019-04-10,3358600.0
2019-09-17,3192000.0
2019-10-15,4670200.0
2020-01-02,3269800.0
2020-06-08,3098600.0
2019-10-18,1935200.0
2020-03-24,1944600.0
2020-06-11,2693700.0
2020-01-08,1998600.0
2019-04-25,2064000.0
2019-07-30,2712300.0
2019-02-20,5953300.0
2018-07-11,3104700.0
2018-09-13,3138000.0
2018-10-15,2669200.0
2019-06-28,1780100.0
2018-12-18,2653100.0
2018-11-16,2467400.0
2019-10-02,4142800.0
2020-03-27,2304300.0
2020-01-10,3012900.0
2019-10-24,3358800.0
2020-03-30,1615600.0
2020-06-17,2664300.0
2020-01-14,1740400.0
2020-04-02,1638800.0
2019-01-02,1613900.0
2019-08-14,2616900.0
2018-10-30,2364600.0
2019-06-11,1791800.0
2019-05-10,2689500.0
2019-04-08,3605700.0
2018-08-27,3268300.0
2018-07-26,2761900.0
2018-09-28,2610900.0
2019-03-07,1331500.0
2019-10-30,942500.0
2020-01-17,2342200.0
2020-06-23,2702000.0
2020-04-08,2139200.0
2020-06-26,3309300.0
2019-03-22,3880000.0
2019-01-17,2058200.0
2019-08-29,2670500.0
2018-11-14,1859000.0
2019-06-26,2872400.0
2018-09-11,2098000.0
2018-07-09,2917200.0
2018-08-10,2672600.0
2019-04-23,2270400.0
2019-09-30,2757600.0
2020-01-23,7513000.0
2019-11-08,4876300.0
2020-04-14,1259500.0
2019-11-11,1435200.0
2020-01-29,1472900.0
2020-04-17,1715100.0
2018-07-24,1573500.0
2018-09-26,3601700.0
2019-05-08,2466900.0
2019-03-05,1998000.0
2019-02-01,2173000.0
2018-12-31,2758300.0
2018-11-29,2746300.0
2019-08-12,2103800.0
2019-07-11,2090800.0
2019-09-13,2911200.0
2019-11-14,2482200.0
2020-04-20,2149900.0
2020-02-04,3690100.0
2020-04-23,3367700.0
2018-12-14,2420200.0
2019-08-27,2358400.0
2018-08-08,2643100.0
2018-10-11,4361400.0
2018-11-12,8920700.0
2019-07-26,5343900.0
2019-06-24,4357100.0
2019-05-23,5740300.0
2019-03-20,3927100.0
2019-01-15,4363900.0
2019-11-20,3118200.0
2020-02-07,3413800.0
2020-02-10,2736200.0
2020-04-29,2754800.0
2019-11-26,2275100.0
2020-02-13,2736400.0
2019-01-30,3413900.0
2018-08-23,2233500.0
2018-09-24,2478900.0
2018-11-27,2296400.0
2018-10-26,3275100.0
2019-07-09,3535300.0
2019-06-07,3635600.0
2019-05-06,5263400.0
2019-04-04,5152100.0
2019-09-11,8223300.0
2019-11-29,11508700.0
2020-05-05,8026300.0
2019-12-02,8296500.0
2020-02-19,5773800.0
2020-05-08,5887000.0
2019-05-21,7155100.0
2019-03-18,8194400.0
2018-09-07,5651700.0
2018-08-06,4748200.0
2018-10-09,8215800.0
2019-02-14,6580300.0
2018-12-12,7440800.0
2019-07-24,6535400.0
2019-09-26,6860400.0
2019-10-28,6365700.0
2019-12-05,9589200.0
2020-05-11,7934300.0
2019-07-03,9311700.0
2020-02-25,7742500.0
2020-05-14,6717000.0
2020-02-28,4262300.0
2019-08-08,3869500.0
2019-06-05,3613700.0
2018-07-20,3777600.0
2018-08-21,3990300.0
2018-10-24,3588300.0
2019-04-02,5639700.0
2019-03-01,5496300.0
2019-01-28,3071100.0
2018-12-27,4784200.0
2019-09-09,2642300.0
2020-03-02,3318400.0
2020-05-20,3043900.0
2019-12-17,4170400.0
2020-03-05,5393100.0
2019-02-12,2893000.0
2019-01-11,2331100.0
2018-12-10,2750400.0
2019-08-23,2585300.0
2018-11-08,2247700.0
2019-07-22,4644900.0
2019-06-20,8294100.0
2018-09-05,3987100.0
2019-04-17,3666100.0
2019-09-24,2926400.0
2019-12-20,2229800.0
2020-05-26,2269200.0
2019-04-30,2168600.0
2019-12-23,2800800.0
2020-03-11,2169700.0
2020-05-29,3034600.0
2019-12-26,3030000.0
2020-06-01,4806000.0
2019-05-02,5897700.0
2019-02-27,10113700.0
2018-11-23,6018500.0
2019-08-06,4059900.0
2018-07-18,3428800.0
2018-09-20,2789100.0
2018-10-22,2661400.0
2019-07-05,4616300.0
2019-06-03,6056300.0
2019-10-09,6730700.0
2019-10-11,8632700.0
2020-03-17,2083400.0
2020-06-04,2333800.0
2019-10-14,3674300.0
2020-03-20,2880700.0
2018-11-06,4527200.0
2019-06-18,2987600.0
2019-05-17,3161600.0
2019-04-15,2551300.0
2019-03-14,5016600.0
2019-01-09,2998800.0
2018-08-02,4093800.0
2018-10-05,3386700.0
2019-08-21,1714600.0
2019-10-17,1806100.0
2020-03-23,6405200.0
2020-06-10,2020900.0
2019-02-25,2301800.0
2020-01-07,3042800.0
2020-03-26,2060700.0
2019-10-23,2826400.0
