Dates,EXC
2018-10-16,43.810001373291016
2019-07-31,44.0099983215332
2019-05-28,44.02000045776367
2019-04-26,43.560001373291016
2020-04-28,42.72999954223633
2019-11-25,42.90999984741211
2020-02-12,43.029998779296875
2020-05-01,43.459999084472656
2020-05-04,42.9900016784668
2019-06-12,43.08000183105469
2019-04-09,44.130001068115234
2019-03-08,43.5
2019-02-04,43.529998779296875
2018-07-27,44.52000045776367
2018-08-28,43.849998474121094
2019-01-03,43.619998931884766
2019-08-15,44.08000183105469
2018-10-31,44.380001068115234
2019-09-16,43.810001373291016
2020-02-18,43.650001525878906
2020-05-07,43.400001525878906
2018-08-17,44.18000030517578
2019-12-04,44.310001373291016
2020-02-21,44.66999816894531
2018-12-17,44.75
2019-08-30,45.040000915527344
2018-11-15,45.720001220703125
2019-07-29,45.90999984741211
2019-06-27,45.220001220703125
2019-04-24,45.54999923706055
2018-07-10,45.880001068115234
2018-09-12,46.099998474121094
2019-02-19,45.439998626708984
2019-01-18,44.95000076293945
2020-02-24,44.849998474121094
2020-05-13,45.20000076293945
2019-12-10,45.529998779296875
2020-02-27,45.81999969482422
2019-12-13,45.66999816894531
2020-05-19,46.38999938964844
2019-03-06,46.47999954223633
2018-11-30,46.95000076293945
2019-08-13,46.900001525878906
2019-07-12,46.959999084472656
2019-06-10,47.0
2019-05-09,46.88999938964844
2018-07-25,46.88999938964844
2018-09-27,46.95000076293945
2018-10-29,47.060001373291016
2019-10-16,45.61000061035156
2019-12-16,45.79999923706055
2020-03-04,45.720001220703125
2020-05-22,45.810001373291016
2019-10-01,45.88999938964844
2019-12-19,43.83000183105469
2018-09-10,44.47999954223633
2019-05-24,44.779998779296875
2018-08-09,44.7400016784668
2019-04-22,45.099998474121094
2019-03-21,44.06999969482422
2019-01-16,44.119998931884766
2019-08-28,44.619998931884766
2018-11-13,44.70000076293945
2018-10-12,45.38999938964844
2019-06-25,45.02000045776367
2020-03-10,45.790000915527344
2020-05-28,45.790000915527344
2019-10-07,45.040000915527344
2020-03-13,45.790000915527344
2019-10-10,45.79999923706055
2020-03-16,46.02000045776367
2020-06-03,46.08000183105469
2018-11-28,46.25
2018-09-25,46.869998931884766
2018-07-23,46.959999084472656
2018-08-24,46.43000030517578
2019-07-10,46.150001525878906
2019-05-07,46.20000076293945
2019-04-05,46.650001525878906
2019-03-04,47.7599983215332
2019-01-31,47.459999084472656
2019-09-12,47.34000015258789
2019-12-31,47.290000915527344
2020-03-19,47.31999969482422
2020-01-03,48.130001068115234
2020-06-09,47.720001220703125
2019-02-15,47.79999923706055
2019-01-14,47.91999816894531
2018-07-06,47.900001525878906
2018-08-07,47.86000061035156
2018-10-10,48.2599983215332
2018-12-13,48.150001525878906
2019-08-26,48.130001068115234
2019-07-25,48.4900016784668
2019-05-22,48.7400016784668
2019-03-19,48.41999816894531
2020-01-06,48.560001373291016
2020-03-25,48.29999923706055
2020-06-12,48.59000015258789
2019-10-22,48.540000915527344
2020-01-09,48.45000076293945
2020-06-15,48.41999816894531
2019-10-25,48.43000030517578
2020-03-31,48.54999923706055
2020-06-18,48.779998779296875
2019-04-03,49.08000183105469
2018-08-22,49.459999084472656
2018-10-25,49.630001068115234
2019-01-29,49.619998931884766
2018-12-28,50.0
2018-11-26,49.66999816894531
2019-08-09,49.08000183105469
2019-07-08,49.099998474121094
2019-06-06,49.65999984741211
2019-09-10,50.279998779296875
2020-01-15,50.380001068115234
2020-04-03,50.68000030517578
2019-10-31,50.529998779296875
2020-04-06,49.7599983215332
2020-06-24,50.130001068115234
2018-11-09,49.84000015258789
2019-07-23,50.290000915527344
2019-06-21,49.939998626708984
2019-05-20,49.63999938964844
2019-04-18,49.900001525878906
2018-09-06,49.619998931884766
2018-10-08,49.52000045776367
2019-02-13,49.560001373291016
2018-12-11,49.779998779296875
2019-09-25,49.70000076293945
2020-01-21,50.189998626708984
2020-04-09,49.20000076293945
2019-11-06,48.88999938964844
2020-01-24,49.400001525878906
2020-01-27,49.47999954223633
2020-04-15,49.7400016784668
2018-12-26,50.06999969482422
2019-08-07,50.38999938964844
2019-06-04,50.470001220703125
2018-09-21,50.08000183105469
2018-07-19,50.95000076293945
