Dates,EXC
2019-10-21,3979400.0
2019-12-18,9734400.0
2020-03-06,5309200.0
2019-10-03,3595300.0
2020-03-09,5474400.0
2020-05-27,5705100.0
2019-12-24,5124500.0
2020-03-12,9220000.0
2018-12-20,4812700.0
2019-08-01,4996600.0
2018-08-14,6037000.0
2018-07-13,3625900.0
2018-10-17,7599700.0
2019-05-29,8184100.0
2019-03-26,4223100.0
2019-02-22,5617300.0
2019-10-04,3624500.0
2019-11-05,3650400.0
2019-12-27,10352000.0
2020-06-02,4742400.0
2019-12-30,4921900.0
2020-03-18,4519500.0
2020-06-05,3835800.0
2019-07-15,4642700.0
2018-12-03,3896000.0
2019-06-13,4677200.0
2019-01-04,4271000.0
2018-08-29,4837800.0
2019-02-05,3353400.0
2018-11-01,4686700.0
2019-08-16,4383400.0
2019-04-10,3048100.0
2019-09-17,4937300.0
2019-10-15,4413000.0
2020-01-02,2668400.0
2020-06-08,3398100.0
2019-10-18,11579300.0
2020-03-24,19579600.0
2020-06-11,20311100.0
2020-01-08,7384700.0
2019-04-25,8537100.0
2019-07-30,8712600.0
2019-02-20,6880200.0
2018-07-11,6382400.0
2018-09-13,6367500.0
2018-10-15,5435000.0
2019-06-28,7566400.0
2018-12-18,8255900.0
2018-11-16,5635300.0
2019-10-02,6669900.0
2020-03-27,6964000.0
2020-01-10,6248000.0
2019-10-24,4802700.0
2020-03-30,4151700.0
2020-06-17,3656400.0
2020-01-14,4475100.0
2020-04-02,4502600.0
2019-01-02,4796300.0
2019-08-14,4590200.0
2018-10-30,6309600.0
2019-06-11,9670200.0
2019-05-10,25332600.0
2019-04-08,8430600.0
2018-08-27,5850000.0
2018-07-26,8003400.0
2018-09-28,11002700.0
2019-03-07,4184200.0
2019-10-30,3903500.0
2020-01-17,7091000.0
2020-06-23,6230500.0
2020-04-08,5136300.0
2020-06-26,5841100.0
2019-03-22,4442800.0
2019-01-17,3413700.0
2019-08-29,5683600.0
2018-11-14,5592500.0
2019-06-26,6879100.0
2018-09-11,7198800.0
2018-07-09,7291800.0
2018-08-10,7252800.0
2019-04-23,6446000.0
2019-09-30,9138700.0
2020-01-23,11962700.0
2019-11-08,6659700.0
2020-04-14,1960800.0
2019-11-11,3432000.0
2020-01-29,3493500.0
2020-04-17,3621000.0
2018-07-24,3691100.0
2018-09-26,5011800.0
2019-05-08,5385600.0
2019-03-05,5551500.0
2019-02-01,6777300.0
