Dates,ES=F
2019-11-17,3236.25
2020-02-04,3267.25
2020-04-23,3305.25
2018-12-14,3338.0
2019-08-27,3357.75
2018-08-08,3350.0
2018-10-11,3329.25
2018-11-12,3353.5
2019-07-26,3374.5
2019-06-24,3381.5
2019-05-23,3384.75
2019-03-20,3388.5
2019-01-15,3389.5
2019-11-20,3392.5
2020-02-07,3393.75
2020-04-26,3397.5
2019-09-05,3369.25
2020-02-10,3312.0
2020-04-29,3312.0
2019-09-08,3259.5
2019-11-26,3182.0
2020-02-13,3117.0
2019-01-30,2994.25
2018-08-23,2996.0
2018-09-24,3093.25
2018-10-26,3137.0
2018-11-27,3129.5
2019-07-09,3113.75
2019-06-07,3037.0
2019-05-06,3037.0
2019-04-04,2916.0
2019-09-11,2884.75
2020-02-16,2869.5
2020-05-05,2774.0
2019-12-02,2707.75
2020-02-19,2707.75
2020-05-08,2652.0
2019-05-21,2554.5
2019-03-18,2486.25
2018-09-07,2460.0
2018-08-06,2499.0
2018-10-09,2229.0
2019-02-14,2384.25
2018-12-12,2470.0
2019-08-25,2560.75
2019-07-24,2629.0
2019-09-26,2605.0
2019-12-05,2498.25
2020-05-11,2624.5
2019-12-08,2635.75
2020-02-25,2528.5
2020-05-14,2525.0
2019-09-23,2529.5
2020-02-28,2668.5
2020-05-17,2750.0
2019-08-08,2752.25
2019-07-07,2809.5
2019-06-05,2819.5
2018-07-20,2779.25
2018-08-21,2846.0
2018-10-24,2834.75
2019-04-02,2885.0
2019-03-01,2884.0
2019-01-28,2853.5
2018-12-27,2874.0
2020-03-02,2807.75
2020-05-20,2808.0
2019-09-29,2836.75
2019-12-17,2835.0
2020-03-05,2825.0
2019-02-12,2881.25
2019-01-11,2913.5
2018-12-10,2947.25
2019-08-23,2965.0
2018-11-08,2879.75
2019-07-22,2797.0
2019-06-20,2835.75
2018-09-05,2889.75
2019-04-17,2886.25
2019-09-24,2895.0
2019-12-20,2933.0
2020-03-08,2939.0
2020-05-26,2945.0
2019-04-30,2938.75
2019-12-23,2876.75
2020-03-11,2853.75
2020-05-29,2863.5
2019-12-26,2873.75
2020-06-01,2964.75
2019-05-02,2976.25
2019-02-27,2975.75
2019-08-06,2973.0
2018-07-18,2957.5
2018-09-20,2967.75
2018-10-22,3019.75
2019-07-05,3036.75
2019-06-03,3065.5
2019-10-09,3058.25
2019-11-10,3034.75
2019-10-11,3059.0
2019-12-29,3078.25
2020-03-17,3129.5
2020-06-04,3126.75
2019-10-14,3210.5
2020-03-20,3211.5
2020-06-07,3231.25
2018-11-06,3231.0
2019-06-18,3227.25
2019-05-17,3188.5
2019-04-15,3087.75
2019-03-14,3008.75
2019-01-09,3068.25
2018-08-02,3156.25
2018-10-05,3147.0
2019-08-21,3120.0
2019-09-22,3144.75
2019-10-17,3055.75
2020-03-23,3113.75
2020-06-10,3145.75
2019-02-25,3128.5
2019-10-20,3079.5
2020-01-07,3082.0
2020-03-26,3004.25
2019-10-23,3048.75
