Dates,OKE
2018-07-25,59.290000915527344
2018-09-27,59.45000076293945
2018-10-29,59.95000076293945
2019-10-16,58.16999816894531
2019-12-16,56.189998626708984
2020-03-04,55.38999938964844
2020-05-22,53.75
2019-10-01,53.560001373291016
2019-12-19,50.790000915527344
2018-09-10,50.2599983215332
2019-05-24,50.959999084472656
2018-08-09,51.84000015258789
2019-04-22,53.06999969482422
2019-03-21,52.720001220703125
2019-01-16,53.52000045776367
2019-08-28,54.91999816894531
2018-11-13,56.349998474121094
2018-10-12,57.93000030517578
2019-06-25,58.95000076293945
2020-03-10,58.959999084472656
2020-05-28,59.47999954223633
2019-10-07,58.45000076293945
2020-03-13,59.61000061035156
2019-10-10,60.790000915527344
2020-03-16,60.7400016784668
2020-06-03,62.2599983215332
2018-11-28,62.18000030517578
2018-09-25,61.7400016784668
2018-07-23,62.02000045776367
2018-08-24,61.86000061035156
2019-07-10,61.290000915527344
2019-05-07,62.36000061035156
2019-04-05,63.61000061035156
2019-03-04,63.529998779296875
2019-01-31,63.970001220703125
2019-09-12,64.51000213623047
2019-12-31,65.44999694824219
2020-03-19,65.44000244140625
2020-01-03,64.58999633789062
2020-06-09,63.810001373291016
2019-02-15,64.41999816894531
2019-01-14,64.97000122070312
2018-07-06,65.3499984741211
2018-08-07,65.56999969482422
2018-10-10,67.20999908447266
2018-12-13,67.30000305175781
2019-08-26,68.0
2019-07-25,67.27999877929688
2019-05-22,67.55000305175781
2019-03-19,67.41000366210938
2020-01-06,64.08999633789062
2020-03-25,64.12000274658203
2020-06-12,64.05000305175781
2019-10-22,64.58000183105469
2020-01-09,64.7300033569336
2020-06-15,65.36000061035156
2019-10-25,65.20999908447266
2020-03-31,65.36000061035156
2020-06-18,64.5199966430664
2019-04-03,65.62000274658203
2018-08-22,66.3499984741211
2018-10-25,66.83999633789062
2019-01-29,66.97000122070312
2018-12-28,66.55999755859375
2018-11-26,66.95999908447266
2019-08-09,68.08000183105469
2019-07-08,68.0199966430664
2019-06-06,68.63999938964844
2019-09-10,68.66999816894531
2020-01-15,68.33999633789062
2020-04-03,69.0199966430664
2019-10-31,68.38999938964844
2020-04-06,68.36000061035156
2020-06-24,69.36000061035156
2018-11-09,69.62000274658203
2019-07-23,70.05999755859375
2019-06-21,68.87999725341797
2019-05-20,68.83000183105469
2019-04-18,69.30000305175781
2018-09-06,70.22000122070312
2018-10-08,69.51000213623047
2019-02-13,69.68000030517578
2018-12-11,69.48999786376953
2019-09-25,70.12000274658203
2020-01-21,69.72000122070312
2020-04-09,70.05999755859375
2019-11-06,69.70999908447266
2020-01-24,69.0
2020-01-27,68.9800033569336
2020-04-15,69.26000213623047
2018-12-26,69.63999938964844
2019-08-07,69.58000183105469
2019-06-04,67.97000122070312
2018-09-21,68.3499984741211
2018-07-19,67.6500015258789
2018-08-20,66.7300033569336
2018-10-23,66.29000091552734
2019-05-03,66.86000061035156
2019-04-01,66.08000183105469
2019-02-28,64.95999908447266
2019-11-12,65.97000122070312
2020-01-30,65.16000366210938
2019-11-15,65.73999786376953
2020-04-21,65.66000366210938
2019-04-16,66.62999725341797
2019-03-15,66.88999938964844
2019-02-11,67.47000122070312
2019-01-10,67.80999755859375
2019-08-22,67.0199966430664
2018-11-07,67.25
2018-08-03,66.5999984741211
2018-09-04,64.36000061035156
2019-06-19,65.23999786376953
2019-09-23,64.04000091552734
2019-11-18,63.130001068115234
2020-02-05,63.810001373291016
2020-04-24,63.380001068115234
2019-03-29,63.52000045776367
2019-11-21,63.939998626708984
2020-04-27,64.83999633789062
2020-02-11,65.20999908447266
2020-04-30,65.87999725341797
2019-05-01,65.63999938964844
2019-02-26,65.58999633789062
2019-01-25,64.11000061035156
2018-12-24,64.62999725341797
2019-09-06,64.05000305175781
2018-07-17,64.19000244140625
2018-09-19,65.05999755859375
2019-08-05,65.4000015258789
2019-10-08,66.91000366210938
2019-12-11,67.5999984741211
2019-11-27,67.0199966430664
2020-02-14,66.6500015258789
2020-05-06,66.83999633789062
2019-01-08,67.0999984741211
2018-12-07,67.45999908447266
2019-08-20,69.30000305175781
2018-11-05,68.76000213623047
2019-07-19,69.29000091552734
2018-10-04,69.52999877929688
2019-06-17,69.30000305175781
2019-05-16,69.19000244140625
2018-08-01,69.87999725341797
2019-03-13,70.48999786376953
2019-12-03,70.91000366210938
2020-02-20,70.70999908447266
2019-12-06,69.7699966430664
2020-05-12,69.5
2019-12-09,68.80999755859375
2020-02-26,68.5199966430664
2020-05-15,68.36000061035156
2019-03-28,68.37000274658203
2018-09-17,67.51000213623047
2018-08-16,68.25
2018-10-19,68.0199966430664
2019-04-29,66.66999816894531
2019-01-23,66.1500015258789
2019-09-04,67.23999786376953
2018-11-20,69.7699966430664
2019-07-02,70.3499984741211
