Dates,NCLH
2020-02-28,44214100.0
2019-08-08,32858300.0
2019-06-05,35119800.0
2018-07-20,31934400.0
2018-08-21,33277200.0
2018-10-24,24203800.0
2019-04-02,40974200.0
2019-03-01,56733100.0
2019-01-28,28293100.0
2018-12-27,53320000.0
2019-09-09,34352100.0
2020-03-02,38677100.0
2020-05-20,20560300.0
2019-12-17,20442300.0
2020-03-05,25069500.0
2019-02-12,26653400.0
2019-01-11,22928600.0
2018-12-10,18083400.0
2019-08-23,23018700.0
2018-11-08,22325500.0
2019-07-22,28614000.0
2019-06-20,37342600.0
2018-09-05,62157700.0
2019-04-17,57742200.0
2019-09-24,43335600.0
2019-12-20,39664500.0
2020-05-26,155971800.0
2019-04-30,128458000.0
2019-12-23,82249000.0
2020-03-11,77121000.0
2020-05-29,42615400.0
2019-12-26,36548900.0
2020-06-01,55477600.0
2019-05-02,68694300.0
2019-02-27,45461300.0
2018-11-23,104714100.0
2019-08-06,65613300.0
2018-07-18,63558500.0
2018-09-20,77421100.0
2018-10-22,65214400.0
2019-07-05,76937900.0
2019-06-03,102210000.0
2019-10-09,78503000.0
2019-10-11,77548600.0
2020-03-17,62400000.0
2020-06-04,62632200.0
2019-10-14,78460800.0
2020-03-20,88301400.0
2018-11-06,109690000.0
2019-06-18,105202600.0
2019-05-17,85767900.0
2019-04-15,126632800.0
2019-03-14,119113500.0
2019-01-09,114727600.0
2018-08-02,81509700.0
2018-10-05,89311000.0
2019-08-21,68169700.0
2019-10-17,56711700.0
2020-03-23,78742400.0
2020-06-10,62807300.0
2019-02-25,51733600.0
2020-01-07,77704400.0
2020-03-26,56764000.0
2019-10-23,50406500.0
