Dates,CMCSA
2018-10-08,39.957275390625
2019-02-13,39.99622344970703
2018-12-11,39.957275390625
2019-09-25,40.21041488647461
2020-01-21,40.67775344848633
2020-04-09,40.86274337768555
2019-11-06,41.44691848754883
2020-01-24,41.31060791015625
2020-01-27,40.89194869995117
2020-04-15,40.88221740722656
2018-12-26,40.745906829833984
2019-08-07,41.79741668701172
2019-06-04,41.943458557128906
2018-09-21,42.3036994934082
2018-07-19,42.38158416748047
2018-08-20,42.27448654174805
2018-10-23,41.524803161621094
2019-05-03,42.14792251586914
2019-04-01,42.157657623291016
2019-02-28,41.631900787353516
2019-11-12,41.42744064331055
2020-01-30,41.78767776489258
2019-11-15,42.01161193847656
2020-04-21,41.16456604003906
2019-04-16,41.7779426574707
2019-03-15,41.36902618408203
2019-02-11,42.05055618286133
2019-01-10,42.39132308959961
2019-08-22,41.6513671875
2018-11-07,42.14792251586914
2018-08-03,42.157657623291016
2018-09-04,41.602691650390625
2019-06-19,41.544273376464844
2019-09-23,41.349552154541016
2019-11-18,40.814056396484375
2020-02-05,40.63880920410156
2020-04-24,39.918331146240234
2019-03-29,39.87938690185547
2019-11-21,40.30778121948242
2020-04-27,40.21041488647461
2020-02-11,40.06437301635742
2020-04-30,40.38566970825195
2019-05-01,40.20068359375
2019-02-26,40.13252639770508
2019-01-25,40.35646057128906
2018-12-24,40.590126037597656
2019-09-06,41.19377517700195
2018-07-17,41.43717956542969
2018-09-19,42.10897445678711
2019-08-05,42.00187683105469
2019-10-08,42.527626037597656
2019-12-11,42.410797119140625
2019-11-27,42.449737548828125
2020-02-14,41.62216567993164
2020-05-06,40.999046325683594
2019-01-08,40.89194869995117
2018-12-07,41.16456604003906
2019-08-20,41.58321762084961
2018-11-05,41.964805603027344
2019-07-19,42.38553237915039
2018-10-04,42.34639358520508
2019-06-17,41.71041488647461
2019-05-16,42.05286407470703
2018-08-01,42.845394134521484
2019-03-13,43.12914276123047
2019-12-03,43.67705535888672
2020-02-20,43.755332946777344
2019-12-06,44.11735153198242
2020-05-12,43.471588134765625
2019-12-09,43.598785400390625
2020-02-26,43.10957336425781
2020-05-15,42.90409469604492
2019-03-28,43.36396026611328
2018-09-17,43.902095794677734
2018-08-16,43.647705078125
2018-10-19,43.667274475097656
2019-04-29,43.27590560913086
2019-01-23,43.12914276123047
2019-09-04,42.23876953125
2018-11-20,41.95502471923828
2019-07-02,41.729984283447266
2019-05-31,40.71242141723633
2019-12-12,41.162498474121094
2020-05-18,40.829833984375
2019-09-27,41.739768981933594
2020-03-03,42.003944396972656
2020-05-21,41.54408264160156
2019-05-14,42.52251052856445
2018-08-31,41.456024169921875
2018-07-30,41.436458587646484
2018-10-02,42.24855422973633
2019-04-12,43.05086898803711
2019-03-11,42.99215316772461
2019-02-07,43.15848922729492
2019-07-17,42.82582473754883
2019-09-19,41.51473617553711
2019-10-21,42.414886474609375
2019-12-18,42.659488677978516
2020-03-06,42.82582473754883
2019-10-03,43.21719741821289
2020-03-09,43.30525588989258
2020-05-27,42.93345260620117
2019-12-24,44.5380744934082
2020-03-12,45.40887451171875
2018-12-20,45.35017395019531
2019-08-01,45.41865921020508
2018-08-14,45.44801330566406
2018-07-13,45.39909362792969
2018-10-17,45.9567985534668
2019-05-29,45.86874008178711
2019-03-26,45.27190017700195
2019-02-22,45.66326904296875
2019-10-04,45.92744445800781
2019-11-05,45.673057556152344
2019-12-27,45.359954833984375
2020-06-02,45.22297668457031
2019-12-30,44.723976135253906
2020-03-18,44.84139633178711
2020-06-05,43.93144989013672
2019-07-15,43.84339141845703
2018-12-03,44.107566833496094
2019-06-13,43.76351547241211
2019-01-04,43.3015022277832
2018-08-29,43.31133270263672
2019-02-05,43.95028305053711
2018-11-01,43.83232498168945
2019-08-16,43.36048126220703
2019-04-10,43.62589645385742
2019-09-17,43.743858337402344
2019-10-15,44.7760124206543
2020-01-02,44.46145248413086
2020-06-08,44.89397048950195
2019-10-18,44.82516098022461
2020-03-24,45.149559020996094
2020-06-11,44.79567337036133
2020-01-08,45.2970085144043
2019-04-25,44.99227523803711
2019-07-30,44.9431266784668
2019-02-20,44.07807922363281
2018-07-11,44.87431335449219
2018-09-13,44.66788101196289
2018-10-15,44.579410552978516
2019-06-28,43.93062210083008
2018-12-18,44.058414459228516
2018-11-16,43.98960494995117
2019-10-02,43.14421844482422
2020-03-27,43.527591705322266
2020-01-10,43.46861267089844
2019-10-24,43.94045639038086
2020-03-30,44.4221305847168
2020-06-17,44.48111343383789
2020-01-14,44.46145248413086
2020-04-02,44.43196487426758
2019-01-02,44.677711486816406
2019-08-14,43.80283737182617
2018-10-30,43.851985931396484
2019-06-11,44.048587799072266
2019-05-10,43.46861267089844
2019-04-08,43.60623550415039
2018-08-27,44.038753509521484
2018-07-26,42.61339569091797
2018-09-28,42.80999755859375
2019-03-07,43.66521453857422
2019-10-30,43.39980697631836
2020-01-17,42.88863754272461
2020-06-23,42.90829849243164
2020-04-08,42.77067565917969
2020-06-26,43.29167175292969
2019-03-22,43.488277435302734
2019-01-17,43.14421844482422
2019-08-29,42.043251037597656
2018-11-14,41.35514450073242
2019-06-26,42.279170989990234
2018-09-11,42.8394889831543
2018-07-09,42.79033660888672
2018-08-10,42.65271759033203
2019-04-23,42.45611572265625
2019-09-30,42.898468017578125
2020-01-23,43.340824127197266
2019-11-08,43.350650787353516
