Dates,CCI
2019-12-20,157.14999389648438
2020-05-26,157.58999633789062
2019-04-30,159.19000244140625
2019-12-23,156.32000732421875
2020-03-11,157.32000732421875
2020-05-29,155.8300018310547
2019-12-26,159.97999572753906
2020-06-01,154.16000366210938
2019-05-02,152.75999450683594
2019-02-27,151.42999267578125
2018-11-23,153.25
2019-08-06,155.6999969482422
2018-07-18,153.52000427246094
2018-09-20,152.1999969482422
2018-10-22,151.5500030517578
2019-07-05,160.82000732421875
2019-06-03,159.83999633789062
2019-10-09,165.02999877929688
2019-10-11,168.1199951171875
2020-03-17,171.74000549316406
2020-06-04,174.9199981689453
2019-10-14,176.55999755859375
2020-03-20,173.52999877929688
2018-11-06,169.74000549316406
2019-06-18,168.0
2019-05-17,172.36000061035156
2019-04-15,174.22000122070312
2019-03-14,170.0500030517578
2019-01-09,164.7899932861328
2018-08-02,161.33999633789062
2018-10-05,172.0
2019-08-21,171.36000061035156
2019-10-17,168.1699981689453
2020-03-23,167.36000061035156
2020-06-10,169.47999572753906
2019-02-25,167.1199951171875
2020-01-07,164.0
2020-03-26,162.24000549316406
2019-10-23,164.41000366210938
