Dates,ZBRA
2020-06-05,203500.0
2019-07-15,234400.0
2018-12-03,240700.0
2019-06-13,301000.0
2019-01-04,299300.0
2018-08-29,174300.0
2019-02-05,156500.0
2018-11-01,170400.0
2019-08-16,299000.0
2019-04-10,566800.0
2019-09-17,470200.0
2019-10-15,452800.0
2020-01-02,292100.0
2020-06-08,539200.0
2019-10-18,345800.0
2020-03-24,445900.0
2020-06-11,300000.0
2020-01-08,243400.0
2019-04-25,262700.0
2019-07-30,335500.0
2019-02-20,426400.0
2018-07-11,553900.0
2018-09-13,868400.0
2018-10-15,1181400.0
2019-06-28,717000.0
2018-12-18,479700.0
2018-11-16,453500.0
2019-10-02,832200.0
2020-03-27,604300.0
2020-01-10,410000.0
2019-10-24,377400.0
2020-03-30,223700.0
2020-06-17,424700.0
2020-01-14,303900.0
2020-04-02,231400.0
2019-01-02,580200.0
2019-08-14,546900.0
2018-10-30,414300.0
2019-06-11,388800.0
2019-05-10,838500.0
2019-04-08,521700.0
2018-08-27,474900.0
2018-07-26,416900.0
2018-09-28,472600.0
2019-03-07,394200.0
2019-10-30,212500.0
2020-01-17,305600.0
2020-06-23,288500.0
2020-04-08,368500.0
2020-06-26,355900.0
2019-03-22,461400.0
2019-01-17,371700.0
2019-08-29,296700.0
2018-11-14,374500.0
2019-06-26,373100.0
2018-09-11,322600.0
2018-07-09,1049700.0
2018-08-10,601800.0
2019-04-23,733900.0
2019-09-30,794800.0
2020-01-23,11578700.0
2019-11-08,812400.0
2020-04-14,164400.0
2019-11-11,255200.0
2020-01-29,214100.0
2020-04-17,339100.0
2018-07-24,363500.0
2018-09-26,387800.0
2019-05-08,305300.0
2019-03-05,322600.0
2019-02-01,236300.0
2018-12-31,689600.0
2018-11-29,766200.0
2019-08-12,623600.0
2019-07-11,479100.0
2019-09-13,416600.0
2019-11-14,331200.0
2020-04-20,434000.0
2020-02-04,399100.0
2020-04-23,561400.0
2018-12-14,414400.0
2019-08-27,358800.0
2018-08-08,223700.0
2018-10-11,425700.0
2018-11-12,340800.0
2019-07-26,319500.0
2019-06-24,246900.0
2019-05-23,335900.0
2019-03-20,262400.0
2019-01-15,251100.0
2019-11-20,244200.0
2020-02-07,407500.0
2020-02-10,385700.0
2020-04-29,216200.0
2019-11-26,219400.0
2020-02-13,377900.0
2019-01-30,1783600.0
2018-08-23,921800.0
2018-09-24,521600.0
2018-11-27,423400.0
2018-10-26,443100.0
2019-07-09,500900.0
2019-06-07,572700.0
2019-05-06,544800.0
2019-04-04,549500.0
2019-09-11,1021300.0
2019-11-29,946200.0
2020-05-05,603000.0
2019-12-02,949700.0
2020-02-19,559000.0
2020-05-08,564900.0
2019-05-21,647300.0
2019-03-18,770300.0
2018-09-07,909900.0
2018-08-06,516900.0
2018-10-09,1028500.0
2019-02-14,659300.0
2018-12-12,800300.0
2019-07-24,564400.0
2019-09-26,803200.0
2019-10-28,1202000.0
2019-12-05,1701600.0
2020-05-11,1176100.0
2019-07-03,813400.0
2020-02-25,505200.0
2020-05-14,505500.0
2020-02-28,390700.0
2019-08-08,323900.0
2019-06-05,521000.0
2018-07-20,606000.0
2018-08-21,599600.0
2018-10-24,598600.0
2019-04-02,306400.0
2019-03-01,413600.0
2019-01-28,252300.0
2018-12-27,529300.0
2019-09-09,331700.0
2020-03-02,358800.0
2020-05-20,389100.0
2019-12-17,387500.0
2020-03-05,382300.0
2019-02-12,381500.0
2019-01-11,379200.0
2018-12-10,498800.0
2019-08-23,436900.0
2018-11-08,418500.0
2019-07-22,560400.0
2019-06-20,915600.0
2018-09-05,640800.0
2019-04-17,578500.0
2019-09-24,349600.0
2019-12-20,346900.0
2020-05-26,349700.0
2019-04-30,219100.0
2019-12-23,276200.0
2020-03-11,270500.0
2020-05-29,339200.0
2019-12-26,299100.0
2020-06-01,445800.0
2019-05-02,457000.0
2019-02-27,383100.0
2018-11-23,571100.0
2019-08-06,489900.0
2018-07-18,369900.0
2018-09-20,286900.0
2018-10-22,301600.0
2019-07-05,558900.0
2019-06-03,501900.0
2019-10-09,334000.0
2019-10-11,490700.0
2020-03-17,294100.0
2020-06-04,266000.0
2019-10-14,334400.0
2020-03-20,345100.0
2018-11-06,438200.0
2019-06-18,284200.0
2019-05-17,316000.0
2019-04-15,232400.0
2019-03-14,349300.0
2019-01-09,305200.0
2018-08-02,307100.0
2018-10-05,244500.0
2019-08-21,236100.0
2019-10-17,188300.0
2020-03-23,987000.0
2020-06-10,307100.0
2019-02-25,292900.0
2020-01-07,370000.0
2020-03-26,232100.0
2019-10-23,813800.0
