Dates,RF
2018-10-22,6788200.0
2019-07-05,13327600.0
2019-06-03,15820400.0
2019-10-09,12227400.0
2019-10-11,19646300.0
2020-03-17,8730400.0
2020-06-04,10844500.0
2019-10-14,11358900.0
2020-03-20,14367300.0
2018-11-06,14606200.0
2019-06-18,8903500.0
2019-05-17,10772500.0
2019-04-15,11739000.0
2019-03-14,11101700.0
2019-01-09,11041600.0
2018-08-02,12572500.0
2018-10-05,11065700.0
2019-08-21,9980800.0
2019-10-17,9730400.0
2020-03-23,51155600.0
2020-06-10,7723000.0
2019-02-25,9601000.0
2020-01-07,9605400.0
2020-03-26,10895300.0
2019-10-23,14589700.0
