Dates,RF
2018-08-28,14.953644752502441
2019-01-03,14.953644752502441
2019-08-15,15.298160552978516
2018-10-31,15.3819580078125
2019-09-16,15.800954818725586
2020-02-18,16.024423599243164
2020-05-07,16.07097816467285
2018-08-17,16.126846313476562
2019-12-04,16.424802780151367
2020-02-21,16.313072204589844
2018-12-17,16.45273780822754
2019-08-30,16.052358627319336
2018-11-15,15.763712882995605
2019-07-29,15.717157363891602
2019-06-27,15.242292404174805
2019-04-24,15.316780090332031
2018-07-10,15.084002494812012
2018-09-12,15.01882553100586
2019-02-19,14.739492416381836
2019-01-18,14.730179786682129
2020-02-24,14.860533714294434
2020-05-13,15.214357376098633
2019-12-10,15.139867782592773
2020-02-27,15.298160552978516
2019-12-13,15.09331226348877
2020-05-19,15.316780090332031
2019-03-06,15.484379768371582
2018-11-30,14.516024589538574
2019-08-13,14.375090599060059
2019-07-12,13.999272346496582
2019-06-10,13.520101547241211
2019-05-09,13.304006576538086
2018-07-25,13.397961616516113
2018-09-27,12.946976661682129
2018-10-29,12.655717849731445
2019-10-16,12.580554962158203
2019-12-16,12.430227279663086
2020-03-04,12.063801765441895
2020-05-22,12.129570960998535
2019-10-01,12.082592964172363
2019-12-19,11.810124397277832
2018-09-10,12.580554962158203
2019-05-24,12.552366256713867
2018-08-09,12.542973518371582
2019-04-22,12.571158409118652
2019-03-21,12.8436279296875
2019-01-16,12.824835777282715
2019-08-28,13.294610023498535
2018-11-13,13.520101547241211
2018-10-12,13.66103458404541
2019-06-25,13.811363220214844
2020-03-10,13.820757865905762
2020-05-28,13.88652515411377
2019-10-07,14.055644989013672
2020-03-13,14.196578025817871
2019-10-10,14.46904468536377
2020-03-16,14.666352272033691
2020-06-03,14.750910758972168
2018-11-28,14.647560119628906
2018-09-25,14.4408597946167
2018-07-23,14.572397232055664
2018-08-24,14.703932762145996
2019-07-10,14.732120513916016
2019-05-07,14.591187477111816
2019-04-05,14.497233390808105
2019-03-04,14.252949714660645
2019-01-31,14.403278350830078
2019-09-12,14.534815788269043
2019-12-31,14.478442192077637
2020-03-19,14.478442192077637
2020-01-03,14.572397232055664
2020-06-09,14.506628036499023
2019-02-15,14.431464195251465
2019-01-14,14.534815788269043
2018-07-06,14.647560119628906
2018-08-07,14.572397232055664
2018-10-10,15.03277587890625
2018-12-13,15.164312362670898
2019-08-26,15.371013641357422
2019-07-25,15.267662048339844
2019-05-22,15.258267402648926
2019-03-19,15.380411148071289
2020-01-06,15.220685005187988
2020-03-25,15.568317413330078
2020-06-12,15.408594131469727
2019-10-22,15.32403564453125
2020-01-09,15.18310260772705
2020-06-15,15.136125564575195
2019-10-25,14.816679954528809
2020-03-31,14.617608070373535
2020-06-18,14.665006637573242
2019-04-03,14.759801864624023
2018-08-22,14.80720043182373
2018-10-25,14.987313270568848
2019-01-29,14.968353271484375
2018-12-28,14.920955657958984
2018-11-26,15.138988494873047
2019-08-09,14.816679954528809
2019-07-08,14.181543350219727
2019-06-06,13.679122924804688
2019-09-10,12.82595443725586
2020-01-15,12.82595443725586
2020-04-03,13.205141067504883
2019-10-31,13.243060111999512
2020-04-06,13.432652473449707
2020-06-24,13.413692474365234
2018-11-09,13.906635284423828
2019-07-23,14.067789077758789
2019-06-21,14.096227645874023
2019-05-20,14.314258575439453
2019-04-18,14.352178573608398
2018-09-06,14.44697380065918
2018-10-08,14.219463348388672
2019-02-13,14.333218574523926
2018-12-11,14.418535232543945
2019-09-25,14.78824234008789
2020-01-21,14.465932846069336
2020-04-09,14.750322341918945
2019-11-06,14.93991470336914
2020-01-24,14.456453323364258
2020-01-27,14.44697380065918
2020-04-15,14.570209503173828
2018-12-26,14.579689025878906
2019-08-07,14.665006637573242
2019-06-04,14.740842819213867
2018-09-21,14.864078521728516
2018-07-19,14.721882820129395
2018-08-20,14.380617141723633
2018-10-23,14.627086639404297
2019-05-03,14.769280433654785
2019-04-01,14.5891695022583
2019-02-28,14.323737144470215
2019-11-12,14.172063827514648
2020-01-30,14.153105735778809
2019-11-15,14.266860961914062
2020-04-21,13.593805313110352
2019-04-16,13.78339958190918
2019-03-15,13.574847221374512
2019-02-11,13.764440536499023
2019-01-10,13.650684356689453
2019-08-22,13.717041969299316
2018-11-07,13.80235767364502
2018-08-03,13.660162925720215
2018-09-04,13.33785629272461
2019-06-19,13.451610565185547
2019-09-23,13.214619636535645
2019-11-18,13.413692474365234
2020-02-05,13.328375816345215
2020-04-24,13.110343933105469
2019-03-29,13.252538681030273
2019-11-21,13.58432674407959
2020-04-27,13.432652473449707
2020-02-11,13.44222640991211
2020-04-30,13.28903865814209
2019-05-01,13.394354820251465
2019-02-26,13.85391902923584
2019-01-25,13.633710861206055
2018-12-24,13.873066902160645
2019-09-06,13.9688081741333
2018-07-17,13.729453086853027
2018-09-19,14.23688793182373
2019-08-05,13.949660301208496
2019-10-08,13.978384017944336
2019-12-11,14.007105827331543
2019-11-27,13.89221477508545
2020-02-14,13.777323722839355
2020-05-06,13.815621376037598
2019-01-08,13.959234237670898
2018-12-07,14.303906440734863
2019-08-20,14.42837142944336
2018-11-05,14.227313041687012
2019-07-19,14.42837142944336
2018-10-04,14.56241226196289
2019-06-17,14.485817909240723
2019-05-16,14.658154487609863
2018-08-01,14.418798446655273
2019-03-13,14.581559181213379
2019-12-03,14.571986198425293
2020-02-20,14.342204093933105
2019-12-06,14.303906440734863
2020-05-12,14.083700180053711
2019-12-09,14.160293579101562
2020-02-26,14.485817909240723
2020-05-15,14.476243019104004
2019-03-28,14.907083511352539
2018-09-17,15.270906448364258
2018-08-16,15.050698280334473
2018-10-19,15.357073783874512
2019-04-29,15.136865615844727
2019-01-23,15.366645812988281
2019-09-04,15.251757621765137
2018-11-20,14.581559181213379
2019-07-02,14.677302360534668
2019-05-31,13.940086364746094
2019-12-12,14.12199592590332
2020-05-18,13.863492012023926
2019-09-27,14.093274116516113
2020-03-03,14.045403480529785
2020-05-21,13.691156387329102
2019-05-14,13.662433624267578
2018-08-31,13.078405380249023
2018-07-30,12.992237091064453
2018-10-02,13.490096092224121
2019-04-12,13.652859687805176
2019-03-11,13.403929710388184
2019-02-07,13.52839469909668
2019-07-17,13.643285751342773
2019-09-19,13.20287036895752
2019-10-21,13.43265151977539
2019-12-18,13.26031494140625
2020-03-06,13.499671936035156
2019-10-03,13.85391902923584
2020-03-09,13.997530937194824
2020-05-27,13.652859687805176
2019-12-24,13.825196266174316
2020-03-12,14.333297729492188
2018-12-20,14.372010231018066
2019-08-01,14.952696800231934
2018-08-14,15.494671821594238
2018-07-13,15.717267990112305
2018-10-17,15.726946830749512
2019-05-29,15.82372760772705
2019-03-26,15.910831451416016
2019-02-22,15.736624717712402
2019-10-04,15.82372760772705
2019-11-05,15.6011323928833
2019-12-27,15.446281433105469
2020-06-02,15.533382415771484
2019-12-30,15.339822769165039
2020-03-18,15.523706436157227
2020-06-05,15.378534317016602
2019-07-15,15.446281433105469
2018-12-03,15.310787200927734
2019-06-13,14.933341026306152
