Dates,FLS
2019-08-13,43.470001220703125
2019-07-12,45.119998931884766
2019-06-10,43.720001220703125
2019-05-09,44.09000015258789
2018-07-25,44.86000061035156
2018-09-27,42.79999923706055
2018-10-29,41.029998779296875
2019-10-16,40.36000061035156
2019-12-16,39.380001068115234
2020-03-04,38.4900016784668
2020-05-22,37.36000061035156
2019-10-01,37.27000045776367
2019-12-19,35.880001068115234
2018-09-10,35.900001525878906
2019-05-24,36.27000045776367
2018-08-09,37.290000915527344
2019-04-22,37.40999984741211
2019-03-21,36.560001373291016
2019-01-16,36.150001525878906
2019-08-28,36.9900016784668
2018-11-13,37.810001373291016
2018-10-12,39.279998779296875
2019-06-25,40.119998931884766
2020-03-10,40.0099983215332
2020-05-28,40.54999923706055
2019-10-07,40.84000015258789
2020-03-13,40.88999938964844
2019-10-10,41.31999969482422
2020-03-16,41.16999816894531
2020-06-03,42.369998931884766
2018-11-28,41.41999816894531
2018-09-25,41.0099983215332
2018-07-23,41.209999084472656
2018-08-24,42.08000183105469
2019-07-10,41.380001068115234
2019-05-07,42.189998626708984
2019-04-05,42.68000030517578
2019-03-04,42.7599983215332
2019-01-31,43.43000030517578
2019-09-12,43.650001525878906
2019-12-31,43.880001068115234
2020-03-19,44.459999084472656
2020-01-03,43.220001220703125
2020-06-09,42.93000030517578
2019-02-15,43.650001525878906
2019-01-14,44.880001068115234
2018-07-06,46.0099983215332
2018-08-07,46.04999923706055
2018-10-10,46.77000045776367
2018-12-13,47.130001068115234
2019-08-26,47.290000915527344
2019-07-25,44.08000183105469
2019-05-22,46.130001068115234
2019-03-19,46.310001373291016
2020-01-06,45.630001068115234
2020-03-25,45.060001373291016
2020-06-12,44.36000061035156
2019-10-22,44.31999969482422
2020-01-09,43.79999923706055
2020-06-15,43.599998474121094
2019-10-25,43.06999969482422
2020-03-31,42.31999969482422
2020-06-18,42.15999984741211
2019-04-03,42.849998474121094
2018-08-22,44.13999938964844
2018-10-25,44.4900016784668
2019-01-29,44.38999938964844
2018-12-28,44.220001220703125
2018-11-26,44.31999969482422
2019-08-09,44.97999954223633
2019-07-08,44.560001373291016
2019-06-06,44.810001373291016
2019-09-10,43.41999816894531
2020-01-15,43.18000030517578
2020-04-03,43.880001068115234
2019-10-31,43.90999984741211
2020-04-06,44.060001373291016
2020-06-24,45.0
2018-11-09,45.70000076293945
2019-07-23,46.27000045776367
2019-06-21,46.75
2019-05-20,46.900001525878906
2019-04-18,47.720001220703125
2018-09-06,47.560001373291016
2018-10-08,47.20000076293945
2019-02-13,47.349998474121094
2018-12-11,47.720001220703125
2019-09-25,48.52000045776367
2020-01-21,48.380001068115234
2020-04-09,48.279998779296875
2019-11-06,48.81999969482422
2020-01-24,48.709999084472656
2020-01-27,49.09000015258789
2020-04-15,49.630001068115234
2018-12-26,49.61000061035156
2019-08-07,48.349998474121094
2019-06-04,48.2400016784668
2018-09-21,49.290000915527344
2018-07-19,48.93000030517578
2018-08-20,48.599998474121094
2018-10-23,46.400001525878906
2019-05-03,50.869998931884766
2019-04-01,49.880001068115234
2019-02-28,49.08000183105469
2019-11-12,48.95000076293945
2020-01-30,48.099998474121094
2019-11-15,48.040000915527344
2020-04-21,47.45000076293945
2019-04-16,48.25
2019-03-15,48.45000076293945
2019-02-11,50.15999984741211
2019-01-10,49.369998931884766
2019-08-22,48.849998474121094
2018-11-07,49.7599983215332
2018-08-03,49.81999969482422
2018-09-04,48.060001373291016
2019-06-19,48.279998779296875
2019-09-23,47.75
2019-11-18,47.04999923706055
2020-02-05,47.31999969482422
2020-04-24,46.279998779296875
2019-03-29,46.5
2019-11-21,47.54999923706055
2020-04-27,47.81999969482422
2020-02-11,48.040000915527344
2020-04-30,48.84000015258789
2019-05-01,49.36000061035156
2019-02-26,49.25
2019-01-25,48.619998931884766
2018-12-24,48.83000183105469
2019-09-06,48.41999816894531
2018-07-17,48.25
2018-09-19,48.58000183105469
2019-08-05,49.52000045776367
2019-10-08,50.4900016784668
2019-12-11,50.400001525878906
2019-11-27,50.43000030517578
2020-02-14,50.43000030517578
2020-05-06,50.65999984741211
2019-01-08,51.09000015258789
2018-12-07,51.56999969482422
2019-08-20,52.810001373291016
2018-11-05,52.529998779296875
2019-07-19,52.56999969482422
2018-10-04,52.290000915527344
2019-06-17,52.5099983215332
2019-05-16,51.90999984741211
2018-08-01,51.31999969482422
2019-03-13,50.83000183105469
2019-12-03,51.63999938964844
2020-02-20,52.65999984741211
2019-12-06,52.599998474121094
2020-05-12,51.70000076293945
2019-12-09,51.31999969482422
