Dates,DLTR
2018-07-24,93.66999816894531
2018-09-26,94.69000244140625
2019-05-08,93.01000213623047
2019-03-05,91.58999633789062
2019-02-01,92.61000061035156
2018-12-31,91.94999694824219
2018-11-29,89.2699966430664
2019-08-12,91.36000061035156
2019-07-11,90.76000213623047
2019-09-13,89.83000183105469
2019-11-14,90.04000091552734
2020-04-20,91.16999816894531
2020-02-04,91.0
2020-04-23,91.23999786376953
2018-12-14,89.95999908447266
2019-08-27,89.19999694824219
2018-08-08,88.0
2018-10-11,86.7300033569336
2018-11-12,88.5199966430664
2019-07-26,87.12999725341797
2019-06-24,85.69999694824219
2019-05-23,87.41999816894531
2019-03-20,87.55999755859375
2019-01-15,88.25
2019-11-20,88.83999633789062
2020-02-07,88.9800033569336
2020-02-10,87.88999938964844
2020-04-29,87.18000030517578
2019-11-26,87.30000305175781
2020-02-13,88.48999786376953
2019-01-30,89.20999908447266
2018-08-23,88.88999938964844
2018-09-24,88.9000015258789
2018-11-27,91.11000061035156
2018-10-26,91.91000366210938
2019-07-09,92.70999908447266
2019-06-07,92.33999633789062
2019-05-06,91.62000274658203
2019-04-04,89.44999694824219
2019-09-11,86.76000213623047
2019-11-29,83.37000274658203
2020-05-05,83.2300033569336
2019-12-02,84.0999984741211
2020-02-19,81.22000122070312
2020-05-08,78.62999725341797
2019-05-21,76.0
2019-03-18,75.44000244140625
2018-09-07,85.08000183105469
2018-08-06,86.31999969482422
2018-10-09,80.12000274658203
2019-02-14,73.2300033569336
2018-12-12,68.56999969482422
2019-07-24,68.55000305175781
2019-09-26,73.08999633789062
2019-10-28,65.62999725341797
2019-12-05,72.08000183105469
2020-05-11,76.70999908447266
2019-07-03,82.19999694824219
2020-02-25,79.83000183105469
2020-05-14,76.7699966430664
2020-02-28,76.58000183105469
2019-08-08,77.0
2019-06-05,76.87000274658203
2018-07-20,71.33000183105469
2018-08-21,72.12000274658203
2018-10-24,70.5199966430664
2019-04-02,72.4000015258789
2019-03-01,78.04000091552734
2019-01-28,76.62000274658203
2018-12-27,79.63999938964844
2019-09-09,77.22000122070312
2020-03-02,77.12999725341797
2020-05-20,78.5199966430664
2019-12-17,77.68000030517578
2020-03-05,81.81999969482422
2019-02-12,80.23999786376953
2019-01-11,77.9800033569336
2018-12-10,79.05000305175781
2019-08-23,76.22000122070312
2018-11-08,75.6500015258789
2019-07-22,75.29000091552734
