Dates,BBD
2019-11-19,5.328495979309082
2020-02-06,5.320862770080566
2019-11-22,5.3972015380859375
2019-03-25,5.5575151443481445
2019-02-21,5.404835224151611
2018-12-19,5.374300003051758
2018-07-12,5.783010005950928
2018-09-14,6.111502170562744
2018-08-13,6.111502170562744
2018-10-16,6.111502170562744
2019-07-31,6.646258354187012
2019-05-28,6.806685447692871
2019-04-26,6.4552741050720215
2020-04-28,6.401798725128174
2019-11-25,6.5698652267456055
2020-02-12,6.52402925491333
2020-05-01,6.844883918762207
2020-05-04,6.928915977478027
2019-06-12,6.707374572753906
2019-04-09,6.71501350402832
2019-03-08,6.844883918762207
2019-02-04,6.867800712585449
2018-07-27,6.615702152252197
2018-08-28,6.890718936920166
2019-01-03,7.06642484664917
2019-08-15,6.829604625701904
2018-10-31,7.181015491485596
2019-09-16,7.005309581756592
2020-02-18,7.456034183502197
2020-05-07,7.532425403594971
2018-08-17,7.559180736541748
2019-12-04,7.452175617218018
2020-02-21,7.345170021057129
2018-12-17,7.184662818908691
2019-08-30,7.253450870513916
2018-11-15,7.199947357177734
2019-07-29,7.001224040985107
2019-06-27,7.12351655960083
2019-04-24,7.337526798248291
2018-07-10,7.482749938964844
2018-09-12,7.498035430908203
2019-02-19,7.15408992767334
2019-01-18,7.345170021057129
2020-02-24,7.352813243865967
2020-05-13,6.9935808181762695
2019-12-10,7.368101596832275
2020-02-27,7.574469089508057
2019-12-13,7.6432576179504395
2020-05-19,7.612685203552246
2019-03-06,7.482749938964844
2018-11-30,7.402455806732178
2019-08-13,7.494223117828369
2019-07-12,7.387161731719971
2019-06-10,7.211277484893799
2019-05-09,7.303043365478516
2018-07-25,7.417750835418701
2018-09-27,7.593636989593506
2018-10-29,7.455986499786377
2019-10-16,7.2953972816467285
2019-12-16,7.4789276123046875
2020-03-04,7.325984954833984
2020-05-22,7.532458782196045
2019-10-01,7.325984954833984
2019-12-19,7.203629493713379
2018-09-10,7.3753275871276855
2019-05-24,7.562637805938721
2018-08-09,7.671901702880859
2019-04-22,7.718728542327881
2019-03-21,8.280657768249512
2019-01-16,8.386073112487793
2019-08-28,8.495392799377441
2018-11-13,8.471963882446289
2018-10-12,8.612513542175293
2019-06-25,8.838956832885742
2020-03-10,8.776484489440918
2020-05-28,8.714020729064941
2019-10-07,8.807718276977539
2020-03-13,8.76867961883545
2019-10-10,8.745254516601562
2020-03-16,8.792101860046387
2020-06-03,8.86237907409668
2018-11-28,8.542240142822266
2018-09-25,8.831145286560059
2018-07-23,8.885802268981934
2018-08-24,8.987308502197266
2019-07-10,8.917037010192871
2019-05-07,9.010732650756836
2019-04-05,9.041967391967773
2019-03-04,9.69786262512207
2019-01-31,9.541696548461914
2019-09-12,9.678398132324219
2019-12-31,9.686210632324219
2020-03-19,9.209712982177734
2020-01-03,9.264389991760254
2020-06-09,9.28782844543457
