Dates,MCK
2018-08-22,115.61000061035156
2018-10-25,117.47000122070312
2019-01-29,117.72000122070312
2018-12-28,119.26000213623047
2018-11-26,121.37000274658203
2019-08-09,122.5199966430664
2019-07-08,120.6500015258789
2019-06-06,122.2300033569336
2019-09-10,118.54000091552734
2020-01-15,115.6500015258789
2020-04-03,115.8499984741211
2019-10-31,115.70999908447266
2020-04-06,115.29000091552734
2020-06-24,117.05999755859375
2018-11-09,118.83999633789062
2019-07-23,114.79000091552734
2019-06-21,115.08000183105469
2019-05-20,115.01000213623047
2019-04-18,116.69999694824219
2018-09-06,116.81999969482422
2018-10-08,115.80000305175781
2019-02-13,115.2699966430664
2018-12-11,114.19000244140625
2019-09-25,116.05000305175781
2020-01-21,117.20999908447266
2020-04-09,116.61000061035156
2019-11-06,112.48999786376953
2020-01-24,114.0999984741211
2020-01-27,112.47000122070312
2020-04-15,115.19999694824219
2018-12-26,115.33000183105469
2019-08-07,115.20999908447266
2019-06-04,117.58000183105469
2018-09-21,118.37000274658203
2018-07-19,119.25
2018-08-20,119.01000213623047
2018-10-23,122.62999725341797
2019-05-03,123.4800033569336
2019-04-01,124.91999816894531
2019-02-28,125.68000030517578
2019-11-12,131.6999969482422
2020-01-30,134.60000610351562
2019-11-15,130.86000061035156
2020-04-21,126.44999694824219
2019-04-16,125.61000061035156
2019-03-15,126.30999755859375
2019-02-11,125.58000183105469
2019-01-10,125.0
2019-08-22,126.4000015258789
2018-11-07,128.3300018310547
2018-08-03,129.6300048828125
2018-09-04,129.08999633789062
2019-06-19,129.9199981689453
2019-09-23,130.10000610351562
2019-11-18,125.38999938964844
2020-02-05,123.8499984741211
2020-04-24,122.13999938964844
2019-03-29,124.55999755859375
2019-11-21,127.55999755859375
2020-04-27,127.37000274658203
2020-02-11,128.14999389648438
2020-04-30,130.27999877929688
2019-05-01,132.75
2019-02-26,132.60000610351562
2019-01-25,134.02000427246094
2018-12-24,134.83999633789062
2019-09-06,133.1300048828125
2018-07-17,133.8300018310547
2018-09-19,133.47000122070312
2019-08-05,134.92999267578125
2019-10-08,134.4499969482422
2019-12-11,133.05999755859375
2019-11-27,131.1300048828125
2020-02-14,131.8000030517578
2020-05-06,130.19000244140625
2019-01-08,133.9199981689453
2018-12-07,134.38999938964844
2019-08-20,134.24000549316406
2018-11-05,135.86000061035156
2019-07-19,140.74000549316406
2018-10-04,140.02999877929688
2019-06-17,140.47999572753906
2019-05-16,139.24000549316406
2018-08-01,141.00999450683594
2019-03-13,143.82000732421875
2019-12-03,144.60000610351562
2020-02-20,142.72000122070312
2019-12-06,142.9600067138672
2020-05-12,138.6300048828125
2019-12-09,139.67999267578125
2020-02-26,138.89999389648438
2020-05-15,138.75999450683594
2019-03-28,138.11000061035156
2018-09-17,140.3699951171875
2018-08-16,138.1199951171875
2018-10-19,138.9499969482422
2019-04-29,141.27999877929688
2019-01-23,142.52000427246094
2019-09-04,138.9499969482422
2018-11-20,148.25
2019-07-02,148.1300048828125
2019-05-31,144.66000366210938
2019-12-12,139.0
2020-05-18,139.2100067138672
2019-09-27,140.5
2020-03-03,140.19000244140625
2020-05-21,142.69000244140625
2019-05-14,146.30999755859375
2018-08-31,141.86000061035156
2018-07-30,141.27000427246094
2018-10-02,145.2899932861328
2019-04-12,145.9600067138672
2019-03-11,144.77999877929688
2019-02-07,146.49000549316406
2019-07-17,147.75999450683594
