Dates,MCK
2020-03-19,131.33999633789062
2020-01-03,132.80999755859375
2020-06-09,130.14999389648438
2019-02-15,128.74000549316406
2019-01-14,131.66000366210938
2018-07-06,134.3000030517578
2018-08-07,133.55999755859375
2018-10-10,135.32000732421875
2018-12-13,135.3699951171875
2019-08-26,135.19000244140625
2019-07-25,134.08999633789062
2019-05-22,131.9499969482422
2019-03-19,132.41000366210938
2020-01-06,130.08999633789062
2020-03-25,126.9800033569336
2020-06-12,127.27999877929688
2019-10-22,127.61000061035156
2020-01-09,124.52999877929688
2020-06-15,120.4000015258789
2019-10-25,116.97000122070312
2020-03-31,113.33999633789062
2020-06-18,112.12999725341797
2019-04-03,112.29000091552734
2018-08-22,113.98999786376953
2018-10-25,116.27999877929688
2019-01-29,117.45999908447266
2018-12-28,118.04000091552734
2018-11-26,119.80999755859375
2019-08-09,121.56999969482422
2019-07-08,122.69000244140625
2019-06-06,120.31999969482422
2019-09-10,121.80999755859375
2020-01-15,118.76000213623047
2020-04-03,115.8499984741211
2019-10-31,115.41999816894531
2020-04-06,116.12000274658203
2020-06-24,116.0199966430664
2018-11-09,118.0
2019-07-23,116.73999786376953
2019-06-21,115.80000305175781
2019-05-20,115.3499984741211
2019-04-18,115.51000213623047
2018-09-06,116.70999908447266
2018-10-08,116.27999877929688
2019-02-13,116.06999969482422
2018-12-11,115.66999816894531
2019-09-25,114.87000274658203
2020-01-21,116.48999786376953
2020-04-09,118.01000213623047
2019-11-06,117.16999816894531
2020-01-24,112.55999755859375
2020-01-27,113.77999877929688
2020-04-15,112.5199966430664
2018-12-26,115.2300033569336
2019-08-07,115.08000183105469
2019-06-04,115.77999877929688
2018-09-21,117.69999694824219
2018-07-19,119.04000091552734
2018-08-20,119.66000366210938
2018-10-23,119.08000183105469
2019-05-03,122.94000244140625
2019-04-01,122.23999786376953
2019-02-28,123.66999816894531
2019-11-12,127.0
2020-01-30,131.47000122070312
2019-11-15,133.58999633789062
2020-04-21,129.38999938964844
2019-04-16,126.61000061035156
2019-03-15,125.56999969482422
2019-02-11,127.0
2019-01-10,124.38999938964844
2019-08-22,124.29000091552734
2018-11-07,126.55999755859375
2018-08-03,128.25
2018-09-04,129.1199951171875
2019-06-19,129.1699981689453
2019-09-23,129.47999572753906
2019-11-18,129.6199951171875
2020-02-05,125.48999786376953
2020-04-24,122.37999725341797
2019-03-29,122.27999877929688
2019-11-21,126.13999938964844
2020-04-27,128.41000366210938
2020-02-11,127.04000091552734
2020-04-30,128.89999389648438
2019-05-01,131.13999938964844
2019-02-26,133.38999938964844
2019-01-25,132.2100067138672
2018-12-24,134.47000122070312
2019-09-06,135.0
2018-07-17,133.83999633789062
2018-09-19,135.1699981689453
2019-08-05,133.77000427246094
2019-10-08,135.75
2019-12-11,134.4499969482422
2019-11-27,133.27000427246094
2020-02-14,131.80999755859375
2020-05-06,131.75
2019-01-08,131.02999877929688
2018-12-07,133.83999633789062
2019-08-20,135.0
2018-11-05,133.9499969482422
2019-07-19,136.99000549316406
2018-10-04,140.60000610351562
2019-06-17,139.52999877929688
2019-05-16,139.57000732421875
2018-08-01,139.86000061035156
2019-03-13,145.91000366210938
2019-12-03,144.02999877929688
2020-02-20,144.85000610351562
2019-12-06,142.77000427246094
2020-05-12,141.8300018310547
2019-12-09,137.83999633789062
2020-02-26,139.92999267578125
2020-05-15,139.42999267578125
2019-03-28,138.8300018310547
2018-09-17,138.5
2018-08-16,140.3699951171875
2018-10-19,138.74000549316406
2019-04-29,138.94000244140625
2019-01-23,140.0
2019-09-04,142.0800018310547
2018-11-20,144.72999572753906
2019-07-02,148.0
