Dates,ORLY
2018-08-03,368.6199951171875
2018-09-04,366.1400146484375
2019-06-19,366.8500061035156
2019-09-23,369.29998779296875
2019-11-18,367.1300048828125
2020-02-05,372.30999755859375
2020-04-24,371.3699951171875
2019-03-29,374.2200012207031
2019-11-21,374.8999938964844
2020-04-27,379.8900146484375
2020-02-11,381.04998779296875
2020-04-30,382.260009765625
2019-05-01,385.0299987792969
2019-02-26,381.0
2019-01-25,384.7099914550781
2018-12-24,387.57000732421875
2019-09-06,387.9599914550781
2018-07-17,383.8500061035156
2018-09-19,385.3299865722656
2019-08-05,378.989990234375
2019-10-08,375.8699951171875
2019-12-11,376.2699890136719
2019-11-27,375.489990234375
2020-02-14,374.4599914550781
2020-05-06,368.19000244140625
2019-01-08,367.57000732421875
2018-12-07,369.32000732421875
2019-08-20,374.3399963378906
2018-11-05,383.0899963378906
2019-07-19,386.2200012207031
2018-10-04,386.0400085449219
2019-06-17,386.2699890136719
2019-05-16,385.2099914550781
2018-08-01,389.20001220703125
2019-03-13,393.4700012207031
2019-12-03,401.8299865722656
2020-02-20,403.2300109863281
2019-12-06,405.54998779296875
2020-05-12,399.6400146484375
2019-12-09,403.19000244140625
2020-02-26,396.82000732421875
2020-05-15,394.7799987792969
2019-03-28,392.3900146484375
2018-09-17,396.5
2018-08-16,376.0
2018-10-19,383.7900085449219
2019-04-29,389.82000732421875
2019-01-23,383.3500061035156
2019-09-04,380.760009765625
2018-11-20,374.79998779296875
2019-07-02,369.92999267578125
2019-05-31,363.6199951171875
2019-12-12,373.55999755859375
2020-05-18,375.8399963378906
2019-09-27,381.5899963378906
2020-03-03,378.30999755859375
2020-05-21,370.8399963378906
2019-05-14,373.5400085449219
2018-08-31,369.42999267578125
2018-07-30,375.42999267578125
2018-10-02,381.6400146484375
2019-04-12,385.7699890136719
2019-03-11,383.239990234375
2019-02-07,384.0
2019-07-17,382.17999267578125
2019-09-19,377.3399963378906
2019-10-21,378.6499938964844
2019-12-18,376.9200134277344
2020-03-06,383.7200012207031
2019-10-03,385.44000244140625
2020-03-09,383.760009765625
2020-05-27,383.8599853515625
2019-12-24,388.6099853515625
2020-03-12,396.5799865722656
2018-12-20,399.7300109863281
2019-08-01,402.6199951171875
2018-08-14,407.67999267578125
2018-07-13,404.7699890136719
2018-10-17,393.8999938964844
2019-05-29,390.8500061035156
2019-03-26,380.44000244140625
2019-02-22,391.57000732421875
2019-10-04,390.489990234375
2019-11-05,389.92999267578125
2019-12-27,398.8599853515625
2020-06-02,397.8800048828125
2019-12-30,394.6700134277344
2020-03-18,394.7799987792969
2020-06-05,396.1600036621094
2019-07-15,394.4800109863281
2018-12-03,398.510009765625
2019-06-13,400.6700134277344
2019-01-04,390.44000244140625
2018-08-29,387.3500061035156
2019-02-05,390.6199951171875
2018-11-01,388.95001220703125
2019-08-16,387.6300048828125
2019-04-10,395.3299865722656
2019-09-17,398.79998779296875
2019-10-15,401.3500061035156
2020-01-02,401.3900146484375
2020-06-08,403.75
2019-10-18,407.75
2020-03-24,407.1700134277344
2020-06-11,403.20001220703125
2020-01-08,402.4700012207031
2019-04-25,400.3999938964844
2019-07-30,400.5299987792969
2019-02-20,437.29998779296875
2018-07-11,438.5400085449219
2018-09-13,442.19000244140625
2018-10-15,434.3500061035156
2019-06-28,436.69000244140625
2018-12-18,435.510009765625
2018-11-16,437.010009765625
2019-10-02,436.489990234375
2020-03-27,433.7200012207031
2020-01-10,440.8299865722656
2019-10-24,440.260009765625
2020-03-30,439.2300109863281
2020-06-17,439.95001220703125
2020-01-14,439.9100036621094
2020-04-02,441.6400146484375
2019-01-02,443.19000244140625
2019-08-14,445.2300109863281
2018-10-30,449.8900146484375
2019-06-11,444.57000732421875
2019-05-10,438.70001220703125
2019-04-08,434.94000244140625
2018-08-27,438.260009765625
2018-07-26,438.0
2018-09-28,442.2799987792969
2019-03-07,445.6600036621094
2019-10-30,442.2799987792969
2020-01-17,446.3599853515625
2020-06-23,438.6400146484375
2020-04-08,442.0899963378906
2020-06-26,441.0400085449219
2019-03-22,445.57000732421875
2019-01-17,439.7300109863281
2019-08-29,441.8999938964844
2018-11-14,444.6499938964844
2019-06-26,441.20001220703125
2018-09-11,441.3500061035156
2018-07-09,440.5199890136719
2018-08-10,443.70001220703125
2019-04-23,440.5400085449219
2019-09-30,442.6499938964844
2020-01-23,441.1600036621094
2019-11-08,437.4100036621094
2020-04-14,439.8299865722656
2019-11-11,439.0899963378906
2020-01-29,437.2099914550781
2020-04-17,437.510009765625
2018-07-24,438.260009765625
2018-09-26,437.5199890136719
2019-05-08,438.75
2019-03-05,434.6600036621094
2019-02-01,428.7699890136719
2018-12-31,431.8999938964844
2018-11-29,437.3699951171875
2019-08-12,436.8500061035156
2019-07-11,435.5
2019-09-13,438.510009765625
2019-11-14,438.1499938964844
2020-04-20,441.07000732421875
2020-02-04,440.67999267578125
2020-04-23,440.6000061035156
2018-12-14,435.7099914550781
2019-08-27,436.04998779296875
2018-08-08,430.7699890136719
2018-10-11,426.80999755859375
2018-11-12,428.05999755859375
2019-07-26,424.1300048828125
2019-06-24,419.8800048828125
2019-05-23,406.1000061035156
2019-03-20,406.2300109863281
2019-01-15,407.5899963378906
2019-11-20,419.2099914550781
2020-02-07,398.1300048828125
2020-02-10,387.69000244140625
2020-04-29,391.30999755859375
2019-11-26,389.760009765625
2020-02-13,392.4700012207031
2019-01-30,392.6000061035156
2018-08-23,390.8900146484375
2018-09-24,395.989990234375
2018-11-27,392.1499938964844
2018-10-26,395.17999267578125
2019-07-09,391.5
2019-06-07,387.7699890136719
2019-05-06,377.3500061035156
2019-04-04,377.69000244140625
2019-09-11,370.4700012207031
2019-11-29,368.7200012207031
2020-05-05,378.3900146484375
2019-12-02,364.1700134277344
2020-02-19,377.20001220703125
2020-05-08,361.3299865722656
2019-05-21,368.0799865722656
2019-03-18,373.6300048828125
2018-09-07,393.5199890136719
2018-08-06,374.3500061035156
2018-10-09,330.2900085449219
2019-02-14,354.29998779296875
2018-12-12,299.6499938964844
2019-07-24,327.5400085449219
2019-09-26,293.7200012207031
2019-10-28,290.5299987792969
2019-12-05,263.7699890136719
2020-05-11,260.9200134277344
2019-07-03,277.1300048828125
2020-02-25,298.9200134277344
2020-05-14,326.739990234375
2020-02-28,313.42999267578125
2019-08-08,318.19000244140625
2019-06-05,301.04998779296875
2018-07-20,287.25
2018-08-21,303.489990234375
2018-10-24,295.3800048828125
2019-04-02,333.42999267578125
2019-03-01,336.2699890136719
2019-01-28,340.0299987792969
2018-12-27,342.44000244140625
2019-09-09,347.9200134277344
2020-03-02,356.3500061035156
2020-05-20,353.8900146484375
2019-12-17,367.67999267578125
2020-03-05,373.510009765625
2019-02-12,373.6600036621094
2019-01-11,358.29998779296875
2018-12-10,368.260009765625
2019-08-23,374.5299987792969
2018-11-08,384.82000732421875
2019-07-22,389.5
2019-06-20,384.5
2018-09-05,391.0199890136719
2019-04-17,386.3399963378906
2019-09-24,376.3699951171875
2019-12-20,388.2099914550781
2020-05-26,390.3800048828125
2019-04-30,397.760009765625
2019-12-23,386.45001220703125
2020-03-11,402.510009765625
2020-05-29,398.8999938964844
2019-12-26,394.30999755859375
2020-06-01,389.8900146484375
2019-05-02,398.6000061035156
2019-02-27,407.1199951171875
2018-11-23,409.8900146484375
2019-08-06,409.7799987792969
2018-07-18,407.1099853515625
2018-09-20,404.2799987792969
2018-10-22,404.989990234375
2019-07-05,399.1199951171875
2019-06-03,415.2799987792969
2019-10-09,413.1300048828125
2019-10-11,417.239990234375
2020-03-17,417.6000061035156
2020-06-04,419.739990234375
2019-10-14,420.95001220703125
2020-03-20,413.8500061035156
2018-11-06,422.70001220703125
2019-06-18,419.7300109863281
2019-05-17,423.239990234375
2019-04-15,416.4800109863281
2019-03-14,408.9200134277344
2019-01-09,410.3500061035156
2018-08-02,415.7099914550781
2018-10-05,426.25
2019-08-21,426.3299865722656
2019-10-17,425.94000244140625
2020-03-23,422.17999267578125
2020-06-10,430.9100036621094
2019-02-25,427.4800109863281
2020-01-07,413.9200134277344
2020-03-26,417.6000061035156
2019-10-23,415.4700012207031
