Dates,HD
2020-05-21,1257400.0
2019-05-14,1620800.0
2018-08-31,1596900.0
2018-07-30,1087300.0
2018-10-02,1172600.0
2019-04-12,1725300.0
2019-03-11,1586700.0
2019-02-07,864500.0
2019-07-17,568200.0
2019-09-19,990100.0
2019-10-21,872400.0
2019-12-18,1512500.0
2020-03-06,1287800.0
2019-10-03,1001100.0
2020-03-09,901500.0
2020-05-27,1275900.0
2019-12-24,922900.0
2020-03-12,4867100.0
2018-12-20,3316300.0
2019-08-01,3285300.0
2018-08-14,3907000.0
2018-07-13,3589300.0
2018-10-17,3175100.0
2019-05-29,2907200.0
2019-03-26,2829700.0
2019-02-22,2614400.0
2019-10-04,2678900.0
2019-11-05,1685700.0
2019-12-27,2318200.0
2020-06-02,1838400.0
2019-12-30,1834300.0
2020-03-18,1474100.0
2020-06-05,1289100.0
2019-07-15,1983900.0
2018-12-03,1552000.0
2019-06-13,1756500.0
2019-01-04,2021300.0
2018-08-29,1454200.0
2019-02-05,1190000.0
2018-11-01,985200.0
2019-08-16,1123700.0
2019-04-10,851500.0
2019-09-17,877500.0
2019-10-15,1652400.0
2020-01-02,1759800.0
2020-06-08,1341500.0
2019-10-18,1454300.0
2020-03-24,1044200.0
2020-06-11,2161500.0
2020-01-08,1324200.0
2019-04-25,2253800.0
2019-07-30,1789100.0
2019-02-20,1783700.0
2018-07-11,1372500.0
2018-09-13,1359600.0
2018-10-15,1268300.0
2019-06-28,1417500.0
2018-12-18,3468900.0
2018-11-16,2570300.0
2019-10-02,2112600.0
2020-03-27,1788600.0
2020-01-10,1382200.0
2019-10-24,1487800.0
2020-03-30,1646300.0
2020-06-17,811800.0
2020-01-14,1599900.0
2020-04-02,1355700.0
2019-01-02,1003100.0
2019-08-14,1565900.0
2018-10-30,1668700.0
2019-06-11,2580800.0
2019-05-10,2115600.0
2019-04-08,2699900.0
2018-08-27,1959700.0
2018-07-26,2037700.0
2018-09-28,3317400.0
2019-03-07,1150600.0
2019-10-30,611500.0
2020-01-17,1356900.0
2020-06-23,1376200.0
2020-04-08,940000.0
2020-06-26,1673100.0
2019-03-22,1494100.0
2019-01-17,1171400.0
2019-08-29,2123900.0
2018-11-14,1700300.0
2019-06-26,1667000.0
2018-09-11,2096900.0
2018-07-09,1686800.0
2018-08-10,1977000.0
2019-04-23,1630300.0
2019-09-30,1204300.0
2020-01-23,3645300.0
2019-11-08,1048300.0
2020-04-14,265400.0
2019-11-11,989000.0
2020-01-29,941000.0
2020-04-17,1159200.0
2018-07-24,0.0
2018-09-26,1424300.0
2019-05-08,1224200.0
2019-03-05,1541900.0
2019-02-01,1583800.0
2018-12-31,1699200.0
2018-11-29,1364000.0
2019-08-12,1061300.0
2019-07-11,1172700.0
2019-09-13,1766800.0
2019-11-14,1228000.0
2020-04-20,1680200.0
2020-02-04,2043900.0
2020-04-23,1951100.0
2018-12-14,1456600.0
2019-08-27,2276800.0
2018-08-08,2362300.0
2018-10-11,2708700.0
2018-11-12,1685400.0
2019-07-26,1269600.0
2019-06-24,2903500.0
2019-05-23,3679400.0
2019-03-20,2354600.0
2019-01-15,2475100.0
2019-11-20,1507700.0
2020-02-07,916900.0
2020-02-10,1170000.0
2020-04-29,939900.0
2019-11-26,990900.0
2020-02-13,1644200.0
2019-01-30,948100.0
2018-08-23,884800.0
2018-09-24,1436100.0
2018-11-27,1048100.0
2018-10-26,2126100.0
2019-07-09,953600.0
2019-06-07,1363400.0
2019-05-06,1455100.0
2019-04-04,1586400.0
2019-09-11,2229300.0
2019-11-29,3499100.0
2020-05-05,3901100.0
2019-12-02,2257600.0
2020-02-19,1907700.0
2020-05-08,1634600.0
2019-05-21,2371000.0
2019-03-18,1976700.0
2018-09-07,2095500.0
2018-08-06,2680900.0
2018-10-09,3918200.0
2019-02-14,4123600.0
2018-12-12,3875300.0
2019-07-24,3964700.0
2019-09-26,3034800.0
2019-10-28,2357100.0
2019-12-05,3647100.0
2020-05-11,2883500.0
2019-07-03,2321500.0
2020-02-25,2966300.0
2020-05-14,2229800.0
2020-02-28,2057800.0
2019-08-08,2218200.0
2019-06-05,2405800.0
2018-07-20,1537500.0
2018-08-21,2273900.0
2018-10-24,1356300.0
2019-04-02,1806900.0
2019-03-01,1801400.0
2019-01-28,1147100.0
2018-12-27,1063500.0
2019-09-09,1009500.0
2020-03-02,2276100.0
2020-05-20,1550300.0
2019-12-17,1632500.0
2020-03-05,1732300.0
2019-02-12,1253800.0
2019-01-11,1361300.0
2018-12-10,786000.0
2019-08-23,1010900.0
2018-11-08,1047700.0
2019-07-22,799500.0
2019-06-20,1838200.0
2018-09-05,2194400.0
2019-04-17,3151800.0
2019-09-24,2245200.0
2019-12-20,1672300.0
2020-05-26,1578900.0
2019-04-30,1190800.0
2019-12-23,1293200.0
2020-03-11,1254200.0
2020-05-29,1426400.0
2019-12-26,1388300.0
2020-06-01,1454300.0
2019-05-02,1862300.0
2019-02-27,3582100.0
2018-11-23,2079800.0
2019-08-06,1397700.0
2018-07-18,1161300.0
2018-09-20,1050600.0
2018-10-22,941700.0
2019-07-05,1885400.0
2019-06-03,1788200.0
2019-10-09,1986600.0
2019-10-11,2025600.0
2020-03-17,1236000.0
2020-06-04,1448700.0
2019-10-14,1095000.0
2020-03-20,866800.0
2018-11-06,1906800.0
2019-06-18,1219800.0
2019-05-17,1076700.0
2019-04-15,1422600.0
2019-03-14,1549900.0
2019-01-09,1173100.0
2018-08-02,1056300.0
2018-10-05,927900.0
2019-08-21,1274800.0
2019-10-17,2188000.0
2020-03-23,2877900.0
2020-06-10,1031000.0
2019-02-25,1329100.0
2020-01-07,1337900.0
2020-03-26,804000.0
2019-10-23,2134000.0
