Dates,COTY
2018-10-22,3.4600000381469727
2019-07-05,4.0
2019-06-03,4.199999809265137
2019-10-09,4.119999885559082
2019-10-11,3.5999999046325684
2020-03-17,3.859999895095825
2020-06-04,4.179999828338623
2019-10-14,4.309999942779541
2020-03-20,4.679999828338623
2018-11-06,4.940000057220459
2019-06-18,5.269999980926514
2019-05-17,5.360000133514404
2019-04-15,5.039999961853027
2019-03-14,4.409999847412109
2019-01-09,4.650000095367432
2018-08-02,4.420000076293945
2018-10-05,4.860000133514404
2019-08-21,4.789999961853027
2019-10-17,4.550000190734863
2020-03-23,4.630000114440918
2020-06-10,4.53000020980835
2019-02-25,4.510000228881836
2020-01-07,4.289999961853027
2020-03-26,4.159999847412109
2019-10-23,4.0
